GEOID,vtd,ward,pop,pop_hisp,pop_white,pop_black,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_hisp,vap_white,vap_black,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two
550790001011000,003774,0003,335,32,64,166,0,52,0,2,19,237,22,58,114,0,33,0,0,10
550790001011001,003774,0003,92,10,16,21,1,38,0,0,6,63,10,11,16,1,20,0,0,5
550790001011002,003764,0004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
550790001011003,003764,0004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
550790001011004,003774,0003,671,12,315,325,4,4,0,1,10,570,11,312,236,1,4,0,0,6
550790001011005,003774,0003,150,36,0,100,1,0,0,4,9,73,22,0,46,0,0,0,2,3
550790001012000,003774,0003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
550790001012001,003774,0003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
550790001012002,003774,0003,50,8,0,33,0,0,0,1,8,41,8,0,29,0,0,0,0,4
550790001012003,003774,0003,193,5,6,180,0,0,0,0,2,119,3,6,109,0,0,0,0,1
550790001012004,003774,0003,209,16,24,111,0,47,0,0,11,141,10,20,73,0,30,0,0,8
550790001012005,003774,0003,64,5,3,38,0,10,0,2,6,47,0,3,33,0,7,0,0,4
550790001012006,003774,0003,387,19,30,311,0,10,0,3,14,248,6,30,194,0,7,0,1,10
550790001012007,003774,0003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
550790001012008,003774,0003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
550790001012009,003774,0003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
550790001012010,003774,0003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
550790001012011,003774,0003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
550790001013000,003764,0004,985,25,161,756,0,13,0,3,27,694,20,143,497,0,13,0,3,18
550790001013001,003764,0004,1399,72,283,930,2,55,0,8,49,1096,55,261,704,2,43,0,5,26
550790001013002,003764,0004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
550790001013003,003764,0004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
550790001013004,003764,0004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
550790001013005,003764,0004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
550790001021000,003710,0005,487,17,60,389,1,2,1,0,17,377,14,55,295,1,1,1,0,10
550790001021001,003710,0005,178,0,23,147,0,2,0,4,2,144,0,23,113,0,2,0,4,2
550790001021002,003710,0005,524,17,101,376,0,13,0,0,17,448,13,101,314,0,10,0,0,10
550790001022000,003710,0005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
550790001022001,003710,0005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
550790001022002,003710,0005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
550790001022003,003710,0005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
550790001022004,003710,0005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
550790001022005,003764,0004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
550790001022006,003764,0004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
550790001022007,003764,0004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
550790001022008,003710,0005,25,9,15,0,0,0,0,0,1,20,4,15,0,0,0,0,0,1
550790001022009,003710,0005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
550790001022010,003710,0005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
550790001022011,003710,0005,20,3,6,2,0,2,0,2,5,18,3,6,2,0,0,0,2,5
550790001022012,003710,0005,480,31,53,317,1,54,0,1,23,321,24,48,201,1,32,0,1,14
550790001022013,003710,0005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
