ward_2001,group,2000,2010,decade_change,interpolated_2004,interpolated_2008
0212,PERSONS,2867,3145,278,2978,3089
0212,WHITE,724,352,-372,575,426
0212,BLACK,239,288,49,259,278
0212,HISPANIC,1715,2365,650,1975,2235
0212,ASIAN,97,64,-33,84,71
0212,AMINDIAN,60,27,-33,47,34
0212,PISLAND,0,0,0,0,0
0212,OTHER,11,1,-10,7,3
0212,OTHERMLT,21,48,27,32,43
0212,PERSONS18,1773,1957,184,1847,1920
0212,WHITE18,588,291,-297,469,350
0212,BLACK18,99,162,63,124,149
0212,HISPANIC18,1000,1426,426,1170,1341
0212,ASIAN18,36,38,2,37,38
0212,AMINDIAN18,34,23,-11,30,25
0212,PISLAND18,0,0,0,0,0
0212,OTHER18,9,1,-8,6,3
0212,OTHERMLT18,7,16,9,11,14
0213,PERSONS,1737,1749,12,1742,1747
0213,WHITE,462,308,-154,400,339
0213,BLACK,105,91,-14,99,94
0213,HISPANIC,1077,1270,193,1154,1231
0213,ASIAN,43,45,2,44,45
0213,AMINDIAN,24,15,-9,20,17
0213,PISLAND,1,0,-1,1,0
0213,OTHER,13,1,-12,8,3
0213,OTHERMLT,12,19,7,15,18
0213,PERSONS18,1087,1105,18,1094,1101
0213,WHITE18,378,264,-114,332,287
0213,BLACK18,46,53,7,49,52
0213,HISPANIC18,613,745,132,666,719
0213,ASIAN18,19,28,9,23,26
0213,AMINDIAN18,14,8,-6,12,9
0213,PISLAND18,1,0,-1,1,0
0213,OTHER18,10,0,-10,6,2
0213,OTHERMLT18,6,7,1,6,7
0214,PERSONS,1411,1407,-4,1409,1408
0214,WHITE,432,203,-229,340,249
0214,BLACK,47,94,47,66,85
0214,HISPANIC,811,1033,222,900,989
0214,ASIAN,66,24,-42,49,32
0214,AMINDIAN,31,25,-6,29,26
0214,PISLAND,4,0,-4,2,1
0214,OTHER,12,2,-10,8,4
0214,OTHERMLT,8,26,18,15,22
0214,PERSONS18,890,911,21,898,907
0214,WHITE18,347,174,-173,278,209
0214,BLACK18,16,60,44,34,51
0214,HISPANIC18,463,634,171,531,600
0214,ASIAN18,26,18,-8,23,20
0214,AMINDIAN18,21,19,-2,20,19
0214,PISLAND18,2,0,-2,1,0
0214,OTHER18,9,1,-8,6,3
0214,OTHERMLT18,6,5,-1,6,5
0215,PERSONS,2371,2602,231,2463,2556
0215,WHITE,781,348,-433,608,435
0215,BLACK,108,157,49,128,147
0215,HISPANIC,1277,1928,651,1537,1798
0215,ASIAN,122,73,-49,102,83
0215,AMINDIAN,43,40,-3,42,41
0215,PISLAND,0,0,0,0,0
0215,OTHER,11,4,-7,8,5
0215,OTHERMLT,29,52,23,38,47
0215,PERSONS18,1518,1584,66,1544,1571
0215,WHITE18,625,284,-341,489,352
0215,BLACK18,48,102,54,70,91
0215,HISPANIC18,736,1106,370,884,1032
0215,ASIAN18,70,40,-30,58,46
0215,AMINDIAN18,23,25,2,24,25
0215,PISLAND18,0,0,0,0,0
0215,OTHER18,6,4,-2,5,4
0215,OTHERMLT18,10,23,13,15,20
0216,PERSONS,1405,1425,20,1413,1421
0216,WHITE,1283,1123,-160,1219,1155
0216,BLACK,7,14,7,10,13
0216,HISPANIC,81,220,139,137,192
0216,ASIAN,13,24,11,17,22
0216,AMINDIAN,16,14,-2,15,14
0216,PISLAND,2,0,-2,1,0
0216,OTHER,3,0,-3,2,1
0216,OTHERMLT,0,30,30,12,24
0216,PERSONS18,1075,1105,30,1087,1099
0216,WHITE18,1010,934,-76,980,949
0216,BLACK18,2,10,8,5,8
0216,HISPANIC18,44,127,83,77,110
0216,ASIAN18,5,16,11,9,14
0216,AMINDIAN18,11,10,-1,11,10
0216,PISLAND18,0,0,0,0,0
0216,OTHER18,3,0,-3,2,1
0216,OTHERMLT18,0,8,8,3,6
0217,PERSONS,1520,1484,-36,1506,1491
0217,WHITE,1346,1195,-151,1286,1225
0217,BLACK,7,17,10,11,15
0217,HISPANIC,130,214,84,164,197
0217,ASIAN,16,14,-2,15,14
0217,AMINDIAN,19,14,-5,17,15
0217,PISLAND,0,0,0,0,0
0217,OTHER,2,5,3,3,4
0217,OTHERMLT,0,25,25,10,20
0217,PERSONS18,1205,1165,-40,1189,1173
0217,WHITE18,1107,982,-125,1057,1007
0217,BLACK18,4,10,6,6,9
0217,HISPANIC18,67,135,68,94,121
0217,ASIAN18,13,9,-4,11,10
0217,AMINDIAN18,12,10,-2,11,10
0217,PISLAND18,0,0,0,0,0
0217,OTHER18,2,3,1,2,3
0217,OTHERMLT18,0,16,16,6,13
0218,PERSONS,1640,1903,263,1745,1850
