ward,name,2010,2020,decade_change,interpolated_2016,interpolated_2012
0001,pop,3808,3634,-174,3704,3773
0001,pop_aian,8,11,3,10,9
0001,pop_asian,155,154,-1,154,155
0001,pop_black,1872,2307,435,2133,1959
0001,pop_hisp,691,537,-154,599,660
0001,pop_nhpi,0,0,0,0,0
0001,pop_other,16,13,-3,14,15
0001,pop_two,107,129,22,120,111
0001,pop_white,959,483,-476,673,864
0001,vap,2604,2499,-105,2541,2583
0001,vap_aian,6,7,1,7,6
0001,vap_asian,120,102,-18,109,116
0001,vap_black,1138,1553,415,1387,1221
0001,vap_hisp,426,342,-84,376,409
0001,vap_nhpi,0,0,0,0,0
0001,vap_other,4,12,8,9,6
0001,vap_two,50,60,10,56,52
0001,vap_white,860,423,-437,598,773
0002,pop,1642,1638,-4,1640,1641
0002,pop_aian,0,0,0,0,0
0002,pop_asian,7,8,1,8,7
0002,pop_black,1287,1254,-33,1267,1280
0002,pop_hisp,149,251,102,210,169
0002,pop_nhpi,0,0,0,0,0
0002,pop_other,2,22,20,14,6
0002,pop_two,53,31,-22,40,49
0002,pop_white,144,72,-72,101,130
0002,vap,862,899,37,884,869
0002,vap_aian,0,0,0,0,0
0002,vap_asian,7,4,-3,5,6
0002,vap_black,614,659,45,641,623
0002,vap_hisp,100,134,34,120,107
0002,vap_nhpi,0,0,0,0,0
0002,vap_other,1,11,10,7,3
0002,vap_two,24,20,-4,22,23
0002,vap_white,116,71,-45,89,107
0003,pop,2388,2151,-237,2246,2341
0003,pop_aian,8,6,-2,7,8
0003,pop_asian,89,161,72,132,103
0003,pop_black,1392,1285,-107,1328,1371
0003,pop_hisp,95,143,48,124,105
0003,pop_nhpi,0,0,0,0,0
0003,pop_other,0,13,13,8,3
0003,pop_two,47,85,38,70,55
0003,pop_white,757,458,-299,578,697
0003,vap,1717,1539,-178,1610,1681
0003,vap_aian,6,2,-4,4,5
0003,vap_asian,51,101,50,81,61
0003,vap_black,867,850,-17,857,864
0003,vap_hisp,54,92,38,77,62
0003,vap_nhpi,0,0,0,0,0
0003,vap_other,0,3,3,2,1
0003,vap_two,19,51,32,38,25
0003,vap_white,720,440,-280,552,664
0004,pop,3178,3411,233,3318,3225
0004,pop_aian,5,6,1,6,5
0004,pop_asian,94,106,12,101,96
0004,pop_black,1841,2317,476,2127,1936
0004,pop_hisp,84,127,43,110,93
0004,pop_nhpi,3,1,-2,2,3
0004,pop_other,3,16,13,11,6
0004,pop_two,99,103,4,101,100
0004,pop_white,1049,735,-314,861,986
0004,vap,2497,2692,195,2614,2536
0004,vap_aian,3,6,3,5,4
0004,vap_asian,81,82,1,82,81
0004,vap_black,1297,1764,467,1577,1390
0004,vap_hisp,60,92,32,79,66
0004,vap_nhpi,3,1,-2,2,3
0004,vap_other,3,12,9,8,5
0004,vap_two,54,63,9,59,56
0004,vap_white,996,672,-324,802,931
0005,pop,1774,1734,-40,1750,1766
0005,pop_aian,12,2,-10,6,10
0005,pop_asian,35,73,38,58,43
0005,pop_black,1173,1239,66,1213,1186
0005,pop_hisp,66,80,14,74,69
0005,pop_nhpi,0,1,1,1,0
0005,pop_other,5,7,2,6,5
0005,pop_two,38,66,28,55,44
0005,pop_white,445,266,-179,338,409
0005,vap,1366,1344,-22,1353,1362
0005,vap_aian,6,2,-4,4,5
0005,vap_asian,21,45,24,35,26
0005,vap_black,866,931,65,905,879
0005,vap_hisp,37,61,24,51,42
0005,vap_nhpi,0,1,1,1,0
0005,vap_other,4,7,3,6,5
0005,vap_two,12,43,31,31,18
0005,vap_white,420,254,-166,320,387
0006,pop,3703,3749,46,3731,3712
0006,pop_aian,19,5,-14,11,16
0006,pop_asian,230,295,65,269,243
0006,pop_black,1962,2098,136,2044,1989
0006,pop_hisp,97,212,115,166,120
0006,pop_nhpi,8,0,-8,3,6
0006,pop_other,5,28,23,19,10
0006,pop_two,92,145,53,124,103
0006,pop_white,1290,966,-324,1096,1225
0006,vap,2593,2755,162,2690,2625
0006,vap_aian,15,5,-10,9,13
0006,vap_asian,171,207,36,193,178
0006,vap_black,1181,1438,257,1335,1232
0006,vap_hisp,62,147,85,113,79
0006,vap_nhpi,5,0,-5,2,4
0006,vap_other,3,13,10,9,5
0006,vap_two,36,75,39,59,44
0006,vap_white,1120,870,-250,970,1070
0007,pop,1574,1393,-181,1465,1538
0007,pop_aian,18,2,-16,8,15
0007,pop_asian,31,108,77,77,46
0007,pop_black,724,699,-25,709,719
0007,pop_hisp,116,120,4,118,117
0007,pop_nhpi,0,1,1,1,0
0007,pop_other,3,0,-3,1,2
0007,pop_two,68,60,-8,63,66
0007,pop_white,614,403,-211,487,572
0007,vap,1042,981,-61,1005,1030
0007,vap_aian,13,2,-11,6,11
0007,vap_asian,20,74,54,52,31
0007,vap_black,403,444,41,428,411
0007,vap_hisp,72,68,-4,70,71
0007,vap_nhpi,0,1,1,1,0
0007,vap_other,1,0,-1,0,1
0007,vap_two,21,29,8,26,23
0007,vap_white,512,363,-149,423,482
0008,pop,2565,2618,53,2597,2576
0008,pop_aian,7,2,-5,4,6
0008,pop_asian,70,201,131,149,96
0008,pop_black,1420,1483,63,1458,1433
0008,pop_hisp,139,144,5,142,140
0008,pop_nhpi,1,2,1,2,1
0008,pop_other,6,10,4,8,7
0008,pop_two,80,122,42,105,88
0008,pop_white,842,654,-188,729,804
0008,vap,1865,1957,92,1920,1883
0008,vap_aian,6,2,-4,4,5
0008,vap_asian,45,129,84,95,62
0008,vap_black,980,1072,92,1035,998
0008,vap_hisp,84,91,7,88,85
0008,vap_nhpi,1,2,1,2,1
0008,vap_other,0,5,5,3,1
0008,vap_two,39,84,45,66,48
0008,vap_white,710,572,-138,627,682
0009,pop,1545,1590,45,1572,1554
0009,pop_aian,9,1,-8,4,7
0009,pop_asian,96,233,137,178,123
0009,pop_black,975,989,14,983,978
0009,pop_hisp,69,71,2,70,69
0009,pop_nhpi,2,0,-2,1,2
0009,pop_other,6,7,1,7,6
0009,pop_two,36,64,28,53,42
0009,pop_white,352,225,-127,276,327
0009,vap,1052,1097,45,1079,1061
0009,vap_aian,9,1,-8,4,7
0009,vap_asian,57,151,94,113,76
0009,vap_black,638,667,29,655,644
0009,vap_hisp,34,46,12,41,36
0009,vap_nhpi,2,0,-2,1,2
0009,vap_other,2,4,2,3,2
0009,vap_two,14,33,19,25,18
0009,vap_white,296,195,-101,235,276
0010,pop,2433,2420,-13,2425,2430
0010,pop_aian,7,1,-6,3,6
0010,pop_asian,230,494,264,388,283
