ward_2021,pop,pop_hisp,pop_white,pop_black,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_hisp,vap_white,vap_black,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two
1,3634,537,483,2307,11,154,0,13,129,2499,342,423,1553,7,102,0,12,60
2,1638,251,72,1254,0,8,0,22,31,899,134,71,659,0,4,0,11,20
3,2151,143,458,1285,6,161,0,13,85,1539,92,440,850,2,101,0,3,51
4,3411,127,735,2317,6,106,1,16,103,2692,92,672,1764,6,82,1,12,63
5,1734,80,266,1239,2,73,1,7,66,1344,61,254,931,2,45,1,7,43
6,2152,116,623,1091,3,225,0,14,80,1562,78,549,738,3,148,0,7,39
7,1393,120,403,699,2,108,1,0,60,981,68,363,444,2,74,1,0,29
8,2564,161,662,1456,4,121,2,19,139,1957,115,598,1052,4,94,2,9,83
9,1590,71,225,989,1,233,0,7,64,1097,46,195,667,1,151,0,4,33
10,2420,114,679,1036,1,494,0,17,79,1779,78,615,754,0,284,0,4,44
11,2199,140,395,1106,1,461,0,7,89,1644,107,360,835,1,274,0,4,63
12,2123,79,221,1164,5,577,0,3,74,1372,41,187,761,2,349,0,3,29
13,1083,27,231,561,0,217,0,4,43,778,19,207,400,0,129,0,3,20
14,2214,86,183,1853,1,24,0,0,67,1591,55,171,1305,1,17,0,0,42
15,1340,144,522,399,5,198,3,7,62,1015,87,436,329,5,110,3,7,38
16,3077,140,419,2126,9,257,0,7,119,2234,103,388,1506,3,164,0,7,63
17,1249,106,287,655,2,73,1,9,116,928,60,259,480,0,41,1,7,80
18,1889,116,362,1188,1,129,0,6,87,1357,80,323,824,1,77,0,4,48
19,2016,99,212,1474,9,133,2,7,80,1202,56,189,826,4,85,2,2,38
20,2125,128,266,1591,3,40,0,13,84,1524,95,232,1099,3,30,0,13,52
21,1150,25,96,932,5,31,0,9,52,770,20,88,598,5,26,0,5,28
22,1857,86,205,1453,4,31,0,5,73,1287,59,198,972,4,26,0,3,25
23,1350,71,81,1125,0,32,0,1,40,854,32,78,712,0,11,0,1,20
24,1071,37,28,740,0,232,0,0,34,638,10,27,445,0,136,0,0,20
