ward_2001,ward_2012,prop_of_ward_2001
0058,0185,1
0231,0313,1
0200,0280,1
0311,0192,1
0039,0130,1
0044,0128,1
0261,0001,1
0264,0006,1
0312,0191,1
0052,0182,1
0051,0179,1
0110,0177,0.98
0152,0016,1
0273,0033,0.94
0059,0186,0.98
0040,0127,0.97
0196,0275,1
0271,0032,1
0192,0271,1
0056,0181,0.88
0296,0218,1
0140,0257,1
0054,0183,0.5599999999999999
0053,0178,1
0061,0188,0.62
0042,0132,1
0015,0064,1
0209,0237,1
0172,0104,1
0137,0223,0.91
0064,0227,1
0036,0091,1
0232,0315,1
0226,0308,1
0276,0168,0.93
0189,0268,1
0289,0213,1
0134,0222,1
0017,0059,1
0135,0221,0.88
0212,0230,0.91
0258,0004,1
0211,0238,1
0037,0092,0.73
0074,0037,1
0259,0003,1
0198,0277,1
0236,0248,1
0136,0224,0.8
0184,0264,1
0046,0134,1
0201,0235,1
0197,0276,1
0142,0252,0.68
0113,0068,1
0295,0217,1
0049,0135,1
0043,0129,1
0228,0309,1
0050,0180,1
0062,0190,0.87
0071,0198,1
0203,0236,1
0171,0102,1
0202,0240,1
0255,0301,1
0210,0239,1
0149,0014,0.68
0157,0020,0.96
0244,0290,1
0088,0080,1
0031,0073,1
0057,0241,1
0193,0272,1
0047,0136,1
0190,0269,0.78
0154,0012,1
0225,0304,1
0162,0052,1
0038,0131,1
0115,0065,1
0288,0212,1
0045,0133,1
0054,0184,0.39
0299,0149,1
0147,0018,1
0033,0070,1
0218,0288,1
0188,0279,0.84
0265,0005,1
0018,0060,1
0072,0196,1
0070,0199,1
0084,0090,1
0027,0042,0.72
0207,0229,0.82
0101,0122,1
0156,0021,1
0170,0101,1
0158,0022,1
0001,0055,0.83
0010,0044,1
0120,0096,1
0235,0249,0.72
0030,0072,1
0126,0165,1
0032,0069,1
0269,0011,0.6
0125,0164,1
0243,0291,1
0133,0225,1
0267,0008,0.78
0222,0307,1
0180,0111,0.72
0279,0202,1
0272,0031,1
0233,0316,1
0256,0296,1
0286,0211,1
0223,0305,1
0238,0243,1
0139,0256,1
0077,0034,0.66
0097,0119,1
0094,0085,1
0287,0210,1
0208,0231,0.98
0138,0258,0.53
0221,0306,0.84
0026,0040,0.68
0127,0163,0.88
0253,0300,1
0065,0194,1
0166,0113,1
0191,0270,1
0219,0283,0.94
0302,0156,0.93
0100,0121,1
0234,0317,1
0205,0232,1
0224,0303,1
0103,0138,0.65
0112,0176,1
0278,0203,1
0082,0079,1
0055,0184,0.66
0024,0027,1
0165,0115,1
0007,0047,1
0098,0120,1
0020,0025,1
0230,0312,0.76
0012,0061,1
0075,0036,1
0169,0107,1
0248,0289,1
0199,0278,0.8
0284,0208,1
0025,0030,1
0023,0041,1
0179,0147,0.92
0237,0242,0.94
0021,0026,1
0150,0019,1
0013,0062,1
0093,0086,1
0066,0195,1
0283,0207,1
0168,0108,1
0213,0250,1
0016,0118,1
0048,0137,0.6
0300,0150,1
0242,0292,1
0309,0173,1
0277,0204,1
0217,0293,0.92
0146,0262,0.88
0250,0297,0.88
0285,0209,1
0005,0051,1
0109,0143,0.69
0240,0246,1
0298,0148,1
0186,0266,1
0080,0078,1
0129,0153,1
0014,0063,0.95
0239,0244,1
0263,0007,1
0275,0167,0.68
0257,0302,1
0290,0215,1
0099,0117,1
0249,0295,1
0041,0126,0.62
0245,0286,0.82
0306,0169,1
0164,0116,1
0314,0174,1
0091,0082,1
0160,0024,0.88
0078,0076,1
0079,0077,1
0229,0311,0.64
0294,0216,1
0155,0009,0.74
0092,0088,0.51
0254,0299,1
0011,0058,1
0173,0105,1
0148,0015,0.87
0220,0282,0.5
0121,0094,1
0028,0038,1
0123,0103,0.86
0108,0142,1
0117,0100,0.66
0220,0281,0.5
0118,0099,1
0132,0226,0.62
0060,0187,0.38
0029,0071,1
0061,0190,0.29
0128,0160,0.62
0185,0265,1
0206,0228,0.67
0089,0089,0.78
0081,0075,1
0167,0109,1
0301,0155,1
0181,0151,0.93
0268,0010,0.94
0105,0138,0.58
0122,0103,1
0227,0310,1
0182,0259,1
0090,0084,0.89
0114,0067,1
0177,0112,0.89
0067,0193,0.74
0163,0049,1
0194,0273,1
0214,0255,1
0116,0066,1
0151,0017,1
0183,0263,1
0006,0050,1
0195,0274,1
0086,0083,0.81
0204,0233,0.66
0308,0170,1
0102,0125,0.93
0130,0154,1
0280,0205,1
0034,0074,1
0107,0141,1
0019,0114,0.7
0187,0267,1
0305,0157,0.86
0260,0002,1
0063,0234,1
0269,0010,0.4
0252,0245,0.71
0022,0043,0.91
0076,0034,0.57
0096,0123,0.6
0216,0294,0.76
0241,0247,1
0174,0106,1
0106,0139,0.91
0293,0219,1
0095,0124,0.52
0215,0254,0.51
0307,0201,0.79
0003,0057,0.64
0131,0152,1
0009,0046,0.68
0008,0045,0.7
0141,0323,0.48
0251,0298,0.61
0035,0098,0.75
0215,0251,0.49
0247,0287,0.85
0073,0197,1
0145,0261,0.59
0153,0013,1
0281,0214,0.95
0124,0095,0.66
0270,0029,0.55
0092,0087,0.39
0246,0284,1
0095,0123,0.48
0304,0158,0.79
0138,0221,0.32
0282,0206,0.78
0159,0023,0.4
0004,0054,1
0141,0253,0.45
0111,0175,1
0048,0138,0.4
0087,0081,0.79
0104,0140,1
0291,0220,1
0303,0159,0.67
0161,0053,0.67
0149,0004,0.32
0297,0144,1
0159,0045,0.38
0105,0139,0.42
0175,0110,1
0119,0097,0.88
0292,0219,0.5
0292,0220,0.5
0037,0093,0.27
0077,0035,0.34
0041,0125,0.38
0076,0035,0.43
0144,0260,0.42
0103,0139,0.35
0310,0172,0.54
0270,0028,0.45
0266,0008,0.55
0144,0258,0.4
0055,0183,0.34
0060,0190,0.23
0313,0189,0.54
0002,0057,0.6900000000000001
0229,0314,0.36
0085,0080,0.56
0026,0039,0.32
0083,0078,0.58
0096,0124,0.4
0310,0193,0.46
0027,0039,0.28
0132,0321,0.33
0251,0246,0.39
0235,0325,0.28
0060,0188,0.19
0060,0196,0.19
0275,0166,0.32
0266,0033,0.45
0117,0099,0.34
0109,0145,0.31
0176,0109,0.7
0143,0284,0.54
0180,0147,0.27
0313,0174,0.44
0204,0228,0.34
0142,0324,0.19
0145,0262,0.34
0003,0056,0.36
0085,0089,0.44
0068,0200,0.72
0083,0079,0.42
0190,0268,0.22
0069,0171,0.59
0159,0048,0.22
0124,0097,0.34
0143,0285,0.43
0009,0047,0.32
0230,0314,0.24
0019,0115,0.3
0161,0055,0.33
0303,0162,0.33
0267,0032,0.22
0138,0259,0.15
0178,0112,0.51
0008,0048,0.3
0155,0011,0.26
0178,0146,0.49
0067,0172,0.26
0061,0189,0.09
0142,0322,0.13
0206,0321,0.21
0056,0186,0.12
0199,0279,0.2
0207,0225,0.18
0089,0083,0.22
0069,0200,0.41
0144,0281,0.18
0188,0277,0.16
0216,0303,0.24
0136,0230,0.12
0001,0056,0.17
0002,0056,0.3
0035,0070,0.25
0221,0288,0.16
0245,0283,0.18
0062,0188,0.13
0307,0198,0.21
0176,0110,0.3
0282,0205,0.22
0304,0162,0.21
0128,0161,0.12
0087,0080,0.21
0137,0258,0.09
0252,0300,0.15
0212,0224,0.09
0054,0178,0.05
0136,0225,0.08
0252,0299,0.14
0128,0103,0.1
0068,0171,0.28
0127,0161,0.12
0123,0097,0.14
0146,0263,0.12
0148,0014,0.13
0250,0298,0.12
0128,0154,0.09
0305,0162,0.14
0247,0289,0.15
0273,0035,0.06
0276,0203,0.07
0160,0025,0.12
0086,0080,0.12
0135,0222,0.06
0135,0223,0.06
0090,0083,0.11
0177,0146,0.11
0141,0251,0.07
0128,0153,0.07
0179,0149,0.08
0302,0155,0.07
0119,0102,0.12
0217,0305,0.08
0092,0092,0.05
0092,0093,0.05
0145,0260,0.07
0106,0141,0.09
0022,0045,0.09
0206,0320,0.06
0040,0128,0.03
0206,0227,0.06
0086,0081,0.07
0132,0225,0.05
0181,0152,0.07
0237,0248,0.06
0219,0288,0.06
0102,0126,0.07
0157,0055,0.04
0268,0009,0.06
0110,0137,0.02
0014,0277,0.05
0059,0185,0.02
0281,0206,0.05
0208,0229,0.02
0143,0322,0.03
0060,0189,0.01
0313,0192,0.02
0180,0149,0.01
0002,0278,0.01
