ward2011,ward2021,vap,prop_of_2011
1,1,2499,1
2,2,899,1
3,3,1539,1
4,4,2692,1
5,5,1344,1
6,6,1562,0.5669691470054447
6,8,1193,0.43303085299455535
7,7,981,1
8,8,764,0.3903934593765968
8,315,1193,0.6096065406234031
9,9,1097,1
10,10,1779,1
11,11,1644,1
12,12,1372,1
13,13,778,1
14,14,1591,1
15,15,1015,1
16,16,2234,1
17,17,928,1
18,18,1357,1
19,19,1202,1
20,20,1422,1
21,21,770,0.5941358024691358
21,23,526,0.4058641975308642
22,22,1287,1
23,23,328,0.4420485175202156
23,25,414,0.5579514824797843
24,24,638,0.6291913214990138
24,25,376,0.3708086785009862
25,25,591,0.4467120181405896
25,26,398,0.30083144368858655
25,29,334,0.25245653817082386
26,26,321,0.28533333333333333
26,29,804,0.7146666666666667
27,27,1097,1
28,28,558,1
29,28,686,1
30,28,228,0.18298555377207062
30,30,1018,0.8170144462279294
31,31,1321,1
32,32,1580,0.635814889336016
32,315,905,0.3641851106639839
33,33,2683,1
34,34,1165,0.5381062355658198
34,35,1000,0.4618937644341801
35,31,150,0.10224948875255624
35,35,1317,0.8977505112474438
36,36,1237,1
37,37,1456,1
38,38,986,1
39,39,1075,1
40,40,1127,1
41,42,1145,1
42,41,1343,1
43,42,452,1
44,43,1328,1
45,44,1459,1
46,45,780,1
47,45,632,0.4069542820347714
47,48,921,0.5930457179652285
48,46,744,1
49,47,764,0.8084656084656084
49,49,181,0.19153439153439153
50,48,862,1
51,48,509,0.4927395934172314
51,51,524,0.5072604065827686
52,47,86,0.06656346749226007
52,49,1206,0.93343653250774
53,50,636,1
54,51,783,1
55,20,102,0.057724957555178265
55,50,531,0.300509337860781
55,52,1134,0.6417657045840407
56,53,892,1
57,54,1293,1
58,55,916,1
59,56,1715,1
60,57,1161,1
61,58,1139,1
62,59,978,1
63,60,1039,1
64,60,420,0.2119071644803229
64,61,1562,0.7880928355196771
65,62,1469,1
66,63,860,1
67,64,922,1
68,65,1623,1
69,66,1214,1
70,67,1460,0.9096573208722741
70,71,145,0.09034267912772585
71,68,987,1
72,67,97,0.07111436950146628
72,69,1267,0.9288856304985337
73,70,1444,1
74,71,888,1
75,72,1051,1
76,73,1028,1
77,74,970,1
78,75,1680,1
79,76,1697,1
80,77,1822,0.7658680117696511
80,82,557,0.2341319882303489
81,78,849,1
82,78,138,0.13450292397660818
82,79,888,0.8654970760233918
83,78,105,0.07924528301886792
83,79,274,0.20679245283018868
83,80,946,0.7139622641509434
84,81,943,1
85,79,393,0.336472602739726
85,83,775,0.663527397260274
86,83,1105,1
87,85,740,1
88,85,1039,1
89,82,305,0.2205350686912509
89,86,1023,0.7396963123644251
89,87,55,0.03976861894432393
90,82,107,0.07742402315484805
90,86,123,0.08900144717800289
90,87,1152,0.8335745296671491
91,88,1998,1
92,89,1453,0.7948577680525164
92,90,375,0.2051422319474836
93,90,759,1
94,91,778,0.8911798396334479
94,92,95,0.10882016036655212
95,92,657,0.8358778625954199
95,100,129,0.16412213740458015
96,93,1357,1
97,94,1063,0.8873121869782972
97,100,135,0.11268781302170283
98,95,833,1
99,96,1436,1
100,97,927,1
101,98,1366,1
102,99,1652,1
103,84,1180,0.5885286783042394
103,100,825,0.4114713216957606
104,101,1824,1
105,102,673,0.7936320754716981
105,103,175,0.20636792452830188
106,102,92,0.12742382271468145
106,103,347,0.4806094182825485
106,106,283,0.39196675900277006
107,103,487,0.4268185801928133
107,104,617,0.5407537248028046
107,105,31,0.02716914986853637
107,106,6,0.0052585451358457495
108,104,927,0.8795066413662239
108,105,127,0.1204933586337761
109,105,1141,1
110,106,690,1
111,102,33,0.032803180914512925
111,107,896,0.8906560636182903
111,108,77,0.07654075546719682
112,108,1004,1
113,109,974,1
114,110,802,1
115,111,1412,1
116,112,831,1
117,113,794,1
118,56,218,0.232409381663113
118,114,720,0.767590618336887
119,115,1046,1
120,116,1032,1
121,117,1112,1
122,118,1236,1
123,119,1496,1
124,120,1025,1
125,119,337,0.22098360655737706
