FID,GEOID,CNTY_FIPS,CNTY_NAME,COUSUBFP,MCD_FIPS,MCD_NAME,CTV,LABEL,LSAD,NAME,DISTRICT,ASM,SEN,CON,STR_WARDS,PERSONS,PERSONS18,WHITE,BLACK,HISPANIC,ASIAN,AMINDIAN,PISLAND,OTHER,OTHERMLT,WHITE18,BLACK18,HISPANIC18,ASIAN18,AMINDIAN18,PISLAND18,OTHER18,OTHERMLT18,CDATOT20,CDADEM20,CDAREP20,CDAIND20,CDASCT20,PRETOT20,PREDEM20,PREREP20,PRECON20,PREIND20,PREIND220,PREIND320,PREIND420,PREIND520,PREIND620,PREIND720,PREIND820,PREIND920,PRESCT20,USHTOT20,USHDEM20,USHREP20,USHIND20,USHSCT20,WSATOT20,WSADEM20,WSAREP20,WSACON20,WSAIND20,WSASCT20,WSSTOT20,WSSDEM20,WSSREP20,WSSIND20,WSSSCT20,GOVTOT18,GOVREP18,GOVDEM18,GOVLIB18,GOVIND18,GOVIND218,GOVIND318,GOVREP218,GOVDEM218,GOVCON18,GOVDEM318,GOVIND418,GOVIND518,GOVDEM418,GOVDEM518,GOVSCT18,SOSTOT18,SOSREP18,SOSDEM18,SOSGRN18,SOSSCT18,TRSTOT18,TRSREP18,TRSDEM18,TRSCON18,TRSSCT18,USHTOT18,USHREP18,USHDEM18,USHIND18,USHIND218,USHDEM218,USHSCT18,USSTOT18,USSREP18,USSDEM18,USSIND18,USSSCT18,USSIND218,WAGTOT18,WAGREP18,WAGDEM18,WAGCON18,WAGSCT18,WSATOT18,WSAREP18,WSADEM18,WSAIND18,WSALIB18,WSASCT18,WSACON18,WSAREP218,WSSTOT18,WSSREP18,WSSDEM18,WSSSCT18,WSSIND18,CDATOT16,CDADEM16,CDADEM216,CDAREP16,CDAIND16,CDASCT16,PRETOT16,PREDEM16,PREREP16,PREGRN16,PRELIB16,PRECON16,PREIND16,PREIND216,PREIND316,PREIND416,PREIND516,PREIND616,PREIND716,PREIND816,PREIND916,PREIND1016,PREIND1116,PRESCT16,USHTOT16,USHDEM16,USHDEM216,USHREP16,USHGRN16,USHLIB16,USHIND16,USHSCT16,USSTOT16,USSDEM16,USSREP16,USSREP216,USSLIB16,USSSCT16,WSATOT16,WSADEM16,WSAREP16,WSALIB16,WSAIND16,WSASCT16,WSSTOT16,WSSDEM16,WSSREP16,WSSIND16,WSSSCT16,GOVTOT14,GOVDEM14,GOVREP14,GOVIND14,GOVIND214,GOVIND314,GOVREP214,GOVCON14,GOVIND414,GOVIND514,GOVREP314,GOVSCT14,SOSTOT14,SOSDEM14,SOSREP14,SOSCON14,SOSIND14,SOSSCT14,TRSTOT14,TRSDEM14,TRSREP14,TRSCON14,TRSIND14,TRSIND214,TRSSCT14,USHTOT14,USHDEM14,USHREP14,USHIND14,USHREP214,USHIND214,USHSCT14,WAGTOT14,WAGDEM14,WAGREP14,WAGIND14,WAGSCT14,WSATOT14,WSADEM14,WSAREP14,WSAIND14,WSAREP214,WSASCT14,WSSTOT14,WSSDEM14,WSSREP14,WSSIND14,WSSSCT14,CDATOT12,CDADEM12,CDADEM212,CDAREP12,CDAIND12,CDASCT12,GOVTOT12,GOVDEM12,GOVREP12,GOVIND12,GOVSCT12,PRETOT12,PREDEM12,PREREP12,PRECON12,PREIND12,PREIND212,PREIND312,PREIND412,PREIND512,PREIND612,PRESCT12,USHTOT12,USHDEM12,USHREP12,USHIND12,USHSCT12,USSTOT12,USSDEM12,USSREP12,USSCON12,USSIND12,USSIND212,USSIND312,USSSCT12,WSATOT12,WSADEM12,WSADEM212,WSAREP12,WSAREP212,WSAIND12,WSAIND212,WSASCT12,WSSTOT12,WSSDEM12,WSSREP12,WSSREP212,WSSCON12,WSSIND12,WSSSCT12,WSSAME12,Shape_STAr,Shape_STLe,SHAPE_Leng,SHAPE_Area
3428,55079530000001,55079,Milwaukee,53000,5507953000,Milwaukee,C,Milwaukee - C 0001,25,Milwaukee,12,12,4,4,0001,3808,2604,959,1939,691,160,16,1,17,25,860,1158,426,124,12,1,5,18,957,940,0,0,17,1184,974,190,5,5,2,0,0,0,0,2,0,0,6,1159,956,180,22,1,1130,947,182,0,0,1,1023,1009,0,0,14,1027,192,808,9,11,3,2,0,0,0,0,0,0,0,0,2,994,189,802,1,2,998,185,795,16,2,1023,182,828,13,0,0,0,1028,182,842,0,4,0,1002,202,784,14,2,894,0,879,0,0,15,0,0,0,0,0,0,0,940,920,0,0,0,20,1201,935,222,6,12,7,1,1,0,2,0,0,0,0,0,0,0,15,1122,952,0,0,0,66,98,6,1172,890,261,0,20,1,929,912,0,0,0,17,1013,994,0,0,19,978,747,224,0,5,0,0,0,0,0,0,2,935,702,211,10,11,1,932,665,223,14,19,9,2,975,742,224,9,0,0,0,955,698,237,17,3,779,764,0,0,0,15,0,0,0,0,0,936,921,0,0,0,15,1188,917,263,6,2,1489,1185,297,0,4,0,0,0,0,0,3,1369,1082,268,19,0,1455,1125,306,0,14,8,0,2,887,874,0,0,0,0,0,13,1277,1060,0,0,0,214,3,0,82415642.2214,42818.5276042,17903.64770359682,14408138.033058258
3429,55079530000002,55079,Milwaukee,53000,5507953000,Milwaukee,C,Milwaukee - C 0002,25,Milwaukee,12,12,4,4,0002,1642,862,144,1320,149,7,1,0,2,19,116,624,100,7,1,0,1,13,306,300,0,0,6,357,324,28,0,3,1,0,0,0,0,0,0,0,1,351,320,25,6,0,340,307,32,0,0,1,332,327,0,0,5,278,15,258,1,2,1,0,0,0,0,0,0,0,0,0,1,267,15,251,0,1,274,15,254,4,1,276,12,258,5,0,0,1,276,15,260,0,1,0,272,16,245,10,1,264,0,261,0,0,3,0,0,0,0,0,0,0,346,345,0,0,0,1,405,361,30,4,3,2,2,0,0,1,0,0,0,0,0,0,0,2,392,365,0,0,0,10,15,2,395,346,45,0,4,0,343,340,0,0,0,3,364,361,0,0,3,298,281,16,0,1,0,0,0,0,0,0,0,287,263,18,2,4,0,289,262,15,4,7,0,1,300,282,16,2,0,0,0,294,272,19,3,0,263,262,0,0,0,1,0,0,0,0,0,332,330,0,0,0,2,359,336,21,2,0,523,500,23,0,0,0,0,0,0,0,0,476,451,18,7,0,507,476,28,0,1,2,0,0,317,316,0,0,0,0,0,1,457,427,0,0,0,30,0,0,2162652.28662,5901.78164869,2468.82400152122,378079.7834728498
3430,55079530000003,55079,Milwaukee,53000,5507953000,Milwaukee,C,Milwaukee - C 0003,25,Milwaukee,12,12,4,4,0003,2388,1717,757,1422,95,94,9,0,0,11,720,876,54,53,7,0,0,7,713,705,0,0,8,874,718,146,1,3,1,0,0,0,1,0,0,0,4,845,695,130,20,0,803,679,124,0,0,0,741,734,0,0,7,753,170,575,2,3,1,2,0,0,0,0,0,0,0,0,0,729,139,589,0,1,733,141,584,7,1,753,142,603,8,0,0,0,749,145,602,0,2,0,737,167,560,10,0,630,0,625,0,0,5,0,0,0,0,0,0,0,743,734,0,0,0,9,971,761,178,4,12,3,2,0,0,1,0,0,0,0,0,1,0,9,880,756,0,0,0,43,80,1,958,722,220,0,16,0,745,735,0,0,0,10,796,786,0,0,10,817,614,200,2,1,0,0,0,0,0,0,0,786,595,182,5,2,2,774,570,179,6,13,5,1,794,598,185,11,0,0,0,796,592,196,6,2,611,603,0,0,0,8,0,0,0,0,0,682,677,0,0,0,5,932,713,214,5,0,1138,909,229,0,0,0,0,0,0,0,0,1023,819,182,21,1,1085,841,227,0,10,7,0,0,625,620,0,0,0,0,0,5,924,786,0,0,0,138,0,0,28226101.408,21157.9225809,8847.370573135164,4935293.881406916
3432,55079530000004,55079,Milwaukee,53000,5507953000,Milwaukee,C,Milwaukee - C 0004,25,Milwaukee,12,12,4,4,0004,3178,2497,1049,1886,84,99,9,3,6,42,996,1317,60,86,7,3,4,24,1229,1201,0,0,28,1474,1257,188,4,8,4,0,0,0,0,0,6,0,7,1435,1238,175,21,1,1382,1195,182,0,0,5,1308,1288,0,0,20,1279,171,1094,3,6,4,0,0,0,0,0,0,0,0,0,1,1255,148,1106,0,1,1256,162,1076,17,1,1276,143,1113,18,0,0,2,1282,136,1143,0,3,0,1257,180,1058,18,1,1149,0,1137,0,0,12,0,0,0,0,0,0,0,1268,1248,0,0,0,20,1573,1325,204,5,26,3,0,0,0,0,0,0,0,0,0,0,0,10,1491,1314,0,0,0,85,90,2,1540,1255,265,0,18,2,1267,1253,0,0,0,14,1351,1331,0,0,20,1374,1132,227,1,12,0,0,0,0,0,0,2,1325,1099,202,5,18,1,1311,1057,209,11,19,13,2,1359,1127,209,22,0,0,1,1350,1107,219,23,1,1162,1150,0,0,0,12,0,0,0,0,0,1117,1100,0,0,0,17,1432,1160,264,7,1,1868,1576,275,3,11,1,0,0,0,0,2,1722,1435,253,33,1,1801,1469,297,0,20,13,0,2,1081,1067,0,0,0,0,0,14,1605,1382,0,0,0,220,3,0,29046899.7493,26687.3717999,11169.784546838255,5077545.550585527
3433,55079530000005,55079,Milwaukee,53000,5507953000,Milwaukee,C,Milwaukee - C 0005,25,Milwaukee,12,12,4,4,0005,1774,1366,445,1193,66,35,15,0,5,15,420,870,37,21,9,0,4,5,663,654,0,0,9,773,660,102,1,5,2,0,0,0,0,0,0,0,3,769,655,94,19,1,753,646,107,0,0,0,694,683,0,0,11,651,100,543,1,4,0,2,0,0,0,0,0,0,0,0,1,640,96,542,0,2,635,87,536,12,0,651,89,549,12,0,0,1,652,91,560,0,1,0,639,103,522,12,2,564,0,559,0,0,5,0,0,0,0,0,0,0,607,601,0,0,0,6,765,633,110,5,6,3,0,0,0,2,0,0,0,0,0,0,0,6,728,634,0,0,0,35,58,1,756,630,118,0,8,0,605,599,0,0,0,6,650,642,0,0,8,658,548,106,2,2,0,0,0,0,0,0,0,638,534,96,2,6,0,640,531,95,1,11,2,0,656,553,99,4,0,0,0,652,531,110,11,0,563,555,0,0,0,8,0,0,0,0,0,589,586,0,0,0,3,771,655,114,2,0,917,789,125,1,0,0,0,1,0,0,1,870,744,115,9,2,880,746,122,0,7,4,0,1,570,566,0,0,0,0,0,4,802,708,0,0,0,93,1,0,41521131.9655,26345.529096,11017.066454459582,7255563.45747275
3434,55079530000006,55079,Milwaukee,53000,5507953000,Milwaukee,C,Milwaukee - C 0006,25,Milwaukee,12,12,4,4,0006,3703,2593,1290,2016,97,233,25,9,6,27,1120,1194,62,172,20,6,3,16,1481,1452,0,0,29,1772,1408,350,0,9,3,0,0,0,1,0,0,0,1,1745,1378,321,46,0,1687,1352,333,0,0,2,1525,1496,0,0,29,1480,314,1149,8,5,4,0,0,0,0,0,0,0,0,0,0,1452,273,1178,0,1,1452,274,1156,21,1,1478,281,1170,27,0,0,0,1475,270,1203,0,2,0,1466,308,1138,19,1,1295,0,1269,0,0,26,0,0,0,0,0,0,0,1367,1343,0,0,0,24,1720,1294,361,8,40,2,0,0,0,8,0,0,0,0,0,0,0,7,1611,1298,0,0,0,131,177,5,1697,1252,414,0,31,0,1362,1339,0,0,0,23,1431,1397,0,0,34,1475,1050,408,3,11,0,0,0,0,0,0,3,1419,1054,327,13,25,0,1409,1004,340,11,27,27,0,1463,1060,372,28,0,0,3,1446,1012,396,38,0,1197,1177,0,0,0,20,0,0,0,0,0,1194,1182,0,0,0,12,1470,1045,417,7,1,1875,1395,462,2,7,1,0,3,0,0,5,1748,1271,433,44,0,1843,1343,468,0,21,9,0,2,1170,1161,0,0,0,0,0,9,1653,1303,0,0,0,349,1,0,38044453.8346,30383.6840234,12703.050129430147,6647911.370361378
3435,55079530000007,55079,Milwaukee,53000,5507953000,Milwaukee,C,Milwaukee - C 0007,25,Milwaukee,12,12,4,4,0007,1574,1042,614,769,116,33,23,0,4,15,512,413,72,21,18,0,2,4,431,418,0,0,13,562,398,158,1,3,1,0,0,0,0,0,0,0,1,552,394,148,10,0,529,377,150,0,0,2,448,432,0,0,16,510,149,359,2,0,0,0,0,0,0,0,0,0,0,0,0,501,129,372,0,0,501,132,362,7,0,510,135,370,5,0,0,0,512,132,380,0,0,0,506,142,353,11,0,423,0,417,0,0,6,0,0,0,0,0,0,0,455,444,0,0,0,11,601,403,167,6,11,6,2,0,0,1,1,0,0,0,0,0,0,4,565,416,0,0,0,68,80,1,590,379,198,0,13,0,453,444,0,0,0,9,484,472,0,0,12,466,267,191,1,3,0,0,0,0,0,0,4,448,278,162,3,3,2,447,262,162,5,10,5,3,454,264,175,14,0,0,1,454,263,179,10,2,339,330,0,0,0,9,0,0,0,0,0,410,408,0,0,0,2,547,350,196,1,0,679,480,194,1,1,1,0,0,0,0,2,619,419,179,20,1,666,459,197,0,9,1,0,0,400,396,0,0,0,0,0,4,580,436,0,0,0,139,5,0,5546071.36389,12361.6516992,5172.36596712703,969252.0832437666
3436,55079530000008,55079,Milwaukee,53000,5507953000,Milwaukee,C,Milwaukee - C 0008,25,Milwaukee,12,12,4,4,0008,2565,1865,842,1452,139,83,14,4,6,25,710,988,84,50,11,4,0,18,1221,1195,0,0,26,1482,1151,306,4,16,3,0,0,0,0,0,0,0,2,1466,1119,312,33,2,1435,1105,326,0,0,4,1253,1205,0,0,48,1284,288,981,5,4,6,0,0,0,0,0,0,0,0,0,0,1255,269,983,0,3,1252,255,969,24,4,1280,260,990,28,0,0,2,1281,261,1017,0,3,0,1268,300,938,28,2,1088,0,1067,0,0,21,0,0,0,0,0,0,0,1121,1100,0,0,0,21,1417,1052,311,6,25,4,1,1,0,0,0,0,0,0,0,0,0,17,1334,1063,0,0,0,121,145,5,1406,1036,341,0,29,0,1125,1113,0,0,0,12,1191,1163,0,0,28,1227,895,326,2,3,0,0,0,0,0,0,1,1179,876,274,12,16,1,1165,835,288,11,21,10,0,1217,869,328,19,0,0,1,1211,849,340,21,1,993,970,0,0,0,23,0,0,0,0,0,1005,988,0,0,0,17,1319,970,342,6,1,1553,1172,371,2,3,1,0,1,0,0,3,1463,1076,355,30,2,1504,1120,364,1,10,8,0,1,965,946,0,0,0,0,0,19,1344,1060,0,0,0,276,8,0,60623376.0901,43447.7948453,18160.59550354524,10588212.494594086
3437,55079530000009,55079,Milwaukee,53000,5507953000,Milwaukee,C,Milwaukee - C 0009,25,Milwaukee,12,12,4,4,0009,1545,1052,352,996,69,98,13,2,7,8,296,644,34,57,11,2,3,5,631,620,0,0,11,751,633,115,0,2,1,0,0,0,0,0,0,0,0,740,631,99,9,1,709,601,108,0,0,0,651,636,0,0,15,688,116,559,4,5,3,0,0,0,0,0,0,0,0,0,1,662,108,553,0,1,665,102,554,8,1,689,110,574,4,0,0,1,689,104,583,0,2,0,674,121,544,8,1,596,0,582,0,0,14,0,0,0,0,0,0,0,561,550,0,0,0,11,694,578,97,3,7,2,0,1,0,0,0,0,0,0,0,0,0,6,653,578,0,0,0,30,45,0,679,551,121,0,7,0,579,570,0,0,0,9,601,588,0,0,13,616,498,115,1,2,0,0,0,0,0,0,0,586,490,85,5,6,0,587,475,93,5,8,6,0,605,493,105,6,0,0,1,604,479,112,13,0,540,529,0,0,0,11,0,0,0,0,0,610,599,0,0,0,11,746,615,129,1,1,938,792,139,3,2,0,0,0,0,0,2,880,744,120,15,1,918,759,147,0,8,4,0,0,595,587,0,0,0,0,0,8,829,731,0,0,0,96,2,0,20988164.1012,21167.9960944,8846.798577169202,3665577.7993576173
3438,55079530000010,55079,Milwaukee,53000,5507953000,Milwaukee,C,Milwaukee - C 0010,25,Milwaukee,12,12,4,4,0010,2433,1798,1048,1030,93,234,14,0,9,5,889,690,61,139,11,0,3,5,932,904,0,0,28,1175,880,284,2,4,0,0,0,0,0,0,1,0,4,1143,846,265,28,4,1103,839,261,0,0,3,973,929,0,0,44,973,240,722,5,2,4,0,0,0,0,0,0,0,0,0,0,954,212,742,0,0,946,213,721,12,0,971,213,733,24,0,0,1,976,213,762,0,1,0,962,251,693,17,1,814,0,789,0,0,25,0,0,0,0,0,0,0,877,858,0,0,0,19,1165,844,266,7,30,4,0,2,0,1,0,0,0,0,0,0,0,11,1078,835,0,0,0,104,138,1,1147,803,319,0,25,0,896,881,0,0,0,15,931,898,0,0,33,1063,724,332,2,5,0,0,0,0,0,0,0,1017,717,274,9,17,0,1003,673,278,12,18,20,2,1042,712,304,26,0,0,0,1041,697,315,28,1,835,806,0,0,0,29,0,0,0,0,0,766,752,0,0,0,14,1067,722,343,2,0,1278,926,346,2,3,0,1,0,0,0,0,1174,829,311,34,0,1239,862,353,0,16,6,0,2,740,721,0,0,0,0,0,19,1095,847,0,0,0,243,5,0,11892194.2219,15534.4402416,6494.957204311997,2076350.1318393594
