ward2021,CDADEM12,CDADEM16,CDADEM20,CDADEM212,CDADEM216,CDAIND12,CDAIND16,CDAIND20,CDAREP12,CDAREP16,CDAREP20,CDASCT12,CDASCT16,CDASCT20,CDATOT12,CDATOT16,CDATOT20,GOVCON14,GOVCON18,GOVDEM12,GOVDEM14,GOVDEM18,GOVDEM218,GOVDEM318,GOVDEM418,GOVDEM518,GOVIND12,GOVIND14,GOVIND18,GOVIND214,GOVIND218,GOVIND314,GOVIND318,GOVIND414,GOVIND418,GOVIND514,GOVIND518,GOVLIB18,GOVREP12,GOVREP14,GOVREP18,GOVREP214,GOVREP218,GOVREP314,GOVSCT12,GOVSCT14,GOVSCT18,GOVTOT12,GOVTOT14,GOVTOT18,PRECON12,PRECON16,PRECON20,PREDEM12,PREDEM16,PREDEM20,PREGRN16,PREIND1016,PREIND1116,PREIND12,PREIND16,PREIND20,PREIND212,PREIND216,PREIND220,PREIND312,PREIND316,PREIND320,PREIND412,PREIND416,PREIND420,PREIND512,PREIND516,PREIND520,PREIND612,PREIND616,PREIND620,PREIND716,PREIND720,PREIND816,PREIND820,PREIND916,PREIND920,PRELIB16,PREREP12,PREREP16,PREREP20,PRESCT12,PRESCT16,PRESCT20,PRETOT12,PRETOT16,PRETOT20,SOSCON14,SOSDEM14,SOSDEM18,SOSGRN18,SOSIND14,SOSREP14,SOSREP18,SOSSCT14,SOSSCT18,SOSTOT14,SOSTOT18,TRSCON14,TRSCON18,TRSDEM14,TRSDEM18,TRSIND14,TRSIND214,TRSREP14,TRSREP18,TRSSCT14,TRSSCT18,TRSTOT14,TRSTOT18,USHDEM12,USHDEM14,USHDEM16,USHDEM18,USHDEM20,USHDEM216,USHDEM218,USHGRN16,USHIND12,USHIND14,USHIND16,USHIND18,USHIND20,USHIND214,USHIND218,USHLIB16,USHREP12,USHREP14,USHREP16,USHREP18,USHREP20,USHREP214,USHSCT12,USHSCT14,USHSCT16,USHSCT18,USHSCT20,USHTOT12,USHTOT14,USHTOT16,USHTOT18,USHTOT20,USSCON12,USSDEM12,USSDEM16,USSDEM18,USSIND12,USSIND18,USSIND212,USSIND218,USSIND312,USSLIB16,USSREP12,USSREP16,USSREP18,USSREP216,USSSCT12,USSSCT16,USSSCT18,USSTOT12,USSTOT16,USSTOT18,WAGCON18,WAGDEM14,WAGDEM18,WAGIND14,WAGREP14,WAGREP18,WAGSCT14,WAGSCT18,WAGTOT14,WAGTOT18,WSACON18,WSACON20,WSADEM12,WSADEM14,WSADEM16,WSADEM18,WSADEM20,WSADEM212,WSAIND12,WSAIND14,WSAIND16,WSAIND18,WSAIND20,WSAIND212,WSALIB16,WSALIB18,WSAREP12,WSAREP14,WSAREP16,WSAREP18,WSAREP20,WSAREP212,WSAREP214,WSAREP218,WSASCT12,WSASCT14,WSASCT16,WSASCT18,WSASCT20,WSATOT12,WSATOT14,WSATOT16,WSATOT18,WSATOT20,WSSAME12,WSSCON12,WSSDEM12,WSSDEM14,WSSDEM16,WSSDEM18,WSSDEM20,WSSIND12,WSSIND14,WSSIND16,WSSIND18,WSSIND20,WSSREP12,WSSREP14,WSSREP16,WSSREP18,WSSREP20,WSSREP212,WSSSCT12,WSSSCT14,WSSSCT16,WSSSCT18,WSSSCT20,WSSTOT12,WSSTOT14,WSSTOT16,WSSTOT18,WSSTOT20
1,921,920,940,0,0,0,0,0,0,0,0,15,20,17,936,940,957,0,0,917,747,808,0,0,0,0,6,0,11,5,3,0,2,0,0,0,0,9,263,224,192,0,0,0,2,2,2,1188,978,1027,0,7,5,1185,935,974,6,0,0,4,1,5,0,1,2,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,12,297,222,190,3,15,6,1489,1201,1184,10,702,802,1,11,211,189,1,2,935,994,14,16,665,795,19,9,223,185,2,2,932,998,1082,742,952,828,956,0,0,0,19,9,98,13,22,0,0,66,268,224,0,182,180,0,0,0,6,0,1,1369,975,1122,1023,1159,0,1125,890,842,14,0,8,0,0,20,306,261,182,0,2,1,4,1455,1172,1028,14,698,784,17,237,202,3,2,955,1002,0,0,874,764,912,879,947,0,0,0,0,0,0,0,0,0,0,0,0,0,182,0,0,0,13,15,17,15,1,887,779,929,894,1130,0,0,1060,0,994,0,1009,214,0,0,0,0,0,0,0,0,0,0,3,0,19,0,14,1277,0,1013,0,1023
2,330,345,300,0,0,0,0,0,0,0,0,2,1,6,332,346,306,0,0,336,281,258,0,0,0,0,2,0,2,1,1,0,0,0,0,0,0,1,21,16,15,0,0,0,0,0,1,359,298,278,0,2,0,500,361,324,4,0,0,0,2,3,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,23,30,28,0,2,1,523,405,357,2,263,251,0,4,18,15,0,1,287,267,4,4,262,254,7,0,15,15,1,1,289,274,451,282,365,258,320,0,0,0,7,2,15,5,6,0,0,10,18,16,0,12,25,0,0,0,2,1,0,476,300,392,276,351,0,476,346,260,1,0,2,0,0,4,28,45,15,0,0,0,1,507,395,276,10,272,245,3,19,16,0,1,294,272,0,0,316,262,340,261,307,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,1,1,3,3,1,317,263,343,264,340,0,0,427,0,361,0,327,30,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,457,0,364,0,332
3,677,734,705,0,0,0,0,0,0,0,0,5,9,8,682,743,713,0,0,713,614,575,0,0,0,0,5,2,3,1,1,0,2,0,0,0,0,2,214,200,170,0,0,0,0,0,0,932,817,753,0,3,1,909,761,718,4,1,0,0,2,3,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,12,229,178,146,0,9,4,1138,971,874,5,595,589,0,2,182,139,2,1,786,729,6,7,570,584,13,5,179,141,1,1,774,733,819,598,756,603,695,0,0,0,21,11,80,8,20,0,0,43,182,185,0,142,130,0,1,0,1,0,0,1023,794,880,753,845,0,841,722,602,10,0,7,0,0,16,227,220,145,0,0,0,2,1085,958,749,10,592,560,6,196,167,2,0,796,737,0,0,620,603,735,625,679,0,0,0,0,0,0,0,0,0,0,0,0,0,124,0,0,0,5,8,10,5,0,625,611,745,630,803,0,0,786,0,786,0,734,138,0,0,0,0,0,0,0,0,0,0,0,0,10,0,7,924,0,796,0,741
4,1100,1248,1201,0,0,0,0,0,0,0,0,17,20,28,1117,1268,1229,0,0,1160,1132,1094,0,0,0,0,7,1,6,12,4,0,0,0,0,0,0,3,264,227,171,0,0,0,1,2,1,1432,1374,1279,3,3,4,1576,1325,1257,5,0,0,11,0,8,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,26,275,204,188,2,10,7,1868,1573,1474,5,1099,1106,0,18,202,148,1,1,1325,1255,11,17,1057,1076,19,13,209,162,2,1,1311,1256,1435,1127,1314,1113,1238,0,0,0,33,22,90,18,21,0,0,85,253,209,0,143,175,0,1,1,2,2,1,1722,1359,1491,1276,1435,0,1469,1255,1143,20,0,13,0,0,18,297,265,136,0,2,2,3,1801,1540,1282,18,1107,1058,23,219,180,1,1,1350,1257,0,0,1067,1150,1253,1137,1195,0,0,0,0,0,0,0,0,0,0,0,0,0,182,0,0,0,14,12,14,12,5,1081,1162,1267,1149,1382,0,0,1382,0,1331,0,1288,220,0,0,0,0,0,0,0,0,0,0,3,0,20,0,20,1605,0,1351,0,1308
5,586,601,654,0,0,0,0,0,0,0,0,3,6,9,589,607,663,0,0,655,548,543,0,0,0,0,2,2,4,2,0,0,2,0,0,0,0,1,114,106,100,0,0,0,0,0,1,771,658,651,1,3,1,789,633,660,5,0,0,0,0,5,0,0,2,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,6,125,110,102,1,6,3,917,765,773,2,534,542,0,6,96,96,0,2,638,640,1,12,531,536,11,2,95,87,0,0,640,635,744,553,634,549,655,0,0,0,9,4,58,12,19,0,0,35,115,99,0,89,94,0,2,0,1,1,1,870,656,728,651,769,0,746,630,560,7,0,4,0,0,8,122,118,91,0,1,0,1,880,756,652,12,531,522,11,110,103,0,2,652,639,0,0,566,555,599,559,646,0,0,0,0,0,0,0,0,0,0,0,0,0,107,0,0,0,4,8,6,5,0,570,563,605,564,753,0,0,708,0,642,0,683,93,0,0,0,0,0,0,0,0,0,0,1,0,8,0,11,802,0,650,0,694
6,670.1575317604356,761.4395644283121,823.2392014519056,0,0,0,0,0,0,0,0,6.803629764065336,13.607259528130673,16.442105263157895,676.9611615245009,775.0468239564428,839.6813067150636,0,0,592.4827586206897,595.3176043557169,651.4475499092559,0,0,0,0,3.9687840290381127,1.700907441016334,2.834845735027223,6.236660617059891,2.2678765880217786,0,0,0,0,0,0,4.535753176043557,236.42613430127042,231.32341197822143,178.02831215970963,0,0,0,0.5669691470054447,1.700907441016334,0,833.4446460980037,836.2794918330309,839.1143375680581,1.1339382940108893,1.1339382940108893,0,790.9219600725953,733.6580762250454,798.292558983666,4.535753176043557,0,0,3.9687840290381127,0,5.102722323049002,0.5669691470054447,0,1.700907441016334,0,0,0,1.700907441016334,4.535753176043557,0,0,0,0,0,0,0.5669691470054447,0,0,0,0,0,0,22.678765880217785,261.93974591651545,204.67586206896553,198.43920145190563,2.834845735027223,3.9687840290381127,0.5669691470054447,1063.0671506352087,975.1869328493648,1004.6693284936479,7.370598911070781,597.5854809437386,667.8896551724138,0,14.174228675136117,185.3989110707804,154.78257713248638,0,0.5669691470054447,804.5292196007259,823.2392014519056,6.236660617059891,11.906352087114337,569.2370235934665,655.416333938294,15.308166969147006,15.308166969147006,192.76950998185117,155.34954627949185,0,0.5669691470054447,798.8595281306715,823.2392014519056,720.6177858439202,600.9872958257713,735.9259528130672,663.3539019963703,781.2834845735027,0,0,0,24.946642468239563,15.87513611615245,100.3535390199637,15.308166969147006,26.080580762250452,0,0,74.27295825771326,245.49764065335754,210.9125226860254,0,159.31833030852994,181.99709618874775,0,0,1.700907441016334,2.834845735027223,0,0,991.0620689655173,829.4758620689655,913.3872958257714,837.9803992740472,989.361161524501,0,761.4395644283121,709.8453720508166,682.06388384755,11.906352087114337,0,5.102722323049002,0,0,17.576043557168784,265.3415607985481,234.72522686025408,153.08166969147007,0,1.1339382940108893,0,1.1339382940108893,1044.9241379310345,962.1466424682395,836.2794918330309,10.772413793103448,573.77277676951,645.210889292196,21.544827586206896,224.5197822141561,174.62649727767695,0,0.5669691470054447,819.8373865698729,831.1767695099819,0,0,658.2511796733212,667.3226860254083,759.1716878402904,719.4838475499092,766.5422867513612,0,0,0,0,0,0,0,0,0,0,0,0,0,188.80072595281308,0,0,0,5.102722323049002,11.339382940108893,13.040290381125226,14.741197822141562,1.1339382940108893,663.3539019963703,678.6620689655173,772.2119782214156,734.2250453720508,956.4769509981851,0,0,738.7607985480944,0,792.0558983666061,0,848.1858439201452,197.8722323049002,0,0,0,0,0,0,0,0,0,0,0.5669691470054447,0,19.276950998185118,0,16.442105263157895,937.2,0,811.3328493647913,0,864.6279491833031
7,408,444,418,0,0,0,0,0,0,0,0,2,11,13,410,455,431,0,0,350,267,359,0,0,0,0,1,1,0,3,0,0,0,0,0,0,0,2,196,191,149,0,0,0,0,4,0,547,466,510,1,6,1,480,403,398,6,0,0,1,2,3,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,11,194,167,158,2,4,1,679,601,562,3,278,372,0,3,162,129,2,0,448,501,5,7,262,362,10,5,162,132,3,0,447,501,419,264,416,370,394,0,0,0,20,14,80,5,10,0,0,68,179,175,0,135,148,0,1,1,1,0,0,619,454,565,510,552,0,459,379,380,9,0,1,0,0,13,197,198,132,0,0,0,0,666,590,512,11,263,353,10,179,142,2,0,454,506,0,0,396,330,444,417,377,0,0,0,0,0,0,0,0,0,0,0,0,0,150,0,0,0,4,9,9,6,2,400,339,453,423,529,0,0,436,0,472,0,432,139,0,0,0,0,0,0,0,0,0,0,5,0,12,0,16,580,0,484,0,448
8,897.551206103642,1010.9932408859444,1095.2809825031277,0,0,0,0,0,0,0,0,11.83305904533681,18.591003118777863,22.708124680633624,909.3842651489789,1029.5842440047222,1117.989107183761,0,0,831.1988969746092,804.0845417863372,880.5284337391856,0,0,0,0,5.373576727221469,2.0798794777368594,3.7267281024791643,5.934519761069899,4.074484168237802,0,0,0,0,0,0,5.4162141208394265,314.0884288055257,303.94485577854914,248.40500414075024,0,0,0,0.8234243123711522,1.6894860183602627,0,1151.4843268197276,1117.7332828220533,1142.150864271492,1.6468486247423044,2.427635543495498,1.5615738375063872,1061.619174316776,971.0358430391344,1059.050312758797,5.806607580216024,0,0,4.202396349091678,0.3903934593765968,10.143573026976547,0.8234243123711522,0.3903934593765968,2.4702729371134566,0,0,0,1.6894860183602627,3.464246823956443,0,0,0,0,0,0,0.43303085299455535,0,0,0,0,0,0,27.081070604197137,344.896227512202,277.73650379715605,271.021197117333,3.3363346431025676,9.667904780364033,1.213817771747749,1418.213891776646,1298.0005990872728,1345.8937783024685,10.314122601448382,798.3991894701601,893.8671153947809,0,17.07206667488943,248.56889679840714,223.23326343981813,0.3903934593765968,1.6042112311243457,1074.7446690042816,1118.7045900657233,9.057667436082674,18.463090937923987,760.7415149859919,878.8749281976283,19.89009567776153,15.595767624618961,259.6638063186087,218.20078586154034,0,1.9946046905009425,1064.9488520430637,1117.5334096875936,970.445576445298,798.2646203724912,977.0622945042553,893.1356227864605,1033.5667964689092,0,0,0,30.765161313058343,19.542339612002888,133.25351258964284,22.622849893397706,32.802403397177244,0,0,103.96465032685497,326.0920374253343,289.1365319894984,0,223.18396912938522,260.80566313675047,0,0.7807869187531936,1.6894860183602627,4.117121561855761,0.7807869187531936,0.7807869187531936,1328.083562102444,1108.6329779923528,1218.3975789826086,1139.7232287279967,1327.95564992159,0.3903934593765968,1018.8011100734764,946.6022518633376,917.966264338449,12.99758250665163,0,7.020425351963773,0,0,24.745366764752525,344.76165841453314,312.3989427871654,218.8110232058217,0,1.2564551653657074,0,2.037242084118901,1385.2276249713673,1283.7465614152557,1138.8145296283897,19.158603069441263,769.6712702412208,858.9781756030518,24.65343506070164,304.21399397388683,250.49154053530208,0.3903934593765968,1.213817771747749,1098.9290927351858,1129.8421369795428,0,0,872.0610328969393,888.3589695698905,1014.3362324458619,966.0659736049196,1016.8424858597782,0,0,0,0,0,0,0,0,0,0,0,0,0,271.4675418039575,0,0,0,11.314753405106337,17.639666625552834,14.644431131393937,19.457064824766974,2.427635543495498,883.3757863020456,905.9986361954434,1028.9806635772557,985.5230384296865,1290.7376632072314,0,0,978.0562683910982,0,1058.971694888376,0,1118.238274628654,258.8763624830405,0,0,0,0,0,0,0,0,0,0,3.55617852800733,0,25.654065864359595,0,31.296780786918752,1240.4888094021462,0,1084.6257607527355,0,1149.5350554155725
9,599,550,620,0,0,0,0,0,0,0,0,11,11,11,610,561,631,0,0,615,498,559,0,0,0,0,1,1,5,2,3,0,0,0,0,0,0,4,129,115,116,0,0,0,1,0,1,746,616,688,3,2,0,792,578,633,3,0,0,2,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,139,97,115,2,6,0,938,694,751,5,490,553,0,6,85,108,0,1,586,662,5,8,475,554,8,6,93,102,0,1,587,665,744,493,578,574,631,0,0,0,15,6,45,4,9,0,0,30,120,105,0,110,99,0,1,1,0,1,1,880,605,653,689,740,0,759,551,583,8,0,4,0,0,7,147,121,104,0,0,0,2,918,679,689,8,479,544,13,112,121,0,1,604,674,0,0,587,529,570,582,601,0,0,0,0,0,0,0,0,0,0,0,0,0,108,0,0,0,8,11,9,14,0,595,540,579,596,709,0,0,731,0,588,0,636,96,0,0,0,0,0,0,0,0,0,0,2,0,13,0,15,829,0,601,0,651
10,752,858,904,0,0,0,0,0,0,0,0,14,19,28,766,877,932,0,0,722,724,722,0,0,0,0,2,2,2,5,4,0,0,0,0,0,0,5,343,332,240,0,0,0,0,0,0,1067,1063,973,2,4,2,926,844,880,7,0,0,3,0,4,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,30,346,266,284,0,11,4,1278,1165,1175,9,717,742,0,17,274,212,0,0,1017,954,12,12,673,721,18,20,278,213,2,0,1003,946,829,712,835,733,846,0,0,0,34,26,138,24,28,0,0,104,311,304,0,213,265,0,0,0,1,1,4,1174,1042,1078,971,1143,0,862,803,762,16,0,6,0,0,25,353,319,213,0,2,0,1,1239,1147,976,17,697,693,28,315,251,1,1,1041,962,0,0,721,806,881,789,839,0,0,0,0,0,0,0,0,0,0,0,0,0,261,0,0,0,19,29,15,25,3,740,835,896,814,1103,0,0,847,0,898,0,929,243,0,0,0,0,0,0,0,0,0,0,5,0,33,0,44,1095,0,931,0,973
