ward,year,race,office,preference,ballots
1,2004,GENERAL,MAYOR,MARVIN PRATT,525
1,2004,GENERAL,MAYOR,TOM BARRETT,319
1,2004,GENERAL,MAYOR,WRITE IN,1
2,2004,GENERAL,MAYOR,MARVIN PRATT,454
2,2004,GENERAL,MAYOR,TOM BARRETT,29
2,2004,GENERAL,MAYOR,WRITE IN,0
3,2004,GENERAL,MAYOR,MARVIN PRATT,604
3,2004,GENERAL,MAYOR,TOM BARRETT,33
3,2004,GENERAL,MAYOR,WRITE IN,2
4,2004,GENERAL,MAYOR,MARVIN PRATT,309
4,2004,GENERAL,MAYOR,TOM BARRETT,31
4,2004,GENERAL,MAYOR,WRITE IN,1
5,2004,GENERAL,MAYOR,MARVIN PRATT,377
5,2004,GENERAL,MAYOR,TOM BARRETT,45
5,2004,GENERAL,MAYOR,WRITE IN,1
6,2004,GENERAL,MAYOR,MARVIN PRATT,348
6,2004,GENERAL,MAYOR,TOM BARRETT,57
6,2004,GENERAL,MAYOR,WRITE IN,0
7,2004,GENERAL,MAYOR,MARVIN PRATT,355
7,2004,GENERAL,MAYOR,TOM BARRETT,90
7,2004,GENERAL,MAYOR,WRITE IN,1
8,2004,GENERAL,MAYOR,MARVIN PRATT,333
8,2004,GENERAL,MAYOR,TOM BARRETT,133
8,2004,GENERAL,MAYOR,WRITE IN,3
9,2004,GENERAL,MAYOR,MARVIN PRATT,312
9,2004,GENERAL,MAYOR,TOM BARRETT,108
9,2004,GENERAL,MAYOR,WRITE IN,2
10,2004,GENERAL,MAYOR,MARVIN PRATT,449
10,2004,GENERAL,MAYOR,TOM BARRETT,181
10,2004,GENERAL,MAYOR,WRITE IN,2
11,2004,GENERAL,MAYOR,MARVIN PRATT,472
11,2004,GENERAL,MAYOR,TOM BARRETT,22
11,2004,GENERAL,MAYOR,WRITE IN,1
12,2004,GENERAL,MAYOR,MARVIN PRATT,581
12,2004,GENERAL,MAYOR,TOM BARRETT,22
12,2004,GENERAL,MAYOR,WRITE IN,1
13,2004,GENERAL,MAYOR,MARVIN PRATT,439
13,2004,GENERAL,MAYOR,TOM BARRETT,17
13,2004,GENERAL,MAYOR,WRITE IN,1
14,2004,GENERAL,MAYOR,MARVIN PRATT,423
14,2004,GENERAL,MAYOR,TOM BARRETT,19
14,2004,GENERAL,MAYOR,WRITE IN,1
15,2004,GENERAL,MAYOR,MARVIN PRATT,890
15,2004,GENERAL,MAYOR,TOM BARRETT,111
15,2004,GENERAL,MAYOR,WRITE IN,0
16,2004,GENERAL,MAYOR,MARVIN PRATT,549
16,2004,GENERAL,MAYOR,TOM BARRETT,21
16,2004,GENERAL,MAYOR,WRITE IN,0
17,2004,GENERAL,MAYOR,MARVIN PRATT,1135
17,2004,GENERAL,MAYOR,TOM BARRETT,48
17,2004,GENERAL,MAYOR,WRITE IN,2
18,2004,GENERAL,MAYOR,MARVIN PRATT,708
18,2004,GENERAL,MAYOR,TOM BARRETT,37
18,2004,GENERAL,MAYOR,WRITE IN,0
19,2004,GENERAL,MAYOR,MARVIN PRATT,585
19,2004,GENERAL,MAYOR,TOM BARRETT,27
19,2004,GENERAL,MAYOR,WRITE IN,1
20,2004,GENERAL,MAYOR,MARVIN PRATT,321
20,2004,GENERAL,MAYOR,TOM BARRETT,150
20,2004,GENERAL,MAYOR,WRITE IN,1
21,2004,GENERAL,MAYOR,MARVIN PRATT,358
21,2004,GENERAL,MAYOR,TOM BARRETT,189
21,2004,GENERAL,MAYOR,WRITE IN,1
22,2004,GENERAL,MAYOR,MARVIN PRATT,328
22,2004,GENERAL,MAYOR,TOM BARRETT,80
22,2004,GENERAL,MAYOR,WRITE IN,0
23,2004,GENERAL,MAYOR,MARVIN PRATT,274
23,2004,GENERAL,MAYOR,TOM BARRETT,148
23,2004,GENERAL,MAYOR,WRITE IN,1
24,2004,GENERAL,MAYOR,MARVIN PRATT,332
24,2004,GENERAL,MAYOR,TOM BARRETT,139
24,2004,GENERAL,MAYOR,WRITE IN,3
25,2004,GENERAL,MAYOR,MARVIN PRATT,302
25,2004,GENERAL,MAYOR,TOM BARRETT,198
25,2004,GENERAL,MAYOR,WRITE IN,1
26,2004,GENERAL,MAYOR,MARVIN PRATT,385
26,2004,GENERAL,MAYOR,TOM BARRETT,334
26,2004,GENERAL,MAYOR,WRITE IN,1
27,2004,GENERAL,MAYOR,MARVIN PRATT,508
27,2004,GENERAL,MAYOR,TOM BARRETT,353
27,2004,GENERAL,MAYOR,WRITE IN,6
28,2004,GENERAL,MAYOR,MARVIN PRATT,313
28,2004,GENERAL,MAYOR,TOM BARRETT,132
28,2004,GENERAL,MAYOR,WRITE IN,1
29,2004,GENERAL,MAYOR,MARVIN PRATT,384
29,2004,GENERAL,MAYOR,TOM BARRETT,102
29,2004,GENERAL,MAYOR,WRITE IN,0
30,2004,GENERAL,MAYOR,MARVIN PRATT,454
30,2004,GENERAL,MAYOR,TOM BARRETT,174
30,2004,GENERAL,MAYOR,WRITE IN,3
31,2004,GENERAL,MAYOR,MARVIN PRATT,453
31,2004,GENERAL,MAYOR,TOM BARRETT,287
31,2004,GENERAL,MAYOR,WRITE IN,6
32,2004,GENERAL,MAYOR,MARVIN PRATT,473
32,2004,GENERAL,MAYOR,TOM BARRETT,120
32,2004,GENERAL,MAYOR,WRITE IN,2
33,2004,GENERAL,MAYOR,MARVIN PRATT,577
33,2004,GENERAL,MAYOR,TOM BARRETT,144
33,2004,GENERAL,MAYOR,WRITE IN,9
34,2004,GENERAL,MAYOR,MARVIN PRATT,285
34,2004,GENERAL,MAYOR,TOM BARRETT,168
34,2004,GENERAL,MAYOR,WRITE IN,2
35,2004,GENERAL,MAYOR,MARVIN PRATT,576
35,2004,GENERAL,MAYOR,TOM BARRETT,134
35,2004,GENERAL,MAYOR,WRITE IN,2
36,2004,GENERAL,MAYOR,MARVIN PRATT,553
36,2004,GENERAL,MAYOR,TOM BARRETT,327
36,2004,GENERAL,MAYOR,WRITE IN,5
37,2004,GENERAL,MAYOR,MARVIN PRATT,239
37,2004,GENERAL,MAYOR,TOM BARRETT,1035
37,2004,GENERAL,MAYOR,WRITE IN,15
38,2004,GENERAL,MAYOR,MARVIN PRATT,94
38,2004,GENERAL,MAYOR,TOM BARRETT,702
38,2004,GENERAL,MAYOR,WRITE IN,4
39,2004,GENERAL,MAYOR,MARVIN PRATT,175
39,2004,GENERAL,MAYOR,TOM BARRETT,511
39,2004,GENERAL,MAYOR,WRITE IN,4
40,2004,GENERAL,MAYOR,MARVIN PRATT,129
40,2004,GENERAL,MAYOR,TOM BARRETT,649
40,2004,GENERAL,MAYOR,WRITE IN,5
41,2004,GENERAL,MAYOR,MARVIN PRATT,252
41,2004,GENERAL,MAYOR,TOM BARRETT,587
41,2004,GENERAL,MAYOR,WRITE IN,2
42,2004,GENERAL,MAYOR,MARVIN PRATT,161
42,2004,GENERAL,MAYOR,TOM BARRETT,893
42,2004,GENERAL,MAYOR,WRITE IN,3
43,2004,GENERAL,MAYOR,MARVIN PRATT,90
43,2004,GENERAL,MAYOR,TOM BARRETT,502
43,2004,GENERAL,MAYOR,WRITE IN,4
44,2004,GENERAL,MAYOR,MARVIN PRATT,115
44,2004,GENERAL,MAYOR,TOM BARRETT,550
44,2004,GENERAL,MAYOR,WRITE IN,3
45,2004,GENERAL,MAYOR,MARVIN PRATT,64
45,2004,GENERAL,MAYOR,TOM BARRETT,343
45,2004,GENERAL,MAYOR,WRITE IN,2
46,2004,GENERAL,MAYOR,MARVIN PRATT,72
46,2004,GENERAL,MAYOR,TOM BARRETT,325
46,2004,GENERAL,MAYOR,WRITE IN,5
47,2004,GENERAL,MAYOR,MARVIN PRATT,64
47,2004,GENERAL,MAYOR,TOM BARRETT,329
47,2004,GENERAL,MAYOR,WRITE IN,6
48,2004,GENERAL,MAYOR,MARVIN PRATT,156
48,2004,GENERAL,MAYOR,TOM BARRETT,375
48,2004,GENERAL,MAYOR,WRITE IN,4
49,2004,GENERAL,MAYOR,MARVIN PRATT,107
49,2004,GENERAL,MAYOR,TOM BARRETT,406
49,2004,GENERAL,MAYOR,WRITE IN,3
50,2004,GENERAL,MAYOR,MARVIN PRATT,65
50,2004,GENERAL,MAYOR,TOM BARRETT,380
50,2004,GENERAL,MAYOR,WRITE IN,0
51,2004,GENERAL,MAYOR,MARVIN PRATT,217
51,2004,GENERAL,MAYOR,TOM BARRETT,568
51,2004,GENERAL,MAYOR,WRITE IN,10
52,2004,GENERAL,MAYOR,MARVIN PRATT,144
52,2004,GENERAL,MAYOR,TOM BARRETT,546
52,2004,GENERAL,MAYOR,WRITE IN,1
53,2004,GENERAL,MAYOR,MARVIN PRATT,168
53,2004,GENERAL,MAYOR,TOM BARRETT,462
53,2004,GENERAL,MAYOR,WRITE IN,6
54,2004,GENERAL,MAYOR,MARVIN PRATT,250
54,2004,GENERAL,MAYOR,TOM BARRETT,854
54,2004,GENERAL,MAYOR,WRITE IN,9
55,2004,GENERAL,MAYOR,MARVIN PRATT,104
55,2004,GENERAL,MAYOR,TOM BARRETT,329
55,2004,GENERAL,MAYOR,WRITE IN,1
56,2004,GENERAL,MAYOR,MARVIN PRATT,138
56,2004,GENERAL,MAYOR,TOM BARRETT,580
56,2004,GENERAL,MAYOR,WRITE IN,7
57,2004,GENERAL,MAYOR,MARVIN PRATT,90
