ward2021,year,race,office,preference,ballots
1,2016,DEMOCRATIC PRIMARY,PRESIDENTIAL CANDIDATE,BERNIE SANDERS,188
1,2016,DEMOCRATIC PRIMARY,PRESIDENTIAL CANDIDATE,HILLARY CLINTON,322
1,2016,DEMOCRATIC PRIMARY,PRESIDENTIAL CANDIDATE,MARTIN O'MALLEY,0
1,2016,DEMOCRATIC PRIMARY,PRESIDENTIAL CANDIDATE,UNINSTRUCTED DELEGATION,2
1,2016,DEMOCRATIC PRIMARY,PRESIDENTIAL CANDIDATE,WRITE-IN,1
1,2016,GENERAL,COUNTY EXECUTIVE,CHRIS ABELE,351
1,2016,GENERAL,COUNTY EXECUTIVE,CHRIS J. LARSON,294
1,2016,GENERAL,COUNTY EXECUTIVE,WRITE-IN,1
1,2016,GENERAL,MAYOR,BOB DONOVAN,200
1,2016,GENERAL,MAYOR,TOM BARRETT,481
1,2016,GENERAL,MAYOR,WRITE-IN,2
1,2016,GENERAL,SCOWIS,JOANNE F. KLOPPENBURG,335
1,2016,GENERAL,SCOWIS,REBECCA G. BRADLEY,284
1,2016,GENERAL,SCOWIS,WRITE-IN,1
1,2016,PRIMARY,MAYOR,BOB DONOVAN,86
1,2016,PRIMARY,MAYOR,JAMES METHU,16
1,2016,PRIMARY,MAYOR,"JOE DAVIS, SR.",86
1,2016,PRIMARY,MAYOR,TOM BARRETT,99
1,2016,PRIMARY,MAYOR,WRITE-IN,0
1,2016,REPUBLICAN PRIMARY,PRESIDENTIAL CANDIDATE,BEN CARSON,5
1,2016,REPUBLICAN PRIMARY,PRESIDENTIAL CANDIDATE,CARLY FIORINA,0
1,2016,REPUBLICAN PRIMARY,PRESIDENTIAL CANDIDATE,CHRIS CHRISTIE,1
1,2016,REPUBLICAN PRIMARY,PRESIDENTIAL CANDIDATE,DONALD J. TRUMP,49
1,2016,REPUBLICAN PRIMARY,PRESIDENTIAL CANDIDATE,JEB BUSH,2
1,2016,REPUBLICAN PRIMARY,PRESIDENTIAL CANDIDATE,JIM GILMORE,1
1,2016,REPUBLICAN PRIMARY,PRESIDENTIAL CANDIDATE,JOHN R. KASICH,28
1,2016,REPUBLICAN PRIMARY,PRESIDENTIAL CANDIDATE,MARCO RUBIO,4
1,2016,REPUBLICAN PRIMARY,PRESIDENTIAL CANDIDATE,MIKE HUCKABEE,0
1,2016,REPUBLICAN PRIMARY,PRESIDENTIAL CANDIDATE,RAND PAUL,0
1,2016,REPUBLICAN PRIMARY,PRESIDENTIAL CANDIDATE,RICK SANTORUM,0
1,2016,REPUBLICAN PRIMARY,PRESIDENTIAL CANDIDATE,TED CRUZ,111
1,2016,REPUBLICAN PRIMARY,PRESIDENTIAL CANDIDATE,UNINSTRUCTED DELEGATION,0
1,2016,REPUBLICAN PRIMARY,PRESIDENTIAL CANDIDATE,WRITE-IN,0
1,2018,GENERAL,SCOWIS,MICHAEL SCRENOCK,85
1,2018,GENERAL,SCOWIS,OVER VOTES,0
1,2018,GENERAL,SCOWIS,REBECCA DALLET,143
1,2018,GENERAL,SCOWIS,UNDER VOTES,4
1,2018,GENERAL,SCOWIS,WRITE-IN,0
1,2019,GENERAL,SCOWIS,BRIAN HAGEDORN,96
1,2019,GENERAL,SCOWIS,LISA NEUBAUER,157
1,2019,GENERAL,SCOWIS,OVER VOTES,0
1,2019,GENERAL,SCOWIS,UNDER VOTES,3
1,2019,GENERAL,SCOWIS,WRITE-IN,1
1,2020,DEMOCRATIC PRIMARY,PRESIDENTIAL CANDIDATE,AMY KLOBUCHAR,1
1,2020,DEMOCRATIC PRIMARY,PRESIDENTIAL CANDIDATE,ANDREW YANG,0
1,2020,DEMOCRATIC PRIMARY,PRESIDENTIAL CANDIDATE,BERNIE SANDERS,87
1,2020,DEMOCRATIC PRIMARY,PRESIDENTIAL CANDIDATE,DEVAL PATRICK,1
1,2020,DEMOCRATIC PRIMARY,PRESIDENTIAL CANDIDATE,ELIZABETH WARREN,6
1,2020,DEMOCRATIC PRIMARY,PRESIDENTIAL CANDIDATE,JOE BIDEN,202
1,2020,DEMOCRATIC PRIMARY,PRESIDENTIAL CANDIDATE,JOHN DELANEY,0
1,2020,DEMOCRATIC PRIMARY,PRESIDENTIAL CANDIDATE,MICHAEL BENNET,0
1,2020,DEMOCRATIC PRIMARY,PRESIDENTIAL CANDIDATE,MICHAEL R BLOOMBERG,0
1,2020,DEMOCRATIC PRIMARY,PRESIDENTIAL CANDIDATE,OVER VOTES,0
1,2020,DEMOCRATIC PRIMARY,PRESIDENTIAL CANDIDATE,PETE BUTTIGIEG,0
1,2020,DEMOCRATIC PRIMARY,PRESIDENTIAL CANDIDATE,TOM STEYER,0
1,2020,DEMOCRATIC PRIMARY,PRESIDENTIAL CANDIDATE,TULSI GABBARD,0
1,2020,DEMOCRATIC PRIMARY,PRESIDENTIAL CANDIDATE,UNDER VOTES,5
1,2020,DEMOCRATIC PRIMARY,PRESIDENTIAL CANDIDATE,UNINSTRUCTED DELEGATION,2
1,2020,DEMOCRATIC PRIMARY,PRESIDENTIAL CANDIDATE,WRITE IN,1
1,2020,GENERAL,COUNTY EXECUTIVE,CHRIS LARSON,95
1,2020,GENERAL,COUNTY EXECUTIVE,DAVID CROWLEY,253
1,2020,GENERAL,COUNTY EXECUTIVE,OVER VOTES,0
1,2020,GENERAL,COUNTY EXECUTIVE,UNDER VOTES,16
1,2020,GENERAL,COUNTY EXECUTIVE,WRITE IN,0
1,2020,GENERAL,MAYOR,LENA TAYLOR,191
1,2020,GENERAL,MAYOR,OVER VOTES,0
1,2020,GENERAL,MAYOR,TOM BARRETT,158
1,2020,GENERAL,MAYOR,UNDER VOTES,11
1,2020,GENERAL,MAYOR,WRITE IN,4
1,2020,GENERAL,SCOWIS,DANIEL KELLY,86
1,2020,GENERAL,SCOWIS,JILL J KAROFSKY,247
1,2020,GENERAL,SCOWIS,OVER VOTES,0
1,2020,GENERAL,SCOWIS,UNDER VOTES,31
1,2020,GENERAL,SCOWIS,WRITE IN,0
1,2020,MPS FUNDING,REFERENDUM,NO,63
1,2020,MPS FUNDING,REFERENDUM,OVER VOTES,0
1,2020,MPS FUNDING,REFERENDUM,UNDER VOTES,43
1,2020,MPS FUNDING,REFERENDUM,YES,258
1,2020,PRIMARY,COUNTY EXECUTIVE,CHRIS LARSON,54
1,2020,PRIMARY,COUNTY EXECUTIVE,DAVID CROWLEY,118
1,2020,PRIMARY,COUNTY EXECUTIVE,OVER VOTES,0
1,2020,PRIMARY,COUNTY EXECUTIVE,PURNIMA NATH,16
1,2020,PRIMARY,COUNTY EXECUTIVE,"THEODORE A. LIPSCOMB, SR.",47
1,2020,PRIMARY,COUNTY EXECUTIVE,UNDER VOTES,10
1,2020,PRIMARY,COUNTY EXECUTIVE,WRITE-IN,1
1,2020,PRIMARY,MAYOR,LENA TAYLOR,100
1,2020,PRIMARY,MAYOR,OVER VOTES,0
1,2020,PRIMARY,MAYOR,PAUL RASKY,8
1,2020,PRIMARY,MAYOR,T. ANTHONY ZIELINSKI,34
1,2020,PRIMARY,MAYOR,TOM BARRETT,99
1,2020,PRIMARY,MAYOR,UNDER VOTES,3
1,2020,PRIMARY,MAYOR,WRITE-IN,2
1,2020,PRIMARY,SCOWIS,DANIEL KELLY,83
1,2020,PRIMARY,SCOWIS,ED FALLONE,46
1,2020,PRIMARY,SCOWIS,JILL J. KAROFSKY,93
1,2020,PRIMARY,SCOWIS,OVER VOTES,0
1,2020,PRIMARY,SCOWIS,UNDER VOTES,21
1,2020,PRIMARY,SCOWIS,WRITE-IN,3
1,2020,REPUBLICAN PRIMARY,PRESIDENTIAL CANDIDATE,DONALD J. TRUMP,53
1,2020,REPUBLICAN PRIMARY,PRESIDENTIAL CANDIDATE,OVER VOTES,0
1,2020,REPUBLICAN PRIMARY,PRESIDENTIAL CANDIDATE,UNDER VOTES,1
1,2020,REPUBLICAN PRIMARY,PRESIDENTIAL CANDIDATE,UNINSTRUCTED DELEGATION,0
1,2020,REPUBLICAN PRIMARY,PRESIDENTIAL CANDIDATE,WRITE IN,0
2,2016,DEMOCRATIC PRIMARY,PRESIDENTIAL CANDIDATE,BERNIE SANDERS,55
2,2016,DEMOCRATIC PRIMARY,PRESIDENTIAL CANDIDATE,HILLARY CLINTON,122
2,2016,DEMOCRATIC PRIMARY,PRESIDENTIAL CANDIDATE,MARTIN O'MALLEY,0
2,2016,DEMOCRATIC PRIMARY,PRESIDENTIAL CANDIDATE,UNINSTRUCTED DELEGATION,0
2,2016,DEMOCRATIC PRIMARY,PRESIDENTIAL CANDIDATE,WRITE-IN,0
2,2016,GENERAL,COUNTY EXECUTIVE,CHRIS ABELE,94
2,2016,GENERAL,COUNTY EXECUTIVE,CHRIS J. LARSON,78
2,2016,GENERAL,COUNTY EXECUTIVE,WRITE-IN,2
2,2016,GENERAL,MAYOR,BOB DONOVAN,27
2,2016,GENERAL,MAYOR,TOM BARRETT,156
2,2016,GENERAL,MAYOR,WRITE-IN,1
2,2016,GENERAL,SCOWIS,JOANNE F. KLOPPENBURG,105
2,2016,GENERAL,SCOWIS,REBECCA G. BRADLEY,61
2,2016,GENERAL,SCOWIS,WRITE-IN,2
2,2016,PRIMARY,MAYOR,BOB DONOVAN,7
2,2016,PRIMARY,MAYOR,JAMES METHU,3
2,2016,PRIMARY,MAYOR,"JOE DAVIS, SR.",21
2,2016,PRIMARY,MAYOR,TOM BARRETT,16
2,2016,PRIMARY,MAYOR,WRITE-IN,1
2,2016,REPUBLICAN PRIMARY,PRESIDENTIAL CANDIDATE,BEN CARSON,0
2,2016,REPUBLICAN PRIMARY,PRESIDENTIAL CANDIDATE,CARLY FIORINA,1
2,2016,REPUBLICAN PRIMARY,PRESIDENTIAL CANDIDATE,CHRIS CHRISTIE,0
2,2016,REPUBLICAN PRIMARY,PRESIDENTIAL CANDIDATE,DONALD J. TRUMP,6
2,2016,REPUBLICAN PRIMARY,PRESIDENTIAL CANDIDATE,JEB BUSH,0
2,2016,REPUBLICAN PRIMARY,PRESIDENTIAL CANDIDATE,JIM GILMORE,0
2,2016,REPUBLICAN PRIMARY,PRESIDENTIAL CANDIDATE,JOHN R. KASICH,1
2,2016,REPUBLICAN PRIMARY,PRESIDENTIAL CANDIDATE,MARCO RUBIO,1
2,2016,REPUBLICAN PRIMARY,PRESIDENTIAL CANDIDATE,MIKE HUCKABEE,0
2,2016,REPUBLICAN PRIMARY,PRESIDENTIAL CANDIDATE,RAND PAUL,0
2,2016,REPUBLICAN PRIMARY,PRESIDENTIAL CANDIDATE,RICK SANTORUM,0
2,2016,REPUBLICAN PRIMARY,PRESIDENTIAL CANDIDATE,TED CRUZ,3
2,2016,REPUBLICAN PRIMARY,PRESIDENTIAL CANDIDATE,UNINSTRUCTED DELEGATION,0
2,2016,REPUBLICAN PRIMARY,PRESIDENTIAL CANDIDATE,WRITE-IN,0
2,2018,GENERAL,SCOWIS,MICHAEL SCRENOCK,7
2,2018,GENERAL,SCOWIS,OVER VOTES,0
2,2018,GENERAL,SCOWIS,REBECCA DALLET,18
2,2018,GENERAL,SCOWIS,UNDER VOTES,1
2,2018,GENERAL,SCOWIS,WRITE-IN,0
2,2019,GENERAL,SCOWIS,BRIAN HAGEDORN,12
2,2019,GENERAL,SCOWIS,LISA NEUBAUER,26
2,2019,GENERAL,SCOWIS,OVER VOTES,0
2,2019,GENERAL,SCOWIS,UNDER VOTES,3
2,2019,GENERAL,SCOWIS,WRITE-IN,0
2,2020,DEMOCRATIC PRIMARY,PRESIDENTIAL CANDIDATE,AMY KLOBUCHAR,0
2,2020,DEMOCRATIC PRIMARY,PRESIDENTIAL CANDIDATE,ANDREW YANG,0
2,2020,DEMOCRATIC PRIMARY,PRESIDENTIAL CANDIDATE,BERNIE SANDERS,12
2,2020,DEMOCRATIC PRIMARY,PRESIDENTIAL CANDIDATE,DEVAL PATRICK,0
2,2020,DEMOCRATIC PRIMARY,PRESIDENTIAL CANDIDATE,ELIZABETH WARREN,1
2,2020,DEMOCRATIC PRIMARY,PRESIDENTIAL CANDIDATE,JOE BIDEN,31
2,2020,DEMOCRATIC PRIMARY,PRESIDENTIAL CANDIDATE,JOHN DELANEY,0
2,2020,DEMOCRATIC PRIMARY,PRESIDENTIAL CANDIDATE,MICHAEL BENNET,0
2,2020,DEMOCRATIC PRIMARY,PRESIDENTIAL CANDIDATE,MICHAEL R BLOOMBERG,3
2,2020,DEMOCRATIC PRIMARY,PRESIDENTIAL CANDIDATE,OVER VOTES,0
2,2020,DEMOCRATIC PRIMARY,PRESIDENTIAL CANDIDATE,PETE BUTTIGIEG,0
2,2020,DEMOCRATIC PRIMARY,PRESIDENTIAL CANDIDATE,TOM STEYER,0
2,2020,DEMOCRATIC PRIMARY,PRESIDENTIAL CANDIDATE,TULSI GABBARD,0
2,2020,DEMOCRATIC PRIMARY,PRESIDENTIAL CANDIDATE,UNDER VOTES,1
2,2020,DEMOCRATIC PRIMARY,PRESIDENTIAL CANDIDATE,UNINSTRUCTED DELEGATION,0
2,2020,DEMOCRATIC PRIMARY,PRESIDENTIAL CANDIDATE,WRITE IN,0
2,2020,GENERAL,COUNTY EXECUTIVE,CHRIS LARSON,11
2,2020,GENERAL,COUNTY EXECUTIVE,DAVID CROWLEY,42
2,2020,GENERAL,COUNTY EXECUTIVE,OVER VOTES,0
2,2020,GENERAL,COUNTY EXECUTIVE,UNDER VOTES,3
2,2020,GENERAL,COUNTY EXECUTIVE,WRITE IN,0
2,2020,GENERAL,MAYOR,LENA TAYLOR,36
2,2020,GENERAL,MAYOR,OVER VOTES,0
2,2020,GENERAL,MAYOR,TOM BARRETT,18
2,2020,GENERAL,MAYOR,UNDER VOTES,1
2,2020,GENERAL,MAYOR,WRITE IN,1
2,2020,GENERAL,SCOWIS,DANIEL KELLY,22
2,2020,GENERAL,SCOWIS,JILL J KAROFSKY,32
2,2020,GENERAL,SCOWIS,OVER VOTES,0
2,2020,GENERAL,SCOWIS,UNDER VOTES,2
2,2020,GENERAL,SCOWIS,WRITE IN,0
2,2020,MPS FUNDING,REFERENDUM,NO,9
2,2020,MPS FUNDING,REFERENDUM,OVER VOTES,0
2,2020,MPS FUNDING,REFERENDUM,UNDER VOTES,7
2,2020,MPS FUNDING,REFERENDUM,YES,40
2,2020,PRIMARY,COUNTY EXECUTIVE,CHRIS LARSON,11
2,2020,PRIMARY,COUNTY EXECUTIVE,DAVID CROWLEY,16
2,2020,PRIMARY,COUNTY EXECUTIVE,OVER VOTES,0
2,2020,PRIMARY,COUNTY EXECUTIVE,PURNIMA NATH,2
2,2020,PRIMARY,COUNTY EXECUTIVE,"THEODORE A. LIPSCOMB, SR.",4
2,2020,PRIMARY,COUNTY EXECUTIVE,UNDER VOTES,1
2,2020,PRIMARY,COUNTY EXECUTIVE,WRITE-IN,0
2,2020,PRIMARY,MAYOR,LENA TAYLOR,12
2,2020,PRIMARY,MAYOR,OVER VOTES,0
2,2020,PRIMARY,MAYOR,PAUL RASKY,0
2,2020,PRIMARY,MAYOR,T. ANTHONY ZIELINSKI,7
2,2020,PRIMARY,MAYOR,TOM BARRETT,12
2,2020,PRIMARY,MAYOR,UNDER VOTES,1
2,2020,PRIMARY,MAYOR,WRITE-IN,2
2,2020,PRIMARY,SCOWIS,DANIEL KELLY,15
2,2020,PRIMARY,SCOWIS,ED FALLONE,10
2,2020,PRIMARY,SCOWIS,JILL J. KAROFSKY,7
2,2020,PRIMARY,SCOWIS,OVER VOTES,0
2,2020,PRIMARY,SCOWIS,UNDER VOTES,2
2,2020,PRIMARY,SCOWIS,WRITE-IN,0
2,2020,REPUBLICAN PRIMARY,PRESIDENTIAL CANDIDATE,DONALD J. TRUMP,6
2,2020,REPUBLICAN PRIMARY,PRESIDENTIAL CANDIDATE,OVER VOTES,0
2,2020,REPUBLICAN PRIMARY,PRESIDENTIAL CANDIDATE,UNDER VOTES,0
2,2020,REPUBLICAN PRIMARY,PRESIDENTIAL CANDIDATE,UNINSTRUCTED DELEGATION,1
2,2020,REPUBLICAN PRIMARY,PRESIDENTIAL CANDIDATE,WRITE IN,1
3,2016,DEMOCRATIC PRIMARY,PRESIDENTIAL CANDIDATE,BERNIE SANDERS,129
3,2016,DEMOCRATIC PRIMARY,PRESIDENTIAL CANDIDATE,HILLARY CLINTON,329
3,2016,DEMOCRATIC PRIMARY,PRESIDENTIAL CANDIDATE,MARTIN O'MALLEY,1
3,2016,DEMOCRATIC PRIMARY,PRESIDENTIAL CANDIDATE,UNINSTRUCTED DELEGATION,3
3,2016,DEMOCRATIC PRIMARY,PRESIDENTIAL CANDIDATE,WRITE-IN,0
3,2016,GENERAL,COUNTY EXECUTIVE,CHRIS ABELE,354
3,2016,GENERAL,COUNTY EXECUTIVE,CHRIS J. LARSON,243
3,2016,GENERAL,COUNTY EXECUTIVE,WRITE-IN,1
3,2016,GENERAL,MAYOR,BOB DONOVAN,173
3,2016,GENERAL,MAYOR,TOM BARRETT,461
3,2016,GENERAL,MAYOR,WRITE-IN,3
3,2016,GENERAL,SCOWIS,JOANNE F. KLOPPENBURG,321
3,2016,GENERAL,SCOWIS,REBECCA G. BRADLEY,259
3,2016,GENERAL,SCOWIS,WRITE-IN,2
3,2016,PRIMARY,MAYOR,BOB DONOVAN,109
3,2016,PRIMARY,MAYOR,JAMES METHU,4
3,2016,PRIMARY,MAYOR,"JOE DAVIS, SR.",56
3,2016,PRIMARY,MAYOR,TOM BARRETT,201
3,2016,PRIMARY,MAYOR,WRITE-IN,0
3,2016,REPUBLICAN PRIMARY,PRESIDENTIAL CANDIDATE,BEN CARSON,1
3,2016,REPUBLICAN PRIMARY,PRESIDENTIAL CANDIDATE,CARLY FIORINA,0
3,2016,REPUBLICAN PRIMARY,PRESIDENTIAL CANDIDATE,CHRIS CHRISTIE,2
3,2016,REPUBLICAN PRIMARY,PRESIDENTIAL CANDIDATE,DONALD J. TRUMP,33
3,2016,REPUBLICAN PRIMARY,PRESIDENTIAL CANDIDATE,JEB BUSH,6
3,2016,REPUBLICAN PRIMARY,PRESIDENTIAL CANDIDATE,JIM GILMORE,0
3,2016,REPUBLICAN PRIMARY,PRESIDENTIAL CANDIDATE,JOHN R. KASICH,49
3,2016,REPUBLICAN PRIMARY,PRESIDENTIAL CANDIDATE,MARCO RUBIO,4
3,2016,REPUBLICAN PRIMARY,PRESIDENTIAL CANDIDATE,MIKE HUCKABEE,4
3,2016,REPUBLICAN PRIMARY,PRESIDENTIAL CANDIDATE,RAND PAUL,0
3,2016,REPUBLICAN PRIMARY,PRESIDENTIAL CANDIDATE,RICK SANTORUM,0
3,2016,REPUBLICAN PRIMARY,PRESIDENTIAL CANDIDATE,TED CRUZ,97
3,2016,REPUBLICAN PRIMARY,PRESIDENTIAL CANDIDATE,UNINSTRUCTED DELEGATION,4
3,2016,REPUBLICAN PRIMARY,PRESIDENTIAL CANDIDATE,WRITE-IN,0
3,2018,GENERAL,SCOWIS,MICHAEL SCRENOCK,98
3,2018,GENERAL,SCOWIS,OVER VOTES,2
3,2018,GENERAL,SCOWIS,REBECCA DALLET,176
3,2018,GENERAL,SCOWIS,UNDER VOTES,18
3,2018,GENERAL,SCOWIS,WRITE-IN,0
3,2019,GENERAL,SCOWIS,BRIAN HAGEDORN,90
3,2019,GENERAL,SCOWIS,LISA NEUBAUER,205
3,2019,GENERAL,SCOWIS,OVER VOTES,0
3,2019,GENERAL,SCOWIS,UNDER VOTES,11
3,2019,GENERAL,SCOWIS,WRITE-IN,1
3,2020,DEMOCRATIC PRIMARY,PRESIDENTIAL CANDIDATE,AMY KLOBUCHAR,2
3,2020,DEMOCRATIC PRIMARY,PRESIDENTIAL CANDIDATE,ANDREW YANG,1
3,2020,DEMOCRATIC PRIMARY,PRESIDENTIAL CANDIDATE,BERNIE SANDERS,67
3,2020,DEMOCRATIC PRIMARY,PRESIDENTIAL CANDIDATE,DEVAL PATRICK,1
3,2020,DEMOCRATIC PRIMARY,PRESIDENTIAL CANDIDATE,ELIZABETH WARREN,2
3,2020,DEMOCRATIC PRIMARY,PRESIDENTIAL CANDIDATE,JOE BIDEN,213
3,2020,DEMOCRATIC PRIMARY,PRESIDENTIAL CANDIDATE,JOHN DELANEY,0
3,2020,DEMOCRATIC PRIMARY,PRESIDENTIAL CANDIDATE,MICHAEL BENNET,0
3,2020,DEMOCRATIC PRIMARY,PRESIDENTIAL CANDIDATE,MICHAEL R BLOOMBERG,4
3,2020,DEMOCRATIC PRIMARY,PRESIDENTIAL CANDIDATE,OVER VOTES,0
3,2020,DEMOCRATIC PRIMARY,PRESIDENTIAL CANDIDATE,PETE BUTTIGIEG,1
3,2020,DEMOCRATIC PRIMARY,PRESIDENTIAL CANDIDATE,TOM STEYER,0
3,2020,DEMOCRATIC PRIMARY,PRESIDENTIAL CANDIDATE,TULSI GABBARD,1
3,2020,DEMOCRATIC PRIMARY,PRESIDENTIAL CANDIDATE,UNDER VOTES,4
3,2020,DEMOCRATIC PRIMARY,PRESIDENTIAL CANDIDATE,UNINSTRUCTED DELEGATION,1
3,2020,DEMOCRATIC PRIMARY,PRESIDENTIAL CANDIDATE,WRITE IN,3
3,2020,GENERAL,COUNTY EXECUTIVE,CHRIS LARSON,136
3,2020,GENERAL,COUNTY EXECUTIVE,DAVID CROWLEY,197
3,2020,GENERAL,COUNTY EXECUTIVE,OVER VOTES,0
3,2020,GENERAL,COUNTY EXECUTIVE,UNDER VOTES,56
3,2020,GENERAL,COUNTY EXECUTIVE,WRITE IN,0
3,2020,GENERAL,MAYOR,LENA TAYLOR,126
3,2020,GENERAL,MAYOR,OVER VOTES,0
3,2020,GENERAL,MAYOR,TOM BARRETT,241
3,2020,GENERAL,MAYOR,UNDER VOTES,22
3,2020,GENERAL,MAYOR,WRITE IN,0
3,2020,GENERAL,SCOWIS,DANIEL KELLY,102
3,2020,GENERAL,SCOWIS,JILL J KAROFSKY,231
3,2020,GENERAL,SCOWIS,OVER VOTES,0
3,2020,GENERAL,SCOWIS,UNDER VOTES,55
3,2020,GENERAL,SCOWIS,WRITE IN,1
3,2020,MPS FUNDING,REFERENDUM,NO,60
3,2020,MPS FUNDING,REFERENDUM,OVER VOTES,0
3,2020,MPS FUNDING,REFERENDUM,UNDER VOTES,87
3,2020,MPS FUNDING,REFERENDUM,YES,242
3,2020,PRIMARY,COUNTY EXECUTIVE,CHRIS LARSON,78
3,2020,PRIMARY,COUNTY EXECUTIVE,DAVID CROWLEY,102
3,2020,PRIMARY,COUNTY EXECUTIVE,OVER VOTES,0
3,2020,PRIMARY,COUNTY EXECUTIVE,PURNIMA NATH,26
3,2020,PRIMARY,COUNTY EXECUTIVE,"THEODORE A. LIPSCOMB, SR.",67
3,2020,PRIMARY,COUNTY EXECUTIVE,UNDER VOTES,42
3,2020,PRIMARY,COUNTY EXECUTIVE,WRITE-IN,0
3,2020,PRIMARY,MAYOR,LENA TAYLOR,82
3,2020,PRIMARY,MAYOR,OVER VOTES,0
3,2020,PRIMARY,MAYOR,PAUL RASKY,8
3,2020,PRIMARY,MAYOR,T. ANTHONY ZIELINSKI,44
3,2020,PRIMARY,MAYOR,TOM BARRETT,169
3,2020,PRIMARY,MAYOR,UNDER VOTES,10
3,2020,PRIMARY,MAYOR,WRITE-IN,2
3,2020,PRIMARY,SCOWIS,DANIEL KELLY,117
3,2020,PRIMARY,SCOWIS,ED FALLONE,53
3,2020,PRIMARY,SCOWIS,JILL J. KAROFSKY,108
3,2020,PRIMARY,SCOWIS,OVER VOTES,0
3,2020,PRIMARY,SCOWIS,UNDER VOTES,36
3,2020,PRIMARY,SCOWIS,WRITE-IN,1
3,2020,REPUBLICAN PRIMARY,PRESIDENTIAL CANDIDATE,DONALD J. TRUMP,65
3,2020,REPUBLICAN PRIMARY,PRESIDENTIAL CANDIDATE,OVER VOTES,0
3,2020,REPUBLICAN PRIMARY,PRESIDENTIAL CANDIDATE,UNDER VOTES,3
3,2020,REPUBLICAN PRIMARY,PRESIDENTIAL CANDIDATE,UNINSTRUCTED DELEGATION,3
3,2020,REPUBLICAN PRIMARY,PRESIDENTIAL CANDIDATE,WRITE IN,1
4,2016,DEMOCRATIC PRIMARY,PRESIDENTIAL CANDIDATE,BERNIE SANDERS,276
4,2016,DEMOCRATIC PRIMARY,PRESIDENTIAL CANDIDATE,HILLARY CLINTON,594
4,2016,DEMOCRATIC PRIMARY,PRESIDENTIAL CANDIDATE,MARTIN O'MALLEY,2
4,2016,DEMOCRATIC PRIMARY,PRESIDENTIAL CANDIDATE,UNINSTRUCTED DELEGATION,0
4,2016,DEMOCRATIC PRIMARY,PRESIDENTIAL CANDIDATE,WRITE-IN,0
4,2016,GENERAL,COUNTY EXECUTIVE,CHRIS ABELE,521
4,2016,GENERAL,COUNTY EXECUTIVE,CHRIS J. LARSON,433
4,2016,GENERAL,COUNTY EXECUTIVE,WRITE-IN,2
4,2016,GENERAL,MAYOR,BOB DONOVAN,180
4,2016,GENERAL,MAYOR,TOM BARRETT,809
4,2016,GENERAL,MAYOR,WRITE-IN,3
4,2016,GENERAL,SCOWIS,JOANNE F. KLOPPENBURG,638
4,2016,GENERAL,SCOWIS,REBECCA G. BRADLEY,290
4,2016,GENERAL,SCOWIS,WRITE-IN,5
4,2016,PRIMARY,MAYOR,BOB DONOVAN,78
4,2016,PRIMARY,MAYOR,JAMES METHU,10
4,2016,PRIMARY,MAYOR,"JOE DAVIS, SR.",139
4,2016,PRIMARY,MAYOR,TOM BARRETT,275
4,2016,PRIMARY,MAYOR,WRITE-IN,1
4,2016,REPUBLICAN PRIMARY,PRESIDENTIAL CANDIDATE,BEN CARSON,2
4,2016,REPUBLICAN PRIMARY,PRESIDENTIAL CANDIDATE,CARLY FIORINA,0
4,2016,REPUBLICAN PRIMARY,PRESIDENTIAL CANDIDATE,CHRIS CHRISTIE,0
4,2016,REPUBLICAN PRIMARY,PRESIDENTIAL CANDIDATE,DONALD J. TRUMP,50
4,2016,REPUBLICAN PRIMARY,PRESIDENTIAL CANDIDATE,JEB BUSH,0
4,2016,REPUBLICAN PRIMARY,PRESIDENTIAL CANDIDATE,JIM GILMORE,1
4,2016,REPUBLICAN PRIMARY,PRESIDENTIAL CANDIDATE,JOHN R. KASICH,29
4,2016,REPUBLICAN PRIMARY,PRESIDENTIAL CANDIDATE,MARCO RUBIO,1
