Ward,JoAnne F. Kloppenburg,Rebecca G. Bradley,WRITE-IN
1,335,284,1
2,105,61,2
3,321,259,2
4,638,290,5
5,293,148,1
6,594,438,4
7,155,179,1
8,559,330,0
9,302,147,1
10,419,300,2
11,370,251,1
12,261,199,1
13,161,123,2
14,355,154,4
15,286,237,0
16,512,298,2
17,221,160,3
18,335,196,1
19,206,152,3
20,325,204,2
21,284,148,8
22,236,135,3
23,86,61,1
24,81,60,3
25,213,132,3
26,221,121,1
27,215,112,1
28,40,41,0
29,106,67,0
30,218,137,4
31,183,106,1
32,522,286,5
33,713,667,2
34,305,308,4
35,236,239,2
36,257,164,4
37,184,113,2
38,181,100,3
39,237,177,1
40,228,124,1
41,225,117,2
42,317,155,3
43,194,88,0
44,323,182,8
45,272,196,4
46,150,83,0
47,299,185,3
48,145,81,1
49,212,104,0
50,190,111,0
51,177,91,1
52,277,133,0
53,97,61,1
54,194,76,0
55,385,239,2
56,286,111,4
57,292,130,2
58,213,77,1
59,601,198,3
60,312,137,1
61,314,103,1
62,216,69,2
63,206,84,0
64,487,234,2
65,417,177,0
66,206,105,2
67,229,82,1
68,354,207,1
69,276,132,1
70,441,208,3
71,251,107,4
72,362,148,4
73,386,198,5
74,284,123,0
75,250,180,0
76,243,150,2
77,208,125,0
78,399,222,3
79,361,250,4
80,484,423,0
81,168,228,2
82,288,269,3
83,325,350,4
84,249,226,0
85,361,303,2
86,328,311,2
87,206,172,2
88,266,217,1
89,348,267,1
90,335,264,0
91,467,267,4
92,524,282,5
93,265,183,1
94,140,56,1
95,201,77,0
96,430,154,3
97,344,206,2
98,299,95,1
99,493,183,5
100,320,123,2
101,446,143,1
102,469,174,2
103,510,196,3
104,398,173,1
105,163,64,2
106,145,63,2
107,218,91,3
108,275,106,0
109,249,107,3
110,145,62,0
111,163,77,1
112,197,101,0
113,207,98,1
114,213,81,2
115,349,144,2
116,151,55,3
117,184,72,3
118,225,79,2
119,237,90,3
120,195,86,3
121,214,104,2
122,246,121,2
123,399,139,5
124,241,82,2
125,713,158,2
126,521,111,2
127,626,177,2
128,629,219,5
129,443,143,3
130,348,225,4
131,581,236,1
132,814,337,1
133,433,143,6
134,387,157,6
135,472,176,3
136,481,155,1
137,350,113,1
138,1258,231,7
139,642,213,6
140,156,71,2
141,243,85,4
142,251,93,1
143,180,74,2
144,146,75,1
145,94,39,1
146,66,44,2
147,236,120,3
148,209,102,0
149,226,113,3
150,166,102,0
151,141,80,1
152,103,48,2
153,254,130,4
154,195,77,1
155,107,71,1
156,228,108,1
157,187,95,1
158,171,63,1
159,150,94,1
160,200,91,1
161,69,27,0
162,100,58,2
163,230,106,5
164,319,164,3
165,242,145,1
166,128,58,0
167,402,183,1
168,757,295,3
169,134,70,2
170,105,44,2
171,35,22,2
172,125,69,1
173,209,90,6
174,325,128,1
175,223,87,3
176,236,120,5
177,766,312,8
178,611,221,3
179,707,264,5
180,465,182,3
181,703,323,2
182,600,267,10
183,720,322,4
184,581,309,3
185,728,339,5
186,606,452,1
187,141,72,2
188,122,79,0
189,196,95,1
190,270,200,1
191,151,137,2
192,159,154,1
193,200,78,2
194,170,106,3
195,127,86,2
196,220,136,2
197,116,60,2
198,242,109,5
199,231,108,3
200,152,64,0
201,136,61,2
202,316,145,2
203,498,205,2
204,401,162,0
205,377,214,3
206,312,176,3
207,255,260,0
208,299,255,4
209,248,284,1
210,217,260,1
211,214,250,1
212,244,265,5
213,266,279,1
214,141,88,1
215,91,60,0
216,83,78,1
217,172,139,2
218,199,187,3
219,143,113,1
220,199,116,2
221,306,248,1
222,136,130,0
223,174,158,3
224,109,103,1
225,100,90,0
226,60,41,0
227,210,118,2
228,77,78,3
229,69,64,1
230,165,109,2
231,50,49,2
232,36,48,0
233,42,34,0
234,86,59,0
235,499,250,3
236,125,78,3
237,151,96,6
238,90,110,0
239,114,80,1
240,148,102,1
241,460,177,3
242,460,156,4
243,566,253,3
244,441,180,1
245,383,139,2
246,703,239,5
247,305,156,4
248,629,244,3
249,109,83,1
250,77,59,3
251,43,52,0
252,122,93,0
253,59,49,0
254,31,60,2
255,64,69,0
256,66,52,0
257,159,129,0
258,221,187,2
259,166,117,3
260,131,99,0
261,184,161,0
262,381,323,1
263,168,175,4
264,397,404,1
265,223,214,0
266,196,282,0
267,201,209,2
268,393,457,1
269,248,335,0
270,235,315,0
271,465,472,5
272,315,414,0
273,167,252,1
274,167,209,1
275,373,441,2
276,427,516,1
277,377,424,1
278,216,271,2
279,312,374,1
280,558,499,3
281,261,236,1
282,84,72,1
283,195,224,1
284,224,191,2
285,32,61,0
286,137,129,0
287,172,125,3
288,344,358,3
289,206,161,0
290,142,115,2
291,142,140,2
292,209,173,0
293,310,237,0
294,252,201,0
295,322,199,0
296,440,288,2
297,436,198,3
298,361,155,3
299,414,232,0
300,708,239,4
301,471,334,3
302,262,227,1
303,457,398,1
304,297,297,1
305,304,284,2
306,266,213,1
307,262,272,2
308,188,172,0
309,350,406,3
310,79,98,0
311,182,217,0
312,299,357,0
313,533,649,5
314,217,278,1
315,379,479,2
316,218,290,0
317,322,283,0
318,0,0,0
319,0,0,0
320,13,4,0
321,36,34,0
322,31,33,0
323,48,47,1
324,20,16,0
325,173,59,1
326,1,3,0
327,0,0,0
