Ward,Tearman Spencer ,Grant F Langley,Write In,Over Votes,Under Votes
1,231,92,0,0,41
2,35,16,0,0,5
3,169,144,0,0,76
4,313,158,2,0,52
5,180,95,1,0,21
6,424,225,1,0,69
7,78,79,0,0,23
8,393,252,1,0,69
9,178,93,1,0,23
10,246,218,6,0,52
11,194,99,2,0,46
12,146,69,0,0,25
13,104,63,1,0,24
14,205,76,0,0,32
15,159,123,2,1,41
16,288,117,1,0,48
17,130,65,0,0,16
18,177,93,2,0,18
19,101,58,0,0,12
20,149,73,2,0,32
21,102,60,1,0,11
22,124,54,0,0,22
23,51,29,0,0,6
24,32,12,0,0,4
25,110,31,1,0,23
26,121,65,1,0,20
27,114,53,1,0,15
28,10,13,0,0,2
29,38,29,0,0,6
30,134,70,0,0,17
31,96,28,0,0,19
32,280,152,3,0,58
33,383,389,4,0,106
34,190,127,0,0,45
35,121,139,0,0,39
36,149,76,2,0,21
37,83,50,1,0,25
38,99,47,0,0,23
39,118,77,4,0,22
40,125,53,1,0,23
41,115,44,0,0,21
42,202,71,2,0,36
43,39,26,1,0,3
44,212,72,0,0,38
45,149,70,0,0,32
46,78,28,1,0,12
47,139,62,1,0,26
48,96,31,0,0,12
49,84,39,0,0,11
50,90,26,0,0,8
51,79,23,1,0,18
52,123,38,1,0,16
53,58,25,0,0,4
54,83,20,0,0,17
55,226,130,0,0,49
56,135,40,0,0,29
57,147,36,0,0,32
58,146,40,1,0,22
59,335,78,0,0,32
60,163,36,1,0,28
61,168,27,0,0,12
62,110,27,1,0,24
63,101,36,0,0,17
64,232,64,1,0,34
65,223,72,1,0,30
66,89,35,0,0,25
67,95,23,0,0,7
68,201,92,1,0,35
69,171,44,2,0,32
70,312,103,0,0,43
71,160,57,0,0,27
72,233,82,2,0,43
73,231,89,2,0,28
74,160,51,0,0,20
75,187,101,0,0,37
76,158,57,2,0,16
77,120,63,0,0,23
78,196,106,1,0,47
79,200,147,1,0,44
80,295,250,2,0,86
81,101,96,0,0,35
82,182,209,1,0,48
83,193,178,2,0,60
84,146,127,0,0,41
85,183,199,0,0,81
86,213,173,2,0,66
87,124,110,2,0,45
88,196,120,1,0,52
89,201,138,1,0,54
90,195,142,0,0,54
91,269,118,0,0,40
92,288,224,0,0,79
93,156,198,0,0,60
94,66,35,0,0,17
95,111,45,2,0,14
96,284,128,2,0,41
97,215,110,1,0,44
98,198,49,1,0,28
99,287,96,1,0,43
100,148,64,1,0,17
101,235,72,2,0,35
102,292,112,0,0,41
103,281,125,1,0,44
104,216,75,0,0,32
105,72,22,2,0,9
106,70,18,0,0,6
107,122,27,0,0,12
108,113,33,1,0,23
109,107,29,2,0,19
110,64,14,0,0,9
111,64,25,0,0,14
112,82,20,0,0,21
113,93,31,0,0,13
114,103,26,1,0,15
115,183,44,0,0,21
116,70,15,0,0,6
117,62,30,0,0,14
118,98,27,0,0,21
119,134,35,1,0,18
120,69,25,0,0,14
121,104,36,1,0,26
122,118,43,1,0,24
123,239,60,1,0,50
124,162,60,0,0,15
125,482,141,5,0,99
126,351,121,0,0,49
127,357,163,0,0,92
128,371,156,0,0,73
129,281,165,1,0,74
130,75,29,0,0,10
131,267,289,0,0,77
132,392,454,4,0,158
133,269,80,0,0,57
134,269,110,2,0,66
135,364,139,0,0,68
136,254,72,4,0,65
137,235,87,0,0,42
138,844,195,5,0,163
139,418,98,2,0,75
140,66,15,0,0,14
141,126,36,2,0,19
142,136,32,0,0,7
143,74,18,0,0,11
144,83,17,1,0,10
145,48,8,0,0,3
146,33,12,0,0,7
147,96,36,1,0,18
148,111,30,0,0,16
149,94,35,0,0,17
150,112,27,1,0,22
151,47,16,1,0,9
152,56,27,1,0,11
153,153,68,0,0,29
