Ward,Chris Larson,David Crowley,Write In,Over Votes,Under Votes
1,95,253,0,0,16
2,11,42,0,0,3
3,136,197,0,0,56
4,176,323,1,0,25
5,80,208,1,0,8
6,223,458,0,0,38
7,73,90,1,0,16
8,220,465,0,0,30
9,81,207,0,0,7
10,185,312,4,0,21
11,97,215,3,0,26
12,60,170,1,0,9
13,56,128,1,0,7
14,74,219,1,0,19
15,139,172,6,0,9
16,102,333,0,0,19
17,66,137,0,0,8
18,104,174,2,0,10
19,59,103,1,0,8
20,53,189,1,0,13
21,49,121,1,0,3
22,70,118,0,0,12
23,22,60,0,0,4
24,9,39,0,0,0
25,37,118,1,0,9
26,49,149,1,0,8
27,51,124,0,0,8
28,3,20,0,0,2
29,29,43,0,0,1
30,68,145,0,0,8
31,46,91,1,0,5
32,156,309,2,0,26
33,346,473,4,0,59
34,114,216,2,0,30
35,114,161,1,0,23
36,74,163,3,0,8
37,36,111,0,0,12
38,41,121,0,0,7
39,79,134,1,0,7
40,51,145,0,0,6
41,45,128,0,0,7
42,75,219,1,0,16
43,20,48,0,0,1
44,71,239,0,0,12
45,67,167,1,0,16
46,22,91,0,0,6
47,65,151,0,0,12
48,31,103,0,0,5
49,31,101,1,0,1
50,35,83,0,0,6
51,22,91,0,0,8
52,44,129,1,0,4
53,23,63,0,0,1
54,18,98,0,0,4
55,150,233,2,0,20
56,28,170,0,0,6
57,28,173,2,0,12
58,47,155,0,0,7
59,65,362,1,0,17
60,36,183,2,0,7
61,27,175,0,0,5
62,27,127,0,0,8
63,29,119,0,0,6
64,59,260,0,0,12
65,52,263,1,0,10
66,30,115,0,0,4
67,18,103,0,0,4
68,69,246,2,0,12
69,46,194,0,0,9
70,78,354,1,0,25
71,39,201,0,0,4
72,82,268,0,0,10
73,80,256,0,0,14
74,48,174,1,0,8
75,81,238,1,0,5
76,45,176,0,0,12
77,59,141,0,0,6
78,108,228,2,0,12
79,110,261,1,0,20
80,254,319,2,0,58
81,105,112,0,0,15
82,206,205,0,0,29
83,198,193,1,0,41
84,158,125,1,0,30
85,233,196,3,0,31
86,234,182,1,1,36
87,145,118,2,0,16
88,164,175,0,0,30
89,161,207,1,0,25
90,142,235,2,0,12
91,118,289,1,1,18
92,275,283,2,0,31
93,208,179,0,0,27
94,30,79,2,0,7
95,37,127,1,0,7
96,115,327,0,0,13
97,95,261,2,0,12
98,62,201,0,0,13
99,88,327,0,0,12
100,48,177,0,0,5
101,84,251,0,0,9
102,97,332,0,0,16
103,107,322,0,0,22
104,57,248,0,1,17
105,19,82,1,1,2
106,13,77,0,0,4
107,36,118,0,0,7
108,38,125,1,0,6
109,21,128,0,0,8
110,8,73,0,0,6
111,18,78,0,0,7
112,22,93,0,0,8
113,17,112,0,0,8
114,24,119,0,0,2
115,34,205,0,0,9
116,10,76,0,0,5
117,15,87,0,0,4
118,26,110,0,0,10
119,39,144,2,0,3
120,26,79,0,0,3
121,24,131,0,0,12
122,47,129,0,0,10
123,175,145,0,0,30
124,123,103,0,0,11
125,452,242,1,0,32
126,352,148,0,0,21
127,375,186,1,0,50
128,385,173,0,0,42
129,315,176,1,0,29
130,62,43,1,0,8
131,355,241,0,1,36
132,584,319,6,1,98
133,226,146,1,0,33
134,239,170,2,0,36
135,300,225,2,0,44
136,214,137,2,0,42
137,192,154,0,0,18
138,715,422,6,0,64
139,296,254,0,0,43
140,26,64,0,0,5
141,40,133,2,0,8
142,21,146,0,0,8
143,13,83,0,0,7
144,22,84,0,0,5
145,7,47,1,0,4
146,8,40,0,0,4
147,27,115,1,0,8
148,20,128,1,0,8
149,24,117,0,0,5
150,25,126,2,0,9
151,12,59,0,0,2
152,23,63,1,0,8
153,62,179,0,0,9
154,33,133,1,0,7
155,18,67,0,0,7
156,38,158,1,0,12
157,49,112,0,0,10
158,46,112,0,0,16
159,54,91,0,0,7
160,34,137,1,0,9
161,17,39,0,0,0
162,27,66,0,0,3
163,50,121,0,0,13
164,98,171,1,0,12
165,99,163,1,0,23
166,69,66,1,0,9
167,259,197,1,0,31
168,566,340,2,0,61
169,30,67,0,0,3
170,22,60,0,0,4
171,6,22,0,0,1
172,14,71,0,0,5
173,42,171,0,0,10
174,59,204,2,0,13
175,55,115,0,0,14
176,23,102,0,0,11
177,529,394,4,0,68
178,370,246,2,0,57
179,395,276,4,0,55
180,329,191,2,0,45
181,514,307,2,0,86
182,376,272,2,0,64
183,504,367,0,0,98
184,343,242,3,0,54
185,488,352,1,0,68
186,549,464,3,2,113
187,136,122,1,0,17
188,101,84,3,0,21
189,65,135,0,0,20
190,84,108,0,0,15
191,21,25,1,0,9
192,28,59,0,0,9
193,44,119,1,0,5
194,46,72,0,0,12
195,37,71,0,0,5
196,52,93,1,0,8
197,20,66,2,0,4
198,79,104,0,0,9
199,68,79,1,0,6
200,43,90,0,0,4
201,34,60,0,0,4
202,159,146,2,0,15
203,344,227,1,0,26
204,280,188,3,0,19
205,215,149,0,0,27
206,220,163,2,0,19
207,173,122,0,0,20
208,187,156,3,0,30
209,157,151,1,0,26
210,120,115,0,0,12
211,121,131,0,0,25
212,165,124,1,0,18
213,163,127,4,0,24
214,86,74,0,0,7
215,54,33,0,0,4
216,47,25,0,0,9
217,103,57,0,0,11
218,131,79,1,0,13
219,72,46,0,0,6
220,100,64,0,0,8
221,204,108,3,0,40
222,59,29,0,0,11
223,80,60,1,0,14
224,47,31,0,0,10
225,47,34,1,0,10
226,19,32,0,0,8
227,83,56,1,0,10
