Ward,Chris J. Larson,Chris Abele,WRITE-IN
1,294,351,1
2,78,94,2
3,243,354,1
4,433,521,2
5,213,242,2
6,519,550,4
7,151,204,4
8,415,504,2
9,240,232,0
10,305,434,0
11,304,329,4
12,239,258,4
13,126,166,3
14,260,307,2
15,249,284,1
16,402,424,4
17,168,219,4
18,258,296,2
19,186,198,2
20,248,301,2
21,243,239,3
22,211,190,0
23,64,94,0
24,90,65,1
25,186,184,0
26,172,189,1
27,170,180,2
28,44,39,0
29,91,96,0
30,191,191,1
31,155,156,0
32,384,453,4
33,575,834,8
34,268,361,2
35,177,328,1
36,212,231,5
37,156,167,0
38,128,177,2
39,192,235,2
40,169,200,2
41,167,196,1
42,267,231,2
43,162,148,3
44,291,243,2
45,256,250,3
46,143,104,1
47,251,269,3
48,120,111,3
49,164,173,2
50,154,158,0
51,152,139,1
52,223,210,3
53,79,86,0
54,143,131,1
55,306,353,2
56,231,200,1
57,244,229,0
58,165,163,3
59,425,437,3
60,250,252,1
61,200,240,2
62,164,145,4
63,142,168,2
64,389,383,2
65,349,297,1
66,175,185,2
67,186,141,0
68,319,269,2
69,220,227,1
70,376,319,1
71,201,181,3
72,316,234,2
73,331,290,0
74,226,196,1
75,196,247,5
76,219,206,5
77,154,191,2
78,319,335,2
79,269,371,0
80,354,564,3
81,150,260,2
82,222,344,2
83,235,448,1
84,214,266,3
85,269,398,3
86,267,373,5
87,174,212,1
88,222,261,0
89,276,346,4
90,295,312,2
91,365,413,7
92,397,435,6
93,200,259,0
94,114,94,2
95,163,131,0
96,346,259,6
97,265,295,1
98,223,184,2
99,400,315,1
100,257,202,1
101,342,288,3
102,360,323,7
103,404,358,5
104,307,316,3
105,121,119,1
106,95,133,0
107,173,177,0
108,190,216,1
109,193,207,3
110,103,108,2
111,124,140,2
112,164,168,6
113,161,161,1
114,142,179,0
115,262,259,4
116,119,116,3
117,137,146,2
118,174,175,1
119,187,169,3
120,155,143,4
121,189,160,1
122,206,180,0
123,372,196,2
124,201,121,3
125,640,246,6
126,430,209,4
127,504,279,4
128,556,259,7
129,376,215,2
130,305,198,2
131,371,421,1
132,530,640,1
133,344,212,9
134,342,209,2
135,358,284,5
136,385,222,7
137,283,167,1
138,1155,355,12
139,610,267,12
140,140,110,0
141,165,179,3
142,181,184,2
143,138,144,2
144,111,126,1
145,77,63,0
146,69,57,1
147,202,206,5
148,170,176,0
149,187,191,1
150,150,148,1
151,134,110,3
152,86,88,0
153,203,205,2
154,140,153,3
155,92,95,0
156,205,171,2
157,150,145,1
158,155,126,1
159,132,122,0
160,167,147,0
161,60,43,0
162,79,90,1
163,177,163,5
164,267,240,2
165,195,198,4
166,107,88,1
167,337,252,3
168,617,464,4
169,132,102,1
170,100,66,1
171,45,23,0
172,122,113,0
173,180,158,5
174,278,207,1
175,180,176,1
176,182,231,4
177,567,520,12
178,468,385,4
179,583,389,5
180,325,321,2
181,480,555,1
182,482,402,8
183,546,469,6
184,403,480,5
185,525,528,4
186,413,637,4
187,111,93,4
188,88,111,0
189,137,178,0
190,209,218,4
191,126,135,1
192,137,149,2
193,153,133,3
194,157,123,8
195,137,97,0
196,178,178,1
197,97,88,1
198,209,173,3
199,171,185,1
200,127,102,0
201,115,99,3
202,276,202,5
203,381,335,0
204,330,254,1
205,279,301,1
206,229,256,3
207,230,287,1
208,234,314,1
209,205,327,1
210,166,298,0
211,175,290,0
212,186,330,4
213,226,339,3
214,106,122,2
215,84,78,1
216,97,70,0
217,178,164,0
218,220,180,4
219,143,127,1
220,182,152,0
221,279,294,3
222,151,129,0
223,176,159,2
224,119,91,5
225,99,101,1
226,71,44,0
227,188,166,0
228,78,87,0
229,49,80,0
230,133,147,0
231,57,58,0
232,44,45,0
233,45,29,1
234,86,67,0
235,400,368,3
236,130,90,1
237,150,110,4
238,104,104,0
239,87,107,0
240,152,106,1
241,382,266,3
242,351,268,6
243,479,362,1
244,357,271,2
245,325,197,3
246,608,340,7
247,296,169,0
248,538,341,1
249,111,77,3
250,76,75,2
251,54,42,1
252,95,121,0
253,42,57,1
254,51,43,1
255,67,79,0
256,53,71,2
257,153,154,0
258,206,209,0
259,168,121,1
260,121,117,0
261,170,191,1
262,307,413,2
263,155,193,3
264,310,500,2
265,191,247,1
266,171,316,1
267,185,238,2
268,319,556,5
269,210,364,2
270,203,349,2
271,377,555,2
272,302,424,0
273,150,271,1
274,146,242,2
275,329,497,1
276,377,561,1
277,289,514,0
278,200,289,4
279,286,407,2
280,454,608,3
281,218,292,2
282,70,89,1
283,178,233,0
284,215,210,0
285,48,42,0
286,104,174,1
287,127,186,1
288,310,395,4
289,182,198,2
290,135,138,0
291,143,152,2
292,191,200,3
293,275,279,3
294,208,253,2
295,273,247,1
296,387,354,3
297,408,249,2
298,316,206,1
299,364,275,2
300,583,376,4
301,422,389,0
302,236,262,1
303,426,439,2
304,281,331,1
305,255,356,1
306,202,275,0
307,216,336,3
308,171,200,1
309,304,470,3
310,68,115,0
311,156,247,1
312,247,400,2
313,477,731,2
314,208,293,0
315,371,520,2
316,234,278,3
317,298,313,0
318,0,0,0
319,0,0,0
320,16,3,0
321,38,39,0
322,36,34,0
323,50,53,0
324,17,23,0
325,147,89,1
326,2,2,0
327,0,0,0
