Ward,Tulsi Gabbard,Amy Klobuchar,John Delaney,Deval Patrick,Bernie Sanders,Andrew Yang,Pete Buttigieg,Tom Steyer,Elizabeth Warren,Michael Bennet,Michael R Bloomberg,Joe Biden,Uninstructed Delegation,Write In ,Over Votes,Under Votes 
1,0,1,0,1,87,0,0,0,6,0,0,202,2,1,0,5
2,0,0,0,0,12,0,0,0,1,0,3,31,0,0,0,1
3,1,2,0,1,67,1,1,0,2,0,4,213,1,3,0,4
4,0,0,0,0,90,2,1,0,2,1,3,354,0,1,0,3
5,1,0,0,1,63,0,1,1,0,0,2,183,0,0,0,3
6,1,0,0,0,147,0,0,0,7,0,3,433,3,0,0,3
7,1,0,0,0,44,0,0,0,1,0,0,94,1,0,0,3
8,0,2,0,0,136,0,3,0,5,0,9,429,1,0,0,6
9,1,0,0,0,44,2,0,0,3,0,1,195,0,0,0,3
10,1,0,0,1,82,1,1,1,3,1,5,296,0,2,0,6
11,0,1,0,0,59,0,1,0,2,0,2,210,3,0,0,5
12,3,1,1,0,53,0,0,0,1,0,3,139,0,0,0,2
13,1,1,0,2,37,2,0,0,2,0,0,106,1,0,0,3
14,1,2,0,0,59,0,1,0,0,0,2,219,1,0,0,7
15,0,0,0,0,68,4,1,0,4,0,3,167,0,1,0,1
16,1,1,1,0,103,3,0,1,2,0,6,275,1,2,0,7
17,1,3,0,0,41,1,0,0,2,0,1,132,0,0,0,0
18,1,0,0,0,62,5,1,1,1,0,0,169,5,1,0,1
19,0,0,0,0,39,1,0,0,2,0,0,96,0,0,0,3
20,1,0,0,0,60,0,0,1,2,0,0,158,0,0,0,3
21,0,0,1,0,34,0,0,0,2,1,2,106,0,0,0,6
22,0,1,0,0,41,1,2,0,1,0,3,123,2,1,0,2
23,0,0,0,0,17,0,0,0,2,0,0,54,0,0,0,1
24,0,0,0,0,16,1,0,0,1,0,0,28,0,0,0,0
25,1,0,0,0,41,0,0,0,1,0,1,102,0,0,0,3
26,0,0,0,0,48,1,0,0,2,0,4,120,0,0,0,1
27,4,1,0,0,47,1,0,1,2,0,3,105,0,0,1,1
28,0,0,0,0,9,1,0,0,0,0,1,9,0,0,0,0
29,0,0,0,0,14,0,0,1,0,0,0,46,0,0,0,2
30,0,0,0,0,70,0,0,0,2,0,0,112,1,0,0,3
