Ward,Jill J Karofsky,Daniel Kelly,Write In,Over Votes,Under Votes
1,247,86,0,0,31
2,32,22,0,0,2
3,231,102,1,0,55
4,384,109,2,0,30
5,208,73,0,0,16
6,518,164,1,0,36
7,122,45,1,0,12
8,481,193,1,0,40
9,209,65,0,0,21
10,329,161,1,0,31
11,223,93,2,0,23
12,178,45,0,0,17
13,140,42,0,0,10
14,227,58,0,0,28
15,221,95,0,0,10
16,324,93,1,0,36
17,159,43,1,0,8
18,204,72,2,0,12
19,114,45,0,0,12
20,173,59,0,0,24
21,117,36,1,0,20
22,135,51,1,0,13
23,52,27,0,0,7
24,28,12,0,0,8
25,107,40,0,0,18
26,136,55,1,0,15
27,123,45,1,0,14
28,12,11,0,0,2
29,51,17,0,0,5
30,147,50,0,0,24
31,102,32,0,0,9
32,340,123,0,0,30
33,542,293,1,0,46
34,226,114,1,0,21
35,164,126,0,0,9
36,166,61,1,0,20
37,104,42,1,0,12
38,115,33,0,0,21
39,135,72,1,0,13
40,140,36,3,0,23
41,131,33,0,0,16
42,219,60,2,0,30
43,46,14,1,0,8
44,227,63,1,0,31
45,163,53,0,0,35
46,79,28,1,0,11
47,156,50,0,0,22
48,100,32,0,0,7
49,90,32,0,0,12
50,89,24,0,0,11
51,79,25,0,0,17
52,134,32,0,0,12
53,67,18,0,0,2
54,89,18,0,0,13
55,269,109,2,0,25
56,154,32,0,0,18
57,153,36,1,0,25
58,146,40,1,0,22
59,342,73,0,0,30
60,175,34,1,0,18
61,156,33,2,0,16
62,117,20,0,0,25
63,109,30,0,0,15
64,240,54,0,0,37
65,233,68,0,0,25
66,114,21,0,0,14
67,88,27,1,0,9
68,218,85,0,0,26
69,161,60,0,0,28
70,325,97,0,0,36
71,169,51,0,0,24
72,250,69,2,0,39
73,256,69,2,0,23
74,169,40,2,0,20
75,206,97,3,0,19
76,153,57,0,0,23
77,142,56,1,0,7
78,239,86,0,0,25
79,272,102,0,0,18
80,424,163,4,0,42
81,143,83,0,0,6
82,271,159,0,0,10
83,291,122,0,0,20
84,204,97,0,0,13
85,313,125,0,0,25
86,319,117,0,0,18
87,204,66,1,0,10
88,265,88,0,0,16
89,262,109,3,0,20
90,251,120,0,0,20
91,276,114,0,0,37
92,424,141,0,0,26
93,294,109,0,0,11
94,65,32,0,0,21
95,125,38,0,0,9
96,337,93,2,0,23
97,254,96,0,0,20
98,217,38,0,0,21
99,313,80,1,0,33
100,169,40,0,0,21
101,261,52,0,0,31
102,321,83,0,0,41
103,337,74,3,0,37
104,232,65,0,1,25
105,80,17,1,1,6
106,66,19,0,0,9
107,114,31,0,0,16
108,126,25,2,0,17
