Ward,Daniel Kelly,Jill J. Karofsky,Ed Fallone,WRITE-IN,Over Votes ,Under Votes
1,83,93,46,3,0,21
2,15,7,10,0,0,2
3,117,108,53,1,0,36
4,132,202,91,2,0,54
5,78,87,40,0,0,8
6,172,184,96,1,0,35
7,44,52,5,0,0,7
8,169,157,104,3,0,41
9,69,69,53,0,0,20
10,145,130,57,3,0,34
11,102,109,35,3,0,30
12,58,56,29,0,0,22
13,55,37,20,3,0,12
14,83,117,47,2,0,37
15,91,85,36,0,0,14
16,124,135,69,5,0,24
17,49,63,35,5,0,13
18,69,92,47,0,0,21
19,49,43,18,1,0,15
20,83,82,46,2,0,27
21,58,70,43,2,0,14
22,59,54,32,2,0,17
23,29,19,12,0,0,2
24,9,14,4,1,0,10
25,52,45,21,2,0,19
26,40,58,23,0,0,15
27,37,57,26,1,0,11
28,11,15,9,0,0,2
29,27,15,12,0,0,4
30,56,41,31,2,0,15
31,24,36,16,0,0,15
32,127,104,76,1,0,19
33,294,257,136,3,0,31
34,104,91,31,1,0,13
35,100,49,23,0,0,8
36,77,74,29,2,0,12
37,40,39,10,2,0,9
38,34,36,18,1,0,6
39,60,59,16,0,0,11
40,62,40,27,0,0,9
41,40,43,25,1,0,12
42,69,82,38,2,0,27
43,21,17,12,0,0,8
44,94,67,38,1,0,30
45,66,60,29,1,0,27
46,31,31,25,1,0,7
47,60,46,32,2,0,18
48,45,49,23,1,0,8
49,50,44,30,0,0,15
50,41,32,21,0,0,15
51,31,31,16,2,0,13
52,55,60,17,1,0,15
53,24,33,15,0,0,3
54,40,39,21,1,0,10
55,106,119,69,2,0,31
56,57,65,44,2,0,14
57,73,78,27,1,0,25
58,44,52,29,1,0,29
59,100,168,83,6,0,44
60,66,65,32,0,0,26
61,61,71,33,1,0,25
62,32,47,27,1,0,22
63,33,50,29,3,0,24
64,83,98,55,2,0,31
65,96,105,61,1,0,36
66,44,51,20,0,0,15
67,36,33,30,1,0,14
68,80,93,56,4,0,15
69,59,64,27,0,0,27
70,95,102,62,2,0,40
71,56,56,28,2,0,22
72,89,85,52,0,0,20
73,91,93,50,1,0,26
74,64,57,35,0,0,22
75,82,79,30,0,0,9
76,69,57,23,2,0,20
77,43,49,25,1,0,7
78,90,87,34,4,0,15
79,112,86,46,2,0,25
80,166,146,82,1,0,40
81,62,67,22,0,0,5
82,108,102,57,0,0,5
83,109,114,57,1,0,7
84,63,99,31,1,0,8
85,108,130,69,0,0,16
86,86,116,53,1,0,11
87,62,79,45,0,0,2
88,72,115,45,2,0,13
89,93,91,60,2,0,16
90,84,113,50,0,0,17
91,98,113,68,2,0,35
92,115,160,90,6,0,24
93,80,104,81,1,0,9
94,30,23,16,0,0,17
95,36,49,21,3,0,15
96,88,134,72,4,0,31
97,80,111,68,2,0,25
98,67,96,49,2,0,27
99,108,127,83,6,0,32
100,73,71,49,2,0,14
101,83,86,65,2,0,35
102,92,132,71,1,0,33
103,110,133,83,0,0,32
104,91,93,51,2,0,32
105,34,30,21,2,0,9
106,30,20,17,0,0,8
107,47,53,19,0,0,16
108,44,50,20,3,0,16
109,38,50,40,1,0,18
110,30,31,18,1,0,11
111,34,19,13,2,0,7
112,49,40,24,4,0,29
113,39,32,31,1,0,11
114,51,43,22,0,0,21
115,64,57,46,0,0,25
116,34,25,21,2,0,16
117,31,39,19,0,0,17
118,61,45,29,2,0,15
119,50,63,34,0,0,18
120,41,30,23,0,0,11
121,34,46,34,3,0,15
122,38,57,50,2,0,14
123,36,117,72,4,0,15
124,24,68,39,0,0,8
125,56,266,176,1,0,22
126,51,200,140,2,0,27
127,43,203,166,1,0,12
128,34,199,162,1,0,5
129,37,161,153,0,0,4
130,24,110,31,1,0,3
131,74,210,166,0,0,13
132,166,292,241,2,0,41
133,18,120,90,1,0,8
134,26,147,75,2,0,6
135,48,172,153,1,0,10
136,36,149,90,2,0,9
137,29,118,83,1,0,10
138,63,414,295,6,0,20
139,53,187,152,1,0,20
140,26,49,19,0,0,16
141,47,58,28,3,0,23
142,44,71,43,1,0,17
143,26,28,21,1,0,12
144,26,38,30,2,0,12
145,16,11,9,0,0,7
146,15,13,7,0,0,4
147,50,39,25,2,0,18
148,44,46,21,2,0,16
149,35,41,19,1,0,18
150,38,36,21,2,0,15
151,28,29,8,0,0,8
152,20,21,13,0,0,12
153,49,68,43,4,0,26
154,35,36,46,1,0,8
155,17,24,7,1,0,12
156,54,59,24,1,0,14
157,35,49,43,0,0,11
158,20,40,36,1,0,12
159,30,36,27,0,0,9
160,37,51,28,1,0,7
161,14,16,8,0,0,2
162,15,24,10,0,0,7
163,34,51,25,1,0,9
164,70,81,43,1,0,12
165,46,76,34,1,0,7
166,18,37,18,0,0,3
167,64,148,98,0,0,15
168,110,307,212,1,0,27
169,19,24,14,0,0,7
170,11,25,16,1,0,8
171,8,8,3,0,0,2
172,41,33,24,0,0,33
173,31,40,38,1,0,15
174,64,59,54,1,0,30
175,44,63,53,1,0,39
176,44,43,26,0,0,25
177,89,298,187,2,0,16
178,94,216,116,0,0,28
179,63,259,167,4,0,26
180,46,176,117,0,0,16
181,119,316,208,0,0,40
182,84,234,130,0,0,15
183,79,257,204,2,0,23
184,97,204,125,1,0,31
185,88,245,170,1,0,13
186,130,241,147,1,0,18
187,21,89,40,0,0,2
188,26,41,43,2,0,6
189,46,66,44,1,0,23
190,35,84,71,0,0,7
191,15,29,30,0,0,0
192,12,21,24,1,0,2
193,24,54,42,0,0,13
194,27,30,33,0,0,4
195,31,31,21,1,0,6
196,42,47,18,1,0,3
197,24,27,14,0,0,11
198,45,38,42,3,0,10
199,67,56,53,2,0,40
200,17,30,30,0,0,8
201,15,33,21,0,0,3
202,58,127,66,1,0,15
203,74,206,113,0,0,25
204,53,151,94,0,0,9
205,52,138,77,1,0,11
206,69,126,96,0,0,7
207,70,79,31,0,0,11
208,85,95,48,0,0,5
209,113,85,34,0,0,6
210,96,67,25,0,0,8
211,74,66,31,1,0,9
212,75,66,19,0,0,5
213,77,94,39,1,0,10
214,46,56,32,0,0,5
215,17,18,26,0,0,5
216,17,23,13,1,0,3
217,41,35,41,0,0,4
218,74,49,39,0,0,14
219,44,33,25,0,0,2
220,32,42,38,0,0,1
221,103,110,57,1,0,25
222,33,32,23,1,0,8
223,39,51,23,2,0,6
224,21,20,9,0,0,2
225,20,18,15,1,0,5
226,7,15,14,0,0,4
227,45,59,29,0,0,21
228,11,16,12,0,0,2
229,7,3,15,0,0,1
230,25,31,31,0,0,12
231,5,11,10,0,0,0
232,7,6,5,0,0,1
233,4,5,8,0,0,1
234,15,43,23,0,0,3
235,70,184,134,2,0,10
236,18,15,30,1,0,4
237,20,30,25,1,0,6
238,14,18,11,0,0,4
239,13,29,25,0,0,3
240,21,40,30,0,0,5
241,56,200,138,0,0,16
242,57,161,91,1,0,17
243,109,284,140,1,0,19
244,70,209,119,0,0,10
245,78,176,94,1,0,14
246,98,312,152,1,0,32
247,47,143,63,0,0,19
248,106,246,132,1,0,30
249,16,32,12,0,0,1
250,11,22,19,0,0,3
251,17,18,12,0,0,0
252,24,25,13,0,0,2
253,8,9,5,0,0,2
254,10,1,6,1,0,0
255,14,9,8,0,0,5
256,13,7,10,0,0,0
257,30,21,36,1,0,7
258,71,50,33,0,0,4
259,32,45,23,1,0,4
260,32,40,17,0,0,5
261,62,62,39,0,0,2
262,123,107,60,1,0,9
263,53,58,29,1,0,4
264,155,116,54,0,0,14
265,68,69,28,1,0,6
266,100,62,20,0,0,3
267,68,60,23,0,0,3
268,146,134,51,1,0,15
269,114,92,37,0,0,9
270,130,74,28,0,0,7
271,196,153,45,1,0,18
272,161,85,36,0,0,9
273,72,50,21,0,0,0
274,81,45,14,0,0,7
275,155,106,38,1,0,8
276,225,146,53,3,0,25
277,167,108,43,0,0,9
278,82,60,16,0,0,7
279,129,101,33,0,0,8
280,182,208,96,0,0,32
281,78,75,37,1,0,11
282,16,17,8,1,0,1
283,48,41,28,0,0,3
284,36,47,30,1,0,4
285,13,4,12,0,0,1
286,45,45,13,0,0,6
287,47,56,23,0,0,6
288,93,90,55,4,0,8
289,58,64,43,0,0,8
290,32,27,20,0,0,1
291,34,35,26,1,0,5
292,68,83,35,1,0,6
293,70,122,58,0,0,13
294,88,94,58,0,0,16
295,58,137,58,1,0,10
296,94,195,83,1,0,22
297,81,190,111,0,0,17
298,61,142,96,0,0,9
299,93,159,92,0,0,21
300,115,294,179,4,1,28
301,139,189,93,0,0,17
302,114,102,45,0,0,9
303,156,195,88,0,0,15
304,95,94,43,1,0,12
305,90,83,55,1,0,15
306,92,101,31,0,0,17
307,106,61,34,0,0,9
308,46,39,19,4,0,4
309,142,86,51,0,0,11
310,26,17,12,0,0,4
311,77,45,29,0,0,10
312,140,70,60,0,0,12
313,213,176,63,0,0,20
314,105,49,34,0,0,4
315,140,126,65,0,0,16
316,89,66,35,0,0,6
317,124,95,55,0,0,11
318,0,0,0,0,0,0
319,0,0,0,0,0,0
320,0,2,4,0,0,2
321,9,11,7,0,0,1
322,7,8,5,0,0,0
323,9,11,7,0,0,1
324,2,7,1,0,0,1
325,20,65,30,0,0,5
326,0,0,0,0,0,0
327,0,0,0,0,0,0
