ward,tom_barrett,andrew_j_shaw,write_in
0001,334,71,0
0002,160,28,0
0003,270,56,1
0004,90,26,0
0005,108,37,0
0006,131,24,0
0007,127,26,1
0008,137,54,0
0009,124,30,0
0010,197,40,1
0011,163,34,1
0012,212,59,2
0013,146,39,0
0014,131,35,0
0015,300,82,0
0016,183,56,0
0017,417,110,1
0018,260,55,0
0019,229,45,3
0020,130,34,1
0021,174,30,1
0022,115,31,0
0023,145,34,0
0024,163,19,0
0025,124,38,0
0026,198,34,2
0027,274,81,2
0028,136,35,1
0029,164,51,0
0030,224,50,0
0031,257,66,2
0032,193,69,0
0033,236,59,1
0034,152,37,0
0035,258,49,3
0036,286,76,0
0037,629,125,4
0038,442,84,4
0039,168,51,2
0040,407,85,5
0041,564,104,4
0042,635,124,4
0043,276,52,3
0044,267,40,3
0045,182,32,2
0046,176,45,1
0047,193,27,2
0048,301,77,2
0049,267,45,2
0050,251,50,2
0051,438,99,1
0052,344,60,2
0053,343,81,6
0054,534,106,3
0055,244,51,0
0056,422,58,0
0057,202,64,2
0058,416,77,3
0059,296,53,4
0060,138,43,1
0061,66,23,2
0062,16,11,0
0063,61,8,1
0064,117,41,3
0065,70,18,0
0066,63,21,0
0067,97,29,1
0068,71,36,0
0069,48,19,2
0070,222,44,0
0071,123,42,0
0072,97,23,0
0073,110,23,4
0074,100,19,0
0075,165,34,0
0076,217,68,2
0077,230,75,2
0078,153,31,3
0079,177,39,1
0080,160,58,2
0081,235,41,0
0082,263,50,0
0083,173,34,0
0084,291,62,1
0085,306,53,1
0086,272,98,2
0087,236,74,1
0088,227,51,2
0089,241,76,2
0090,233,72,2
0091,301,76,1
0092,411,99,3
0093,273,64,1
0094,329,96,3
0095,249,56,1
0096,105,32,0
0097,186,48,1
0098,108,30,1
0099,147,36,3
0100,136,44,2
0101,185,39,0
0102,221,56,4
0103,327,80,9
0104,103,43,2
0105,284,53,1
0106,126,55,2
0107,139,38,1
0108,196,30,1
0109,168,58,1
0110,457,105,4
0111,161,51,2
0112,151,36,1
0113,239,79,0
0114,155,35,0
0115,301,70,0
0116,117,23,3
0117,319,79,3
0118,267,49,0
0119,199,44,0
0120,294,43,0
0121,96,24,1
0122,141,34,0
0123,208,46,2
0124,188,50,3
0125,181,63,4
0126,145,41,3
0127,138,41,2
0128,263,56,3
0129,138,41,1
0130,64,21,2
0131,63,12,0
0132,53,7,1
0133,40,15,1
0134,75,18,0
0135,165,45,3
0136,125,35,0
0137,107,45,1
0138,134,48,4
0139,48,8,0
0140,90,36,0
0141,95,24,0
0142,118,41,2
0143,107,18,2
0144,170,69,2
0145,249,81,4
0146,228,70,2
0147,238,62,2
0148,348,82,1
0149,438,89,1
0150,160,36,0
0151,198,39,1
0152,329,81,3
0153,165,41,0
0154,238,50,1
0155,327,60,2
0156,196,50,1
0157,264,77,1
0158,205,46,1
0159,183,55,0
0160,57,20,0
0161,127,41,2
0162,193,41,0
0163,149,36,0
0164,96,33,1
0165,200,48,1
0166,171,48,0
0167,148,42,1
0168,201,53,2
0169,180,57,0
0170,322,54,1
0171,319,65,0
0172,299,62,0
0173,101,29,0
0174,80,28,1
0175,65,25,1
0176,105,29,0
0177,121,23,0
0178,93,30,0
0179,145,46,0
0180,163,41,1
0181,70,39,0
0182,61,19,0
0183,124,36,0
0184,343,128,2
0185,182,52,0
0186,198,67,0
0187,185,52,0
0188,338,104,0
0189,317,104,3
0190,392,96,6
0191,317,105,2
0192,457,169,2
0193,307,117,1
0194,167,71,0
0195,177,66,2
0196,329,91,0
0197,426,155,1
0198,324,113,0
0199,251,86,0
0200,474,126,5
0201,189,56,3
