ward,tom_barret,ieshuh_griffin,edward_c_mcdonald,write_in
0001,99,6,30,0
0002,7,1,8,0
0003,193,1,36,1
0004,251,13,26,2
0005,94,4,16,0
0006,171,4,29,3
0007,46,2,11,0
0008,209,7,30,4
0009,143,6,9,2
0010,176,6,40,0
0011,112,2,11,0
0012,90,3,14,1
0013,55,1,13,0
0014,133,1,7,0
0015,125,5,26,2
0016,133,7,22,0
0017,88,3,14,0
0018,102,2,19,1
0019,55,2,5,0
0020,132,4,19,4
0021,67,5,14,2
0022,57,0,9,1
0023,31,0,3,0
0024,24,1,1,0
0025,61,3,12,0
0026,57,4,5,0
0027,55,2,6,0
0028,14,0,1,0
0029,32,2,6,0
0030,58,0,12,1
0031,42,3,7,1
0032,141,12,31,3
0033,273,13,83,12
0034,98,3,25,0
0035,62,5,23,0
0036,49,3,7,0
0037,44,1,4,0
0038,47,5,5,0
0039,54,2,15,1
0040,60,1,6,0
0041,60,1,9,0
0042,84,8,7,1
0043,51,0,4,1
0044,86,5,7,1
0045,85,2,12,0
0046,38,4,8,0
0047,71,4,10,0
0048,51,3,12,0
0049,61,5,7,1
0050,54,3,5,0
0051,53,1,4,1
0052,79,3,4,0
0053,42,4,3,1
0054,44,0,2,0
0055,150,7,16,1
0056,97,2,10,0
0057,126,7,10,0
0058,87,3,1,0
0059,192,13,12,0
0060,120,5,6,0
0061,117,4,5,2
0062,69,3,6,0
0063,86,0,3,0
0064,181,7,18,2
0065,156,8,7,1
0066,72,1,4,0
0067,64,5,3,0
0068,156,6,18,0
0069,112,3,6,0
0070,127,0,20,6
0071,72,4,9,0
0072,95,7,12,0
0073,144,4,19,0
0074,63,1,9,0
0075,72,2,16,0
0076,77,6,2,1
0077,61,2,15,1
0078,143,1,22,0
0079,117,3,19,2
0080,217,2,46,4
0081,84,2,22,1
0082,121,7,27,0
0083,109,5,33,3
0084,88,3,13,2
0085,97,2,35,2
0086,74,2,16,0
0087,68,1,18,3
0088,88,4,20,0
0089,120,7,34,1
0090,80,4,20,0
0091,134,4,19,0
0092,212,5,29,5
0093,160,4,28,4
0094,36,1,3,0
0095,59,1,7,1
0096,99,2,14,1
0097,127,3,12,2
0098,125,4,8,0
0099,150,3,23,2
0100,128,3,15,1
0101,161,9,8,0
0102,210,5,15,0
0103,172,11,19,0
0104,216,8,15,0
0105,59,3,2,0
0106,64,1,2,0
0107,91,2,5,0
0108,96,0,6,0
0109,106,10,7,2
0110,59,2,3,0
0111,80,1,9,0
0112,105,2,6,0
0113,53,4,6,0
0114,72,1,4,0
0115,140,3,4,0
0116,45,4,6,0
0117,65,2,2,0
0118,102,7,6,1
0119,53,5,11,0
0120,90,5,7,0
0121,75,3,3,0
0122,59,2,4,0
0123,62,6,5,0
0124,59,3,5,0
0125,135,6,32,2
0126,155,8,21,3
0127,143,6,21,3
0128,105,5,14,1
0129,100,4,10,3
0130,16,1,1,0
0131,137,8,22,3
0132,245,12,53,1
0133,45,1,11,0
0134,44,4,10,1
0135,53,1,6,1
0136,47,2,8,0
0137,55,1,15,1
0138,147,11,35,2
0139,137,9,19,4
0140,53,9,12,1
0141,89,7,13,1
0142,94,4,10,0
0143,57,3,4,0
0144,51,2,6,1
0145,41,5,5,0
0146,28,1,2,0
0147,94,3,8,1
0148,77,0,6,0
