Ward,Tom Barrett,Lena Taylor,Write In,Over Votes,Under Votes
1,158,191,4,0,11
2,18,36,1,0,1
3,241,126,0,0,22
4,264,242,3,0,16
5,143,146,2,0,6
6,384,312,7,0,16
7,114,55,1,0,10
8,424,268,10,0,13
9,155,132,0,0,8
10,297,199,4,0,22
11,160,167,3,0,11
12,116,118,3,0,3
13,97,91,0,0,4
14,141,168,1,0,3
15,200,114,5,0,7
16,209,237,2,0,6
17,113,94,1,0,3
18,167,114,1,0,8
19,80,85,1,0,5
20,103,145,2,0,6
21,68,104,0,0,2
22,93,101,0,0,6
23,38,46,0,0,2
24,13,35,0,0,0
25,59,103,1,0,2
26,88,116,2,0,1
27,87,93,0,0,3
28,7,17,0,0,1
29,42,30,0,0,1
30,101,112,2,0,6
31,55,85,0,0,3
32,251,222,7,0,13
33,555,267,8,0,52
34,207,134,7,0,14
35,190,89,6,0,14
36,112,134,0,0,2
37,59,90,2,0,8
38,67,99,2,0,1
39,123,90,4,0,4
40,77,121,1,0,3
41,76,104,0,0,0
42,124,178,2,0,7
43,25,44,0,0,0
44,109,208,0,0,5
45,96,149,0,0,6
46,41,74,2,0,2
47,83,138,3,0,4
48,72,62,3,0,2
49,47,86,0,0,1
50,50,70,0,0,4
51,42,78,0,0,1
52,70,106,0,0,2
53,34,52,0,0,1
54,34,85,0,0,1
55,226,171,3,0,5
56,64,134,1,0,5
57,79,127,1,0,8
58,77,128,0,0,4
59,155,286,0,0,4
60,75,150,2,0,1
61,79,125,0,0,3
62,52,105,1,0,4
63,53,98,0,0,3
64,117,210,1,0,3
65,123,201,0,0,2
66,63,84,1,0,1
67,41,83,1,0,0
68,135,184,1,0,9
69,90,157,0,0,2
70,192,259,2,0,5
71,88,156,0,0,0
72,155,198,0,0,7
73,158,185,0,0,7
74,95,130,1,0,5
75,176,142,3,0,4
76,78,149,2,0,4
77,97,99,5,0,5
78,162,179,6,0,3
79,229,153,2,0,8
80,408,190,7,0,28
81,150,65,4,0,13
82,328,86,15,0,11
83,289,115,4,0,25
84,203,92,4,0,15
85,340,99,9,0,15
86,333,101,6,0,14
87,189,77,6,0,9
88,231,115,6,0,17
89,234,142,7,0,11
90,217,158,3,0,13
91,201,214,1,0,11
92,399,163,7,0,22
93,333,60,8,0,13
94,50,60,2,0,6
95,71,98,3,0,0
96,263,182,3,0,7
97,220,140,3,0,7
98,114,155,1,0,6
99,196,217,6,0,8
100,94,135,1,0,0
101,136,202,1,0,5
102,195,244,1,0,5
103,182,254,4,0,11
104,143,174,1,1,4
105,39,66,0,0,0
106,29,65,0,0,0
107,54,105,0,0,2
108,53,111,1,0,5
109,62,91,0,0,4
110,22,65,0,0,0
111,35,67,0,0,1
112,41,81,0,0,1
113,37,96,2,0,2
114,52,93,0,0,0
115,82,165,0,0,1
116,34,56,0,0,1
117,27,79,0,0,0
118,49,95,0,0,2
119,69,114,1,0,4
120,33,73,2,0,0
121,48,117,0,0,2
122,72,110,0,0,4
123,181,153,3,0,13
124,144,89,1,0,3
125,463,234,7,0,23
126,374,139,1,0,7
127,410,175,3,0,24
128,377,195,4,0,24
129,382,117,2,0,20
130,66,46,0,0,2
131,533,81,2,0,17
132,820,145,2,0,41
133,213,176,2,0,15
134,263,164,3,0,17
135,322,222,1,0,26
136,218,156,0,0,21
137,223,128,2,0,11
138,678,493,8,0,28
139,305,261,5,0,22
140,25,69,1,0,0
141,76,104,2,0,1
142,65,108,0,0,2
143,32,71,0,0,0
144,41,70,0,0,0
145,18,40,0,0,1
146,13,38,0,0,1
147,46,101,1,0,3
148,62,94,0,0,1
149,39,105,0,0,2
150,40,120,0,0,2
151,24,49,0,0,0
152,37,56,1,0,1
153,91,153,1,0,5
154,75,97,1,0,1
155,33,58,0,0,1
156,70,136,2,0,1
157,92,74,2,0,3
158,76,92,0,0,6
159,73,77,1,0,1
160,61,118,2,0,0
161,20,35,1,0,0
162,36,59,0,0,1
163,78,101,0,0,5
164,135,140,2,0,5
165,174,96,5,0,11
166,88,49,2,0,6
167,360,114,1,0,13
168,800,135,5,1,28
169,35,63,0,0,2
170,31,53,0,0,2
171,6,23,0,0,0
172,36,52,0,0,2
173,92,126,0,0,5
174,120,153,2,0,3
175,97,86,0,0,1
176,43,90,0,0,3
177,664,298,6,0,27
178,433,204,5,0,33
179,454,241,3,1,31
180,409,127,3,0,28
181,740,126,2,0,41
182,459,219,4,0,32
183,651,268,1,0,49
184,437,164,4,0,37
185,635,234,6,0,34
186,831,238,9,1,52
187,173,95,1,0,7
188,142,58,1,0,8
189,103,108,2,0,7
190,112,85,1,0,9
191,17,34,0,0,5
192,38,55,0,0,3
193,77,91,0,0,1
194,53,71,0,0,6
195,55,57,1,0,0
196,72,73,1,0,8
197,38,53,1,0,0
198,103,86,1,0,2
199,86,64,4,0,0
200,67,63,2,0,5
201,44,49,2,0,3
202,206,99,5,0,12
203,468,117,5,0,8
204,383,96,8,0,3
205,282,92,1,0,16
206,327,58,4,0,15
207,222,78,4,0,11
208,281,77,5,0,13
209,225,89,5,0,16
210,165,69,4,0,9
211,172,79,7,0,19
212,208,79,7,0,14
213,222,78,4,0,14
214,109,49,3,0,6
215,60,25,2,0,4
216,49,25,3,0,4
217,115,47,1,0,8
218,161,54,3,0,6
219,94,30,0,0,0
220,109,56,2,0,5
221,247,87,6,0,15
222,60,34,0,0,5
223,100,43,2,0,10
224,54,24,1,0,9
225,54,31,1,0,6
226,24,28,0,0,7
227,95,48,0,0,7
228,48,35,0,0,2
229,48,22,1,0,4
230,62,40,0,0,1
231,42,26,1,0,4
232,30,16,0,0,1
233,26,16,0,0,2
234,72,46,0,0,6
235,533,186,8,0,28
236,72,46,0,0,3
237,72,52,0,0,3
238,66,36,2,0,2
239,64,40,1,0,8
240,98,83,1,0,12
241,442,180,6,0,26
242,319,140,4,0,20
243,546,124,4,0,24
244,419,122,4,0,13
245,363,84,4,0,15
246,601,168,4,0,13
247,258,111,3,0,17
248,447,243,5,0,27
249,69,35,0,0,7
250,51,33,1,0,5
251,41,19,1,0,1
252,69,33,2,0,1
253,29,9,0,0,0
254,22,5,1,0,6
255,28,26,0,0,2
256,33,30,0,0,2
257,102,44,2,0,9
258,151,61,3,0,12
259,103,53,4,0,8
260,100,43,4,0,5
261,152,69,5,0,14
262,358,114,3,0,17
263,161,54,4,0,20
264,360,125,9,0,28
265,179,60,2,0,16
266,192,73,11,0,22
267,199,52,1,0,15
268,397,135,6,0,44
269,251,64,6,0,15
270,235,70,5,0,22
271,453,147,13,0,36
272,343,75,10,0,29
273,180,55,3,0,10
274,167,39,6,0,16
275,344,119,6,0,34
276,433,156,12,0,29
277,401,115,6,0,41
278,179,59,5,0,11
279,270,84,7,0,18
280,507,171,11,0,47
281,224,65,3,0,15
282,37,27,3,0,7
283,170,63,0,0,11
284,123,65,1,0,4
285,42,11,0,0,6
286,99,28,3,0,5
287,146,41,0,0,6
288,279,97,10,0,17
289,160,54,7,0,14
290,94,43,3,0,5
291,109,53,4,0,6
292,172,77,2,0,16
293,278,75,5,0,9
294,253,68,3,0,11
295,305,112,3,0,10
296,420,97,5,0,16
297,426,99,4,0,17
298,298,95,3,0,16
299,382,143,10,0,20
300,663,135,4,0,25
301,406,142,12,0,19
302,261,84,4,0,19
303,487,126,3,0,33
304,274,95,7,0,15
305,279,86,7,0,22
306,226,60,1,0,15
307,227,63,1,0,23
308,111,59,3,0,12
309,346,92,12,0,21
310,64,16,2,0,7
311,167,42,7,0,19
312,345,75,4,0,21
313,501,161,14,0,53
314,230,52,4,0,21
315,385,85,15,0,24
316,200,60,6,0,17
317,271,99,4,0,22
318,0,0,0,0,0
319,0,0,0,0,0
320,7,5,0,0,0
321,26,8,0,0,3
322,21,10,0,0,1
323,34,16,0,0,1
324,13,13,0,0,2
325,152,58,0,0,3
326,0,0,0,0,1
327,0,0,0,0,0
