Ward,Paul Rasky,Tom Barrett,T. Anthony Zielinski,Lena Taylor,WRITE-IN ,OVER VOTES,UNDER VOTES
1,8,99,34,100,2,0,3
2,0,12,7,12,2,0,1
3,8,169,44,82,2,0,10
4,11,224,49,185,4,0,8
5,5,95,33,79,0,0,1
6,9,220,69,182,1,1,6
7,4,49,25,29,0,0,1
8,16,197,87,166,7,0,1
9,7,86,24,91,1,0,2
10,11,159,72,119,2,0,6
11,10,98,30,133,3,1,4
12,3,66,26,68,2,0,0
13,1,49,20,54,0,0,3
14,6,127,20,132,0,0,1
15,7,98,42,70,5,0,4
16,7,142,31,171,2,0,4
17,6,66,17,75,0,0,1
18,6,103,33,84,0,0,3
19,3,47,26,46,1,0,3
20,6,82,25,123,2,0,2
21,7,49,12,118,0,0,1
22,5,57,19,82,1,0,0
23,3,17,7,33,1,0,1
24,3,10,1,24,0,0,0
25,4,45,11,77,1,0,1
26,3,54,10,66,0,0,3
27,4,42,19,65,1,0,1
28,0,15,4,16,1,0,1
29,2,20,4,31,0,0,1
30,2,53,20,67,3,0,0
31,5,38,8,40,0,0,0
32,10,124,43,145,1,0,4
33,45,293,143,207,9,0,24
34,12,100,50,72,2,0,4
35,8,61,49,42,9,0,11
36,1,82,19,91,1,0,0
37,0,32,9,56,3,0,0
38,0,37,9,47,1,0,1
39,5,70,21,45,0,0,5
40,2,48,6,82,0,0,0
41,1,59,6,51,4,0,0
42,4,62,25,124,2,0,1
43,1,21,5,31,0,0,0
44,6,68,21,133,0,0,2
45,1,66,21,95,0,0,0
46,3,33,7,51,1,0,0
47,4,58,7,87,1,0,1
48,2,58,5,60,0,0,1
49,3,40,7,88,0,0,1
50,0,41,13,55,0,0,0
51,0,34,5,53,0,0,1
52,3,42,15,84,3,0,1
53,2,31,2,40,0,0,0
54,2,42,3,64,0,0,0
55,11,152,37,114,4,0,9
56,1,57,10,111,3,0,0
57,0,95,4,104,0,0,1
58,0,53,4,93,3,0,2
59,3,115,20,261,1,0,1
60,1,55,4,129,0,0,0
61,0,74,8,106,2,0,1
62,1,40,4,80,2,0,2
63,0,49,2,87,1,0,0
64,2,93,9,164,1,0,0
65,1,105,29,159,2,0,3
66,1,55,7,65,0,0,2
67,3,32,4,74,0,0,1
68,0,72,23,148,4,0,1
69,3,59,8,103,1,0,3
70,6,94,21,172,1,0,7
71,2,53,13,94,2,0,0
72,1,90,22,132,0,0,1
73,1,106,13,138,2,0,1
74,4,58,26,85,3,0,2
75,7,81,39,68,3,0,2
76,2,64,14,88,1,0,2
77,1,44,30,47,2,0,1
78,2,92,20,110,4,0,2
79,5,118,46,96,1,1,4
80,14,214,79,119,5,0,4
81,6,86,34,20,3,0,7
82,8,139,81,32,4,0,8
83,21,135,57,61,2,0,12
84,11,103,40,39,3,0,6
85,11,177,81,45,0,0,9
86,6,144,59,47,1,0,10
87,9,94,48,34,1,0,2
88,7,134,47,54,3,0,2
89,7,115,44,88,3,0,5
90,6,114,47,87,4,0,6
91,4,107,35,163,2,0,5
92,12,212,60,89,8,0,14
93,2,183,41,34,10,0,5
94,0,33,4,44,4,0,1
95,2,45,5,71,0,0,1
96,5,146,37,132,5,0,4
97,7,126,42,100,4,0,7
98,2,93,10,131,2,0,3
99,4,146,29,172,2,0,3
100,1,78,10,119,1,0,0
101,1,117,11,138,1,0,3
102,3,131,17,173,2,0,3
103,6,141,26,182,1,0,2
104,2,92,14,160,0,0,1
105,1,35,1,58,0,0,1
106,0,23,1,47,3,0,1
107,2,49,5,79,0,0,0
108,0,36,2,94,0,0,1
109,1,45,6,95,0,0,0
110,0,32,0,57,2,0,0
111,0,20,2,50,2,0,1
112,2,51,3,89,0,0,1
113,0,34,4,76,0,0,0
114,1,49,2,82,1,2,0
115,1,65,7,118,0,0,1
116,0,22,4,71,1,0,0
117,1,18,3,83,0,0,1
118,1,41,9,100,1,0,0
119,3,69,1,89,2,0,1
120,2,24,3,73,2,0,1
121,4,26,2,100,0,0,0
122,0,59,4,96,2,0,0
123,2,121,12,105,2,0,2
124,2,77,13,47,0,0,0
125,10,321,35,136,5,0,14
126,3,271,19,118,2,0,7
127,11,288,32,89,1,0,4
128,12,250,18,113,2,0,6
129,5,258,33,52,1,0,6
130,5,74,11,68,2,0,9
131,1,351,59,43,0,0,9
132,15,525,93,79,4,0,26
133,1,140,21,72,1,0,2
134,3,159,18,69,0,0,7
135,7,226,24,117,1,0,9
136,5,170,15,86,3,0,7
137,5,145,25,57,0,0,9
138,8,462,46,271,2,0,9
139,6,179,31,187,4,0,6
140,3,39,3,64,0,0,1
141,0,64,5,86,4,0,0
142,0,61,2,113,0,0,0
143,1,39,2,44,2,0,0
144,1,41,5,61,0,0,0
145,0,12,0,30,0,0,1
146,0,14,0,25,0,0,0
