Ward,Bob Donovan,Tom Barrett,Write-in 
1,200,481,2
2,27,156,1
3,173,461,3
4,180,809,3
5,111,362,0
6,342,770,3
7,140,232,3
8,286,655,1
9,101,387,0
10,241,504,3
11,168,493,1
12,118,401,1
13,99,205,3
14,62,540,1
15,206,339,2
16,161,702,4
17,110,295,1
18,144,422,0
19,97,309,0
20,108,452,2
21,78,423,3
22,75,347,2
23,30,133,0
24,18,144,2
25,73,313,2
26,71,317,0
27,69,304,0
28,22,70,0
29,36,168,1
30,81,330,0
31,58,272,0
32,231,643,2
33,634,823,4
34,235,430,2
35,206,324,1
36,103,364,2
37,67,279,0
38,55,268,1
39,136,321,1
40,65,324,1
41,71,303,1
42,110,415,1
43,39,290,2
44,110,448,1
45,82,459,0
46,44,208,1
47,91,460,3
48,50,197,0
49,55,299,1
50,47,281,0
51,43,261,0
52,76,376,2
53,25,142,0
54,35,252,1
55,174,518,3
56,47,405,1
57,42,460,0
58,30,311,0
59,81,817,4
60,52,485,3
61,36,429,0
62,25,316,0
63,30,298,1
64,90,695,4
65,71,610,0
66,42,343,1
67,44,300,0
68,92,525,1
69,62,403,1
70,103,605,6
71,68,330,3
72,94,461,5
73,115,527,0
74,87,358,1
75,144,309,2
76,89,353,0
77,106,262,1
78,153,524,3
79,184,484,1
80,339,624,3
81,202,223,1
82,279,298,2
83,342,374,0
84,226,281,1
85,295,396,4
86,290,376,1
87,166,234,1
88,199,296,2
89,247,394,3
90,201,422,3
91,158,660,1
92,278,586,1
93,174,292,1
94,23,205,2
95,54,259,0
96,102,526,4
97,155,440,0
98,55,370,1
99,94,635,3
100,45,436,2
101,81,573,1
102,70,636,3
103,99,694,3
104,75,586,0
105,22,236,1
106,16,227,1
107,37,328,0
108,35,390,1
109,31,390,3
110,21,207,3
111,41,244,0
112,32,325,2
113,31,311,1
114,25,302,0
115,52,496,2
116,23,226,2
117,25,282,0
118,42,336,3
119,41,334,1
120,30,292,2
121,28,347,3
122,56,351,0
123,81,504,5
124,71,267,2
125,168,732,4
126,105,553,3
127,176,651,5
128,192,677,4
129,138,466,5
130,113,449,5
131,192,630,1
132,269,924,5
133,126,462,3
134,140,439,7
135,165,516,4
136,138,504,7
137,92,377,0
138,248,1286,9
139,147,765,5
140,32,234,0
141,37,317,5
142,42,332,0
143,30,265,3
144,20,231,1
145,12,142,0
146,12,123,1
147,52,395,1
148,40,323,1
149,40,364,0
150,39,281,3
151,36,236,0
152,18,165,0
153,63,360,3
154,35,267,0
155,18,187,3
156,54,345,0
157,69,249,0
158,43,262,0
159,53,220,1
160,21,305,4
161,18,88,1
162,23,155,2
163,41,317,3
164,113,419,0
165,133,282,1
166,47,159,2
167,155,461,2
168,225,898,0
169,30,213,3
170,16,167,0
171,7,58,1
172,28,224,1
173,54,294,3
174,56,464,2
175,43,334,3
176,31,407,7
177,237,893,8
178,210,664,4
179,253,782,4
180,143,531,2
181,256,815,1
182,213,705,5
183,287,790,4
184,240,690,2
185,286,837,3
186,366,728,2
187,68,154,1
188,55,154,0
189,58,277,1
190,162,295,1
191,116,174,1
192,97,217,1
193,51,249,3
194,61,234,2
195,50,199,3
196,91,303,0
197,34,172,0
198,74,328,3
199,48,327,0
200,42,195,1
201,43,180,0
202,102,385,2
203,170,572,4
204,168,434,1
205,219,387,4
206,158,346,4
207,253,281,2
208,263,318,1
209,281,266,1
210,248,239,1
211,241,239,1
212,282,265,1
213,269,326,2
214,92,148,1
215,84,96,0
216,101,80,0
217,174,185,0
218,227,223,3
219,128,155,1
220,162,191,2
221,290,327,0
222,148,158,0
223,207,161,1
224,93,154,1
225,113,118,0
226,55,80,0
227,126,256,1
228,78,101,2
229,67,80,0
230,104,200,0
231,50,84,0
232,42,63,0
233,22,62,0
234,41,115,1
235,199,607,1
236,55,179,4
237,96,186,0
238,84,147,0
239,84,128,1
240,66,209,3
241,186,486,0
242,175,474,1
243,255,599,0
244,172,475,2
245,154,380,2
246,259,726,2
247,170,317,1
248,255,667,1
249,77,126,1
250,68,88,0
251,42,59,0
252,98,133,0
253,49,64,0
254,50,51,0
255,53,106,0
256,36,97,0
257,102,232,0
258,214,228,1
259,170,131,0
260,122,130,0
261,198,178,0
262,408,341,0
263,183,184,1
264,439,407,3
265,247,207,0
266,300,205,0
267,247,196,0
268,513,391,2
269,316,295,0
270,341,232,0
271,529,449,1
272,433,324,0
273,256,182,0
274,238,167,0
275,461,403,2
276,561,414,1
277,450,394,2
278,308,205,1
279,452,271,0
280,518,591,0
281,271,266,0
282,58,106,1
283,237,201,2
284,175,279,0
285,52,55,0
286,118,177,0
287,166,163,0
288,380,364,3
289,183,219,0
290,127,166,1
291,132,187,1
292,186,225,0
293,286,293,1
294,215,264,1
295,227,308,1
296,322,442,0
297,218,452,1
298,178,362,2
299,263,400,1
300,277,701,3
301,391,452,1
302,267,248,1
303,439,443,2
304,316,313,1
305,333,290,4
306,238,263,0
307,288,287,0
308,165,230,0
309,441,365,1
310,102,86,0
311,229,193,0
312,405,282,2
313,742,514,3
314,330,203,0
315,534,386,1
316,327,211,2
317,313,309,3
318,0,0,0
319,0,0,0
320,6,14,0
321,32,71,0
322,30,44,0
323,39,71,1
324,22,23,0
325,65,184,2
326,4,0,0
327,0,0,0
