Ward,Hillary Clinton,Martin O'Malley,Bernie Sanders,Uninstructed Delegation,WRITE-IN
1,322,0,188,2,1
2,122,0,55,0,0
3,329,1,129,3,0
4,594,2,276,0,0
5,272,0,120,0,0
6,476,1,345,0,1
7,138,2,107,0,0
8,445,1,226,1,1
9,279,2,117,1,0
10,331,2,183,0,0
11,347,1,172,1,1
12,282,3,148,0,1
13,156,0,101,0,0
14,389,2,171,1,0
15,210,0,128,1,0
16,503,1,244,1,0
17,203,0,110,0,1
18,265,0,177,0,0
19,232,0,124,0,0
20,329,1,163,2,0
21,311,0,163,1,0
22,229,1,133,0,0
23,101,0,46,1,0
24,112,2,55,0,0
25,224,0,135,0,0
26,249,1,90,0,0
27,222,1,108,0,1
28,56,0,24,0,0
29,117,0,67,1,0
30,229,1,133,0,1
31,175,1,111,0,0
32,431,1,273,0,0
33,552,0,333,2,0
34,238,1,222,1,0
35,173,1,153,2,0
36,227,1,174,0,0
37,213,1,112,0,0
38,196,0,98,1,0
39,219,1,149,1,0
40,239,0,116,0,0
41,211,1,132,0,0
42,301,5,178,0,0
43,234,0,94,1,0
44,335,1,162,0,1
45,367,0,142,0,0
46,149,0,93,0,0
47,350,1,182,0,1
48,147,1,72,0,0
49,238,0,96,0,2
50,209,1,94,0,0
51,205,0,89,0,0
52,303,0,134,0,0
53,105,0,45,0,0
54,220,0,82,0,0
55,365,0,193,0,0
56,318,0,131,0,0
57,378,1,123,0,0
58,257,0,74,0,1
59,635,0,241,1,0
60,389,1,153,1,0
61,338,0,122,1,0
62,242,1,88,0,0
63,232,0,91,1,2
64,541,0,240,3,1
65,458,2,204,1,0
66,265,0,131,0,1
67,233,0,107,0,0
68,391,0,180,0,0
69,319,1,116,0,0
70,455,1,203,2,0
71,264,0,117,0,0
72,344,0,173,0,0
73,401,0,189,1,1
74,260,0,119,0,1
75,192,0,131,0,0
76,264,0,141,0,0
77,190,0,107,1,2
78,374,0,190,0,1
79,307,1,215,0,0
80,364,5,242,2,1
81,95,1,112,2,0
82,113,2,175,0,1
83,175,0,196,1,0
84,118,1,168,1,0
85,170,0,235,1,0
86,161,0,209,0,0
87,108,0,145,0,0
88,128,1,176,0,0
89,205,0,234,1,0
90,224,1,221,0,1
91,468,1,239,1,0
92,318,0,315,0,0
93,131,0,148,0,0
94,169,0,49,0,0
95,203,0,89,2,0
96,334,0,212,1,0
97,300,1,151,0,2
98,299,0,109,0,0
99,430,0,227,0,1
100,330,1,137,0,0
101,468,0,175,2,0
102,495,0,183,1,0
103,517,0,240,0,0
104,493,1,153,0,0
105,208,0,76,0,0
106,203,0,44,0,0
107,288,1,94,0,0
108,362,1,85,1,0
109,317,0,104,1,1
110,180,2,47,0,0
111,211,1,76,0,0
112,286,0,88,0,0
113,269,0,80,0,0
114,248,0,82,0,0
115,403,0,143,0,0
116,181,0,64,0,1
117,238,1,69,0,0
118,268,0,110,2,1
119,284,0,100,0,0
120,254,0,87,0,0
121,265,0,116,1,0
122,277,1,119,0,0
123,216,0,373,0,0
124,129,0,183,0,1
125,218,0,645,2,0
