Ward,Marco Rubio,Ben Carson,Rand Paul,Mike Huckabee,Jim Gilmore,Chris Christie,Donald J. Trump,Rick Santorum,Carly Fiorina,John R. Kasich,Jeb Bush,Ted Cruz,Uninstructed Delegation,WRITE-IN
1,4,5,0,0,1,1,49,0,0,28,2,111,0,0
2,1,0,0,0,0,0,6,0,1,1,0,3,0,0
3,4,1,0,4,0,2,33,0,0,49,6,97,4,0
4,1,2,1,0,1,0,50,0,0,29,0,72,1,0
5,1,0,0,1,0,0,19,0,0,14,0,56,0,0
6,2,5,0,1,0,0,84,0,0,42,1,187,2,0
7,1,1,0,0,0,0,44,0,2,13,0,72,1,0
8,2,0,0,0,0,0,75,1,0,36,0,162,2,2
9,3,2,2,0,0,0,23,0,0,10,1,52,1,0
10,3,1,0,0,0,1,69,1,0,25,1,153,0,0
11,5,1,1,0,0,0,51,0,1,15,0,79,0,1
12,2,2,0,1,0,1,28,0,0,8,1,59,1,0
13,0,4,0,0,0,0,33,0,0,5,1,34,0,0
14,0,0,0,0,0,1,17,0,0,4,0,18,1,1
15,2,1,0,0,0,1,50,0,0,44,1,115,1,0
16,1,0,1,0,0,0,31,0,0,20,0,83,0,0
17,0,1,0,1,0,2,29,0,0,10,1,51,0,0
18,2,2,0,0,0,1,27,0,0,16,1,85,1,0
19,2,0,0,0,0,1,24,0,0,6,0,36,0,0
20,2,1,1,0,0,0,30,0,0,5,0,46,0,1
21,0,0,0,0,1,1,5,0,0,9,0,24,0,0
22,2,1,0,0,0,1,23,0,0,13,0,23,0,0
23,1,0,0,0,0,0,3,0,0,3,1,19,0,0
24,0,0,1,0,0,0,1,0,0,0,0,3,0,0
25,1,0,0,2,0,1,25,0,0,1,1,21,0,0
26,1,0,1,0,0,0,15,1,0,6,1,26,0,0
27,1,0,0,0,0,0,19,0,0,3,0,31,0,0
28,0,0,0,0,0,0,5,0,0,1,0,8,0,0
29,0,1,0,0,0,0,11,0,0,2,0,11,0,0
30,0,1,0,1,0,1,18,0,0,9,0,36,0,0
31,1,0,0,1,0,0,20,0,0,4,0,19,0,0
32,1,4,0,0,0,0,57,0,0,19,1,104,0,0
33,3,3,0,1,0,0,163,0,0,56,3,380,0,0
34,4,2,1,0,0,0,55,0,0,19,1,137,1,0
35,2,1,0,0,0,0,60,0,0,31,1,114,0,0
36,1,0,1,1,1,0,25,0,0,6,2,47,1,0
37,0,0,0,0,0,0,19,0,0,3,1,20,0,0
38,1,2,0,0,0,0,13,0,0,4,0,22,2,0
39,1,2,1,0,0,0,27,1,1,13,0,64,0,0
40,0,0,1,0,0,0,18,0,0,9,0,14,1,0
41,0,1,0,0,0,0,10,0,0,5,0,23,0,0
42,1,2,0,0,0,2,19,0,0,2,1,34,2,1
43,2,0,0,0,0,1,3,0,0,0,0,5,0,0
44,0,1,0,0,0,1,12,0,0,4,0,41,0,0
45,0,0,1,0,0,0,13,0,0,3,0,33,0,1
46,0,0,0,0,0,0,0,0,0,3,0,16,1,0
47,2,1,1,0,0,0,12,0,0,7,0,19,0,0
48,0,0,0,0,0,0,13,0,0,6,0,16,0,0
49,0,0,0,0,0,0,9,0,0,2,0,19,0,0
50,0,0,0,0,0,1,8,0,0,1,0,16,0,0
51,0,0,0,0,0,1,2,0,0,3,0,13,0,0
52,0,0,0,0,0,0,9,0,1,5,0,16,0,0
53,1,0,0,0,0,0,4,0,0,5,0,9,0,0
54,0,0,0,0,0,0,2,0,0,2,0,1,1,0
55,2,2,3,0,0,0,34,0,0,16,0,97,0,0
56,0,0,0,0,0,0,2,0,0,1,0,9,0,0
57,0,1,0,0,0,0,4,0,0,0,0,5,0,0
58,0,1,0,0,0,0,4,0,0,0,0,5,0,0
59,2,2,0,0,0,1,3,0,0,1,1,15,0,0
60,0,3,0,0,0,0,3,0,0,0,0,6,0,0
61,1,2,0,0,1,0,3,0,0,2,0,4,0,0
62,0,2,0,0,0,0,6,0,0,4,0,6,0,0
63,1,0,0,0,0,0,1,0,0,1,0,4,0,0
64,2,3,0,0,0,0,8,0,0,2,1,18,0,0
65,2,1,0,0,0,0,6,0,0,3,0,13,0,0
66,0,0,0,0,0,0,3,0,0,0,0,3,0,0
67,0,0,0,0,0,0,3,0,0,4,0,6,0,0
68,0,1,0,0,0,2,14,0,0,6,0,42,0,0
69,1,2,0,0,0,0,14,0,0,3,0,17,0,0
70,2,2,0,0,0,1,8,0,1,6,0,40,0,0
71,2,0,0,0,0,1,6,0,0,4,0,18,0,0
72,2,0,1,0,0,0,12,0,0,6,0,35,0,2
73,2,2,0,0,0,0,29,0,0,10,0,43,0,0
74,2,1,0,0,0,0,17,0,0,8,1,39,0,1
75,0,1,0,0,0,1,24,0,0,20,0,93,1,1
76,2,2,0,0,0,0,14,0,0,7,0,37,0,0
77,0,0,0,0,0,0,16,0,0,19,0,39,0,0
78,0,0,0,1,0,1,31,0,0,13,1,82,0,0
79,2,1,1,0,0,0,35,0,0,24,0,82,3,0
80,7,3,3,1,1,0,80,0,1,57,4,208,2,0
81,1,1,1,0,0,0,53,0,0,25,1,136,0,0
82,5,1,1,0,0,0,59,0,0,73,0,173,2,1
83,3,2,0,0,0,0,71,0,0,49,2,226,1,1
84,1,1,0,0,0,1,54,0,0,32,1,139,0,0
85,5,0,1,0,0,1,68,0,2,66,2,169,1,1
86,2,4,0,0,0,1,60,0,0,54,2,187,1,1
87,0,0,1,0,0,0,28,0,0,37,0,103,0,0
88,2,0,1,0,0,1,41,0,0,45,0,122,0,0
89,2,3,0,1,0,0,45,0,0,30,2,133,0,1
90,0,2,0,0,1,0,45,0,0,18,0,136,0,0
91,2,2,0,0,0,1,34,0,0,16,1,70,0,0
92,3,2,0,0,0,0,46,0,0,49,0,159,1,0
93,2,1,3,0,0,0,21,0,0,41,1,124,1,0
94,1,0,0,0,0,0,6,0,0,1,0,14,0,0
95,1,0,0,0,0,0,8,0,0,5,0,15,0,0
96,0,0,0,0,0,0,19,0,0,13,2,59,0,0
97,1,2,0,0,0,1,23,0,0,25,0,108,0,0
98,1,0,0,0,0,0,11,0,0,0,0,16,0,0
99,1,3,1,0,0,0,14,0,0,12,0,44,0,0
100,0,2,0,0,0,0,4,0,1,3,1,10,0,1
101,0,1,0,0,0,1,6,0,0,0,0,14,2,0
102,1,0,0,0,0,0,6,0,0,5,0,21,0,1
103,0,2,0,0,0,0,7,1,0,5,0,39,1,0
104,3,0,0,0,1,1,4,0,1,2,0,10,0,0
105,1,0,0,0,0,0,0,0,0,1,0,2,0,0
106,2,0,0,0,0,0,3,0,0,0,0,1,0,0
107,0,0,0,0,0,0,1,0,0,1,0,5,0,1
108,0,1,1,0,0,0,7,0,0,0,1,4,0,0
109,0,2,0,0,0,0,6,0,0,0,1,4,0,0
110,0,0,0,0,0,0,0,0,0,0,0,6,0,0
111,0,0,0,1,0,0,1,0,1,0,0,2,0,0
112,0,0,0,0,0,0,1,0,0,1,0,2,0,0
113,0,1,0,0,0,0,2,0,0,2,0,3,0,0
114,0,0,0,0,0,0,4,0,0,0,0,0,0,0
115,0,1,0,0,0,0,7,0,0,1,0,5,0,0
116,0,0,0,0,0,0,1,0,0,0,0,1,0,0
117,0,0,0,0,0,0,1,0,0,0,0,2,0,0
118,0,1,0,0,0,1,3,0,0,0,0,7,0,0
119,0,1,0,0,0,0,4,0,0,4,0,4,0,0
120,0,0,0,0,0,1,2,0,0,1,0,1,0,0
121,0,1,0,0,0,0,1,0,0,0,0,3,0,0
122,0,2,0,0,0,0,4,0,0,5,0,7,1,0
123,1,1,0,0,0,0,9,0,0,6,0,26,0,0
124,0,0,0,0,1,0,16,0,1,11,0,22,0,0
125,1,1,1,0,0,0,31,0,0,19,0,62,0,0
126,2,0,0,0,0,0,19,0,0,19,1,48,0,0
127,1,1,2,0,0,0,40,0,0,57,1,88,0,1
128,2,1,4,0,0,0,75,0,0,33,0,71,1,1
129,1,0,1,1,0,0,45,0,0,38,0,69,0,0
130,5,1,1,0,0,0,52,0,0,44,0,75,0,1
131,1,1,1,0,0,0,69,0,0,99,2,128,1,0
132,6,0,2,0,0,1,92,0,2,133,4,160,2,0
133,2,2,1,0,0,0,24,0,0,35,1,60,0,0
134,0,0,1,0,0,0,32,0,0,23,0,74,0,1
135,2,1,2,0,0,0,42,0,0,36,0,71,0,2
136,3,0,1,0,0,0,34,0,0,27,0,62,0,0
137,2,1,1,0,0,0,20,0,0,17,0,32,1,0
138,2,0,3,0,0,1,38,0,1,18,2,57,1,0
139,2,1,0,0,0,0,25,0,0,6,1,38,0,2
140,2,0,0,0,0,0,10,0,0,1,0,3,0,0
141,0,1,0,1,0,0,0,0,0,3,0,7,0,0
142,0,3,1,0,0,1,1,0,0,1,0,5,0,0
143,0,1,0,0,0,0,1,0,0,0,0,1,0,0
144,0,0,0,0,0,0,4,0,0,0,0,4,0,0
145,0,0,0,0,0,0,1,0,0,1,0,0,0,0
146,0,1,0,0,0,0,0,0,0,0,0,1,0,0
147,1,1,1,0,0,0,4,1,0,0,1,3,0,0
148,0,0,0,0,0,0,4,0,0,0,0,3,0,0
149,0,3,0,0,0,0,4,0,0,1,0,2,0,0
150,2,0,0,0,0,0,2,0,0,1,0,9,1,0
151,0,0,0,0,0,0,1,0,0,0,0,3,0,0
152,0,0,0,0,0,0,1,0,0,0,0,1,0,0
153,2,0,0,0,0,0,11,0,0,5,0,17,0,0
154,0,1,0,0,0,0,3,0,0,2,0,9,0,0
155,0,0,1,0,0,1,6,0,0,0,0,4,0,0
156,1,1,0,0,0,0,2,0,0,1,0,18,0,0
157,1,1,0,0,0,0,9,0,0,3,0,18,0,0
158,1,1,0,0,0,0,7,0,0,7,0,7,0,0
159,0,1,0,0,0,0,4,0,0,6,0,14,0,0
160,0,1,1,0,0,0,5,0,0,1,0,2,0,0
161,0,0,0,0,0,0,3,0,0,1,0,2,0,0
162,0,0,0,0,0,0,1,0,0,1,0,0,0,0
163,1,0,0,0,0,0,5,0,0,3,0,10,0,0
164,1,0,0,0,0,0,21,0,0,10,0,52,0,0
165,0,1,0,0,0,0,23,0,0,14,0,63,2,0
166,0,0,0,0,0,0,8,0,0,9,0,22,1,0
167,1,4,2,0,1,0,31,0,0,33,0,91,0,0
168,4,2,1,0,0,1,50,1,0,52,2,172,0,0
169,0,0,0,0,0,0,8,2,0,1,0,2,1,0
170,0,0,0,0,0,0,5,0,0,1,0,1,0,0
171,0,0,0,0,0,0,0,0,0,0,0,1,0,0
172,1,1,0,1,0,1,5,0,0,0,0,5,0,0
173,0,1,0,1,0,0,8,0,0,1,0,6,1,2
174,1,0,0,1,0,0,8,0,0,3,0,13,0,0
175,0,1,0,0,0,1,11,0,0,4,1,8,0,0
176,1,2,0,0,0,1,7,0,0,2,0,8,0,0
177,4,2,1,1,0,0,71,1,0,96,0,123,0,0
178,4,1,4,0,0,1,37,0,0,50,0,110,0,1
179,1,3,0,1,0,0,56,0,0,63,0,113,1,0
180,4,0,3,1,0,2,39,0,0,73,0,85,0,0
181,4,2,2,0,1,1,75,0,1,112,7,156,5,0
182,6,0,2,1,0,0,54,0,0,72,1,113,0,0
183,1,2,0,0,0,1,79,1,0,124,1,171,0,1
184,2,2,3,0,0,1,90,0,0,105,2,126,2,0
185,3,0,4,0,0,1,91,0,0,141,1,169,1,2
186,4,0,1,0,0,0,93,1,0,181,0,247,2,1
187,1,1,1,0,0,0,17,0,0,21,0,34,0,1
188,0,0,0,0,0,0,18,0,0,41,0,29,0,0
189,0,0,0,0,1,0,15,0,0,16,1,15,0,1
190,3,0,2,0,0,0,32,0,0,73,1,85,0,0
191,3,0,0,0,0,0,16,1,0,62,1,56,0,0
192,1,0,0,1,0,0,17,0,0,70,1,46,0,0
193,0,0,0,0,0,2,8,0,0,0,0,20,0,1
194,1,0,0,0,0,0,5,0,0,8,0,20,0,1
195,0,0,0,0,0,0,18,0,0,4,0,9,1,0
196,0,0,0,0,0,0,15,0,2,6,2,30,1,0
197,1,1,0,0,0,0,8,0,0,2,0,9,0,0
198,0,1,0,0,0,1,17,0,0,9,0,27,0,1
199,5,1,0,1,0,1,7,0,0,8,1,4,1,0
200,2,0,0,0,0,0,9,0,0,3,0,11,0,0
201,0,0,0,1,0,0,6,0,0,5,0,10,1,0
202,1,1,3,0,0,0,20,0,0,16,0,65,0,0
203,1,2,0,0,0,0,65,0,0,40,0,95,0,1
204,2,0,0,0,0,0,47,0,0,36,0,79,0,1
205,1,2,2,0,0,0,56,0,0,43,1,112,0,0
206,1,0,0,0,0,0,59,0,0,40,1,85,0,0
207,5,1,2,0,0,0,61,0,1,14,1,149,0,1
208,1,1,0,1,0,0,82,0,0,36,1,133,0,1
209,3,3,0,0,0,0,46,0,0,41,2,186,2,0
210,4,3,0,0,0,1,64,0,0,35,1,194,0,0
211,1,0,0,0,0,1,66,1,0,32,0,137,0,1
212,1,2,1,0,0,2,72,0,0,24,0,134,1,0
213,2,3,0,0,0,0,87,0,0,31,3,133,0,0
214,2,0,1,0,0,0,18,0,0,13,1,35,0,2
215,0,0,0,0,0,0,11,0,0,5,0,16,0,0
216,0,0,0,1,0,0,18,0,0,3,0,24,0,0
217,3,3,0,0,0,1,38,2,0,10,2,43,0,1
218,5,2,0,0,1,1,45,0,0,18,0,59,0,0
219,2,0,0,0,0,0,27,1,0,3,0,27,0,0
220,2,0,0,0,0,0,23,0,2,7,0,50,0,0
221,1,1,1,0,0,0,55,0,0,27,1,81,0,1
222,0,0,0,0,0,0,28,0,0,6,2,36,0,0
223,3,2,1,0,0,0,26,0,0,7,0,52,2,0
224,0,0,0,0,0,0,16,0,0,4,1,20,1,0
225,0,2,0,0,0,0,14,0,0,6,0,31,0,0
226,0,0,0,0,0,0,9,0,0,1,0,12,0,0
227,1,0,1,0,1,0,17,0,0,4,0,29,0,0
228,2,0,0,0,0,0,12,0,0,1,1,15,0,0
229,0,0,0,0,0,0,12,0,0,1,1,19,0,0
230,1,1,0,1,1,0,20,0,0,6,2,20,0,0
231,1,0,0,0,0,0,9,0,0,1,0,15,0,0
232,2,0,0,0,0,0,5,0,0,0,0,12,0,0
233,1,0,0,0,0,0,6,0,0,0,0,3,0,0
234,1,1,0,0,0,0,7,0,0,5,0,16,0,0
235,1,1,2,0,0,1,48,0,0,89,0,88,1,0
236,4,1,0,0,0,0,13,0,2,2,0,21,0,0
237,0,0,0,0,0,0,15,0,0,4,0,14,0,0
238,3,0,0,0,0,0,16,0,0,6,1,25,0,0
239,0,1,1,0,0,0,17,0,0,6,0,33,0,0
240,1,1,1,1,0,1,15,0,0,7,0,20,0,0
241,1,1,1,0,0,0,42,0,0,34,0,83,1,0
242,0,1,2,1,0,0,43,0,0,38,1,68,0,1
243,1,0,0,0,0,1,87,0,0,73,1,127,0,1
244,2,0,0,0,0,0,56,0,0,30,2,88,0,0
245,3,1,0,0,0,0,27,0,0,32,0,81,1,0
246,3,0,1,0,0,0,66,2,0,53,0,104,0,4
247,0,1,0,0,0,1,40,0,0,18,0,75,0,0
248,1,0,2,0,0,1,60,0,0,32,2,102,1,0
249,2,1,0,0,0,0,23,0,0,3,0,21,0,1
250,0,1,0,0,0,0,12,0,0,2,0,19,0,0
251,1,1,0,0,0,0,8,0,1,1,0,13,0,0
252,1,1,0,0,0,1,19,1,0,2,0,36,0,0
253,0,0,0,0,0,0,16,0,0,2,1,16,0,0
254,0,1,0,0,0,0,7,0,0,2,0,11,0,0
255,0,0,0,0,0,0,16,0,0,1,0,14,0,0
256,0,0,0,0,0,0,8,0,0,0,0,14,0,0
257,5,1,0,1,0,0,27,0,0,2,0,30,0,0
258,1,1,0,0,0,1,44,0,1,9,0,65,0,0
259,2,0,0,0,0,1,35,0,0,9,0,42,0,0
260,1,0,0,0,0,2,20,0,0,9,0,62,0,1
261,0,1,0,0,0,0,41,0,0,18,0,96,0,0
262,4,1,1,0,0,0,90,0,0,36,1,199,1,0
263,1,2,1,0,0,2,46,0,0,28,0,81,0,0
264,4,1,3,0,0,1,118,0,0,38,1,230,0,1
265,4,0,1,2,0,1,69,0,1,22,0,116,0,1
266,3,1,1,1,0,0,91,0,0,29,0,171,0,0
267,1,1,0,0,0,1,74,0,0,19,0,114,0,0
268,6,3,1,0,0,1,137,0,0,43,2,270,0,0
269,2,1,2,0,0,0,97,0,1,29,0,190,1,0
270,2,1,2,0,0,1,94,1,0,37,0,172,0,0
271,3,6,3,0,0,0,169,0,2,78,1,238,1,0
272,6,4,2,0,0,0,109,0,0,60,2,247,2,1
273,1,0,1,0,0,0,80,0,0,32,1,132,0,1
274,0,0,0,0,0,0,65,0,0,27,1,130,0,0
275,5,2,1,0,0,0,149,0,1,38,0,238,0,0
276,2,2,0,1,0,1,172,0,0,69,3,287,2,1
277,5,1,0,0,0,1,120,0,0,50,0,227,1,1
278,1,1,0,0,0,0,92,0,0,25,0,152,0,0
279,3,4,1,0,0,0,109,0,0,41,1,210,1,0
280,2,1,0,0,0,0,120,0,0,53,1,283,0,1
281,2,0,1,0,0,0,58,0,0,39,1,125,1,0
282,0,2,0,0,0,0,22,0,0,2,0,22,1,0
283,1,0,1,0,0,0,64,0,0,19,1,98,0,0
284,5,0,0,0,0,0,34,0,0,13,0,71,0,1
285,0,0,0,0,0,0,14,0,0,2,0,16,0,0
286,3,2,1,0,1,0,32,0,0,15,1,48,0,0
287,1,0,0,0,0,1,34,0,0,13,0,72,2,1
288,1,2,1,0,0,1,79,0,0,37,0,156,1,2
289,0,2,0,0,0,0,45,0,0,19,0,89,0,0
290,2,0,0,1,0,0,33,0,0,7,0,44,0,0
291,2,1,0,0,0,0,31,0,0,15,0,75,0,0
292,0,0,0,0,0,0,48,0,0,11,1,88,0,1
293,0,0,1,1,0,0,63,0,0,40,2,139,2,0
294,3,1,0,0,0,1,43,0,0,34,1,107,0,0
295,2,2,0,1,0,0,69,0,2,28,0,73,0,1
296,1,2,3,0,0,0,78,0,0,41,1,157,1,1
297,1,1,1,0,0,0,48,0,0,30,0,100,0,0
298,2,2,0,0,0,0,33,0,1,36,0,79,0,0
299,1,0,2,0,0,0,66,0,0,35,2,119,0,1
300,1,1,2,0,0,1,77,0,0,45,1,125,0,1
301,3,2,2,1,0,0,84,0,0,45,2,204,0,2
302,3,2,1,0,0,0,81,0,0,27,0,118,1,0
303,5,3,1,1,0,1,117,1,0,53,0,226,0,2
304,6,1,0,0,0,0,87,0,1,34,1,153,1,0
305,2,1,0,0,0,0,105,0,0,32,1,158,0,0
306,3,2,0,0,0,0,75,0,0,23,2,90,2,0
307,1,0,2,0,0,1,73,0,0,27,0,153,1,0
308,2,1,0,0,1,0,43,0,0,15,1,60,0,0
309,2,0,0,0,0,0,108,0,1,60,0,223,1,1
310,1,0,0,0,0,0,24,0,0,11,0,40,0,0
311,3,0,0,0,0,0,70,0,0,17,1,116,0,0
312,1,1,0,0,0,0,139,0,0,48,3,196,0,1
313,5,5,3,1,0,0,247,1,0,78,3,331,1,1
314,0,1,1,0,0,0,116,0,0,29,0,158,1,0
315,3,1,1,0,0,1,160,0,0,54,2,253,0,1
316,3,1,1,0,0,0,116,0,0,30,1,137,0,0
317,3,0,1,0,1,0,86,0,0,27,1,152,0,1
318,0,0,0,0,0,0,0,0,0,0,0,0,0,0
319,0,0,0,0,0,0,0,0,0,0,0,0,0,0
320,0,0,0,0,0,0,2,0,0,0,0,0,0,0
321,0,1,0,0,0,0,4,0,0,0,0,9,0,0
322,0,1,0,0,0,0,12,0,0,2,0,4,0,0
323,0,2,0,0,0,0,13,0,0,1,1,14,0,0
324,0,0,0,0,0,0,5,0,0,0,0,5,0,0
325,0,1,0,0,0,0,15,0,0,9,0,21,1,0
326,0,0,0,0,0,0,4,0,0,0,0,0,0,0
327,0,0,0,0,0,0,0,0,0,0,0,0,0,0
