Ward ,Democratic,Republican ,Over Votes ,Under Votes
Ward 1,266,40,0,58
Ward 2,45,6,0,5
Ward 3,254,46,0,89
Ward 4,402,46,0,77
Ward 5,221,23,0,53
Ward 6,510,82,0,127
Ward 7,120,29,0,31
Ward 8,501,92,0,122
Ward 9,203,30,0,62
Ward 10,343,75,0,104
Ward 11,244,39,0,58
Ward 12,163,21,0,56
Ward 13,134,24,0,34
Ward 14,236,12,0,65
Ward 15,210,52,0,64
Ward 16,346,37,0,71
Ward 17,158,15,0,38
Ward 18,200,25,0,65
Ward 19,120,24,0,27
Ward 20,193,12,0,51
Ward 21,129,15,0,30
Ward 22,149,18,0,33
Ward 23,64,8,0,14
Ward 24,41,0,0,7
Ward 25,124,13,0,28
Ward 26,156,14,0,37
Ward 27,132,11,0,40
Ward 28,18,4,0,3
Ward 29,54,5,0,14
Ward 30,167,22,0,32
Ward 31,107,10,0,26
Ward 32,366,50,0,77
Ward 33,528,176,0,178
Ward 34,245,57,0,60
Ward 35,160,75,0,64
Ward 36,183,26,0,39
Ward 37,119,13,0,27
Ward 38,130,9,0,30
Ward 39,148,37,0,36
Ward 40,160,4,0,38
Ward 41,137,10,0,33
Ward 42,233,21,0,57
Ward 43,58,1,0,10
Ward 44,249,19,0,54
Ward 45,202,17,0,32
Ward 46,97,7,0,15
Ward 47,195,5,0,28
Ward 48,98,7,0,34
Ward 49,108,5,0,21
Ward 50,102,8,0,14
Ward 51,100,0,0,21
Ward 52,140,10,0,28
Ward 53,78,3,0,6
Ward 54,107,0,0,13
Ward 55,308,44,0,53
Ward 56,172,6,0,26
Ward 57,181,3,0,31
Ward 58,164,4,0,41
Ward 59,362,6,0,77
Ward 60,195,6,0,27
Ward 61,163,1,0,43
Ward 62,129,3,0,30
Ward 63,132,4,0,18
Ward 64,273,13,0,45
Ward 65,265,11,0,50
Ward 66,118,1,0,30
Ward 67,98,2,0,25
Ward 68,248,17,0,64
Ward 69,212,3,0,34
Ward 70,375,16,0,67
Ward 71,197,11,0,36
Ward 72,283,15,0,62
Ward 73,284,15,0,51
Ward 74,178,17,0,36
Ward 75,219,37,0,69
Ward 76,187,16,0,30
Ward 77,146,20,0,40
Ward 78,245,40,0,65
Ward 79,271,49,0,72
Ward 80,404,104,0,125
Ward 81,138,54,0,40
Ward 82,254,107,0,79
Ward 83,273,80,0,80
Ward 84,186,58,0,70
Ward 85,315,61,0,87
Ward 86,293,74,0,87
Ward 87,198,43,0,40
Ward 88,261,43,0,65
Ward 89,271,52,0,71
Ward 90,280,58,0,53
Ward 91,318,32,0,77
Ward 92,411,67,0,113
Ward 93,276,76,0,62
Ward 94,97,7,0,14
Ward 95,143,7,0,22
Ward 96,378,32,0,45
Ward 97,267,34,0,69
Ward 98,235,5,0,36
Ward 99,330,28,0,69
Ward 100,190,5,0,35
Ward 101,285,6,0,53
Ward 102,360,14,0,71
Ward 103,372,21,0,58
Ward 104,278,6,0,39
Ward 105,85,2,0,18
Ward 106,79,2,0,13
Ward 107,132,3,0,26
Ward 108,139,4,0,27
Ward 109,136,3,0,18
Ward 110,78,0,0,9
Ward 111,87,1,0,15
Ward 112,97,3,0,23
Ward 113,107,2,0,28
Ward 114,122,0,0,23
Ward 115,204,0,0,44
Ward 116,78,1,0,12
Ward 117,86,1,0,19
Ward 118,119,3,0,24
Ward 119,155,3,0,30
Ward 120,94,0,0,14
Ward 121,130,3,0,34
Ward 122,160,2,0,24
Ward 123,288,11,0,51
Ward 124,203,8,0,26
Ward 125,590,23,0,114
Ward 126,442,14,0,65
Ward 127,493,38,0,81
Ward 128,524,19,0,57
Ward 129,423,34,0,64
Ward 130,99,7,0,8
Ward 131,489,47,0,97
Ward 132,724,110,0,174
Ward 133,358,11,0,37
Ward 134,368,25,0,54
Ward 135,481,34,0,56
Ward 136,335,14,0,46
Ward 137,316,8,0,40
Ward 138,1045,25,0,137
Ward 139,489,20,0,84
Ward 140,77,0,0,18
Ward 141,146,7,0,30
Ward 142,149,0,0,26
Ward 143,88,2,0,13
Ward 144,90,2,0,19
Ward 145,49,0,0,10
Ward 146,43,1,0,8
Ward 147,118,1,0,32
Ward 148,146,1,0,10
Ward 149,118,4,0,24
Ward 150,118,6,0,38
Ward 151,53,2,0,18
Ward 152,77,4,0,14
Ward 153,205,7,0,38
Ward 154,136,7,0,31
Ward 155,74,2,0,16
Ward 156,161,12,0,36
Ward 157,132,9,0,30
Ward 158,139,4,0,31
Ward 159,112,7,0,33
Ward 160,148,6,0,27
Ward 161,46,0,0,10
Ward 162,81,0,0,15
Ward 163,147,4,0,33
Ward 164,214,16,0,52
Ward 165,199,32,0,55
Ward 166,104,15,0,26
Ward 167,371,36,0,81
Ward 168,724,68,0,177
Ward 169,85,0,0,15
Ward 170,75,1,0,10
Ward 171,22,2,0,5
Ward 172,76,3,0,11
Ward 173,182,3,0,38
Ward 174,225,6,0,47
Ward 175,159,9,0,16
