Ward,Registered Voters -Total,Ballots Cast - Total,Ballots Cast - Blank,Voter Turnout - Total Percent
1,1305,246,0,18.85
2,484,34,0,7.02
3,1051,315,0,29.97
4,1683,481,1,28.58
5,879,213,0,24.23
6,1953,488,0,24.99
7,703,108,0,15.36
8,1616,474,0,29.33
9,780,211,0,27.05
10,1335,369,0,27.64
11,1195,279,0,23.35
12,1054,165,0,15.65
13,631,127,0,20.13
14,1150,286,1,24.87
15,805,226,0,28.07
16,1614,357,0,22.12
17,694,165,0,23.78
18,1000,229,0,22.9
19,828,126,0,15.22
20,1006,240,0,23.86
21,967,187,0,19.34
22,873,164,0,18.79
23,401,62,0,15.46
24,496,38,0,7.66
25,889,139,0,15.64
26,785,136,0,17.32
27,747,132,0,17.67
28,295,37,0,12.54
29,412,58,0,14.08
30,891,145,0,16.27
31,764,91,0,11.91
32,1670,327,0,19.58
33,2225,721,0,32.4
34,1260,240,0,19.05
35,982,180,0,18.33
36,885,194,0,21.92
37,833,100,0,12
38,707,95,0,13.44
39,808,146,0,18.07
40,735,138,0,18.78
41,770,121,0,15.71
42,1010,218,0,21.58
43,407,58,0,14.25
44,1043,230,0,22.05
45,1077,183,0,16.99
46,577,95,0,16.46
47,1045,158,0,15.12
48,529,126,0,23.82
49,719,139,0,19.33
50,654,109,0,16.67
51,634,93,0,14.67
52,938,148,0,15.78
53,424,75,0,17.69
54,568,111,0,19.54
55,1221,327,0,26.78
56,727,182,0,25.03
57,965,204,0,21.14
58,721,155,1,21.5
59,1467,401,0,27.33
60,1014,189,0,18.64
61,867,191,0,22.03
62,702,129,1,18.38
63,701,139,0,19.83
64,1432,269,0,18.78
65,1144,299,0,26.14
66,724,130,0,17.96
67,634,114,0,17.98
68,1229,248,0,20.18
69,966,177,0,18.32
70,1359,301,0,22.15
71,755,164,0,21.72
72,1017,246,1,24.19
73,1140,261,0,22.89
74,720,178,0,24.72
75,765,200,0,26.14
76,761,171,0,22.47
77,684,125,0,18.27
78,1203,230,0,19.12
79,1222,271,0,22.18
80,1571,435,0,27.69
81,648,156,0,24.07
82,849,272,1,32.04
83,1050,288,0,27.43
84,747,202,0,27.04
85,1042,323,0,31
86,994,267,0,26.86
87,631,188,0,29.79
88,835,247,0,29.58
89,1056,262,0,24.81
90,1053,264,0,25.07
91,1472,316,1,21.47
92,1439,395,0,27.45
93,688,275,0,39.97
94,519,86,0,16.57
95,616,124,0,20.13
96,1126,329,0,29.22
