Ward,Registered Voters,Ballots Cast-Total,Ballots Cast-Democratic,Ballots Cast- Republican,Ballots Cast-Nonpartisan,Ballots Cast Crossover,Ballots Cast Blank,Voter Turnout Total 
Ward 1,1359,364,305,54,5,0,0,26.78
Ward 2,492,56,48,8,0,0,0,11.38
Ward 3,1064,389,300,72,17,0,3,36.56
Ward 4,1766,525,457,57,11,0,1,29.73
Ward 5,890,297,255,41,1,0,0,33.37
Ward 6,2020,719,597,111,11,0,0,35.59
Ward 7,702,180,144,35,1,0,0,25.64
Ward 8,1661,715,591,109,15,1,0,43.05
Ward 9,799,295,249,39,7,1,0,36.92
Ward 10,1379,522,400,111,11,0,0,37.85
Ward 11,1207,341,283,52,6,1,0,28.25
Ward 12,1053,240,203,30,7,0,0,22.79
Ward 13,659,192,155,32,5,0,0,29.14
Ward 14,1216,313,292,17,4,1,0,25.74
Ward 15,817,326,249,71,6,0,0,39.9
Ward 16,1641,454,403,43,8,0,0,27.67
Ward 17,708,211,181,24,6,0,1,29.8
Ward 18,1022,290,247,41,2,0,0,28.38
Ward 19,849,171,141,27,3,0,0,20.14
Ward 20,1029,256,225,28,3,0,0,24.88
Ward 21,989,174,152,17,5,0,0,17.59
Ward 22,890,200,177,22,1,0,0,22.47
Ward 23,407,86,74,12,0,0,0,21.13
Ward 24,516,48,46,0,2,0,0,9.3
Ward 25,908,165,149,14,2,0,0,18.17
Ward 26,793,207,176,22,9,0,0,26.1
Ward 27,746,183,166,15,2,0,0,24.53
Ward 28,310,25,20,5,0,0,0,8.06
Ward 29,428,73,63,6,4,0,0,17.06
Ward 30,907,221,188,30,3,0,0,24.37
Ward 31,785,143,122,17,4,0,0,18.22
Ward 32,1731,493,415,67,11,1,0,28.48
Ward 33,2264,882,628,232,22,0,0,38.96
Ward 34,1309,362,278,80,4,2,0,27.65
Ward 35,1000,299,191,106,2,1,0,29.9
Ward 36,905,248,212,28,8,3,0,27.4
Ward 37,846,159,141,16,2,0,0,18.79
Ward 38,718,169,150,14,5,1,0,23.54
Ward 39,832,221,170,48,3,0,0,26.56
Ward 40,756,202,192,6,4,0,0,26.72
Ward 41,785,180,162,10,8,0,0,22.93
Ward 42,1049,311,271,27,13,1,1,29.65
Ward 43,418,69,65,2,2,0,0,16.51
Ward 44,1051,322,291,22,9,0,0,30.64
Ward 45,1095,251,228,20,3,0,1,22.92
Ward 46,596,119,110,8,1,0,0,19.97
Ward 47,1058,228,210,11,7,0,0,21.55
Ward 48,539,139,123,14,2,0,0,25.79
Ward 49,722,134,125,5,4,1,0,18.56
Ward 50,660,124,113,8,3,0,0,18.79
Ward 51,638,121,116,2,3,1,0,18.97
Ward 52,955,178,162,14,2,0,0,18.64
Ward 53,429,87,83,3,1,0,1,20.28
Ward 54,574,120,117,1,2,0,0,20.91
Ward 55,1247,405,339,56,10,1,0,32.48
Ward 56,747,204,194,7,3,0,0,27.31
Ward 57,990,215,205,4,6,2,0,21.72
Ward 58,730,209,204,5,0,0,0,28.63
Ward 59,1494,445,426,9,10,0,2,29.79
Ward 60,1026,228,219,6,3,0,0,22.22
Ward 61,886,207,196,4,7,0,0,23.36
Ward 62,712,162,156,4,2,0,0,22.75
Ward 63,709,154,145,4,5,0,0,21.72
Ward 64,1440,331,308,16,7,0,0,22.99
Ward 65,1165,326,304,17,5,0,0,27.98
Ward 66,742,149,140,6,3,1,0,20.08
Ward 67,647,125,119,4,2,0,0,19.32
Ward 68,1254,329,303,20,6,0,0,26.24
Ward 69,985,249,241,4,4,0,0,25.28
Ward 70,1370,458,426,24,8,0,0,33.43
Ward 71,787,244,226,14,4,0,0,31
Ward 72,1050,360,327,19,14,0,1,34.29
Ward 73,1159,350,323,21,6,1,0,30.2
Ward 74,731,231,204,21,6,0,0,31.6
Ward 75,788,325,263,56,6,1,0,41.24
Ward 76,766,233,208,21,4,1,0,30.42
Ward 77,701,206,169,33,4,0,0,29.39
Ward 78,1237,350,287,52,11,0,0,28.29
Ward 79,1259,392,323,61,8,1,0,31.14
Ward 80,1618,633,480,139,14,0,2,39.12
Ward 81,670,232,163,67,2,0,0,34.63
Ward 82,886,440,292,136,12,1,0,49.66
Ward 83,1096,433,328,99,6,0,0,39.51
Ward 84,767,314,222,83,9,1,0,40.94
Ward 85,1054,463,363,90,10,0,0,43.93
Ward 86,1018,454,352,95,7,0,0,44.6
Ward 87,660,281,228,50,3,0,0,42.58
Ward 88,863,369,298,65,6,0,0,42.76
Ward 89,1100,394,314,72,8,1,0,35.82
Ward 90,1075,391,310,76,5,0,0,36.37
Ward 91,1500,427,374,45,8,0,0,28.47
Ward 92,1491,591,484,95,12,0,0,39.64
Ward 93,706,414,312,94,8,0,0,58.64
Ward 94,537,118,104,11,3,0,0,21.97
Ward 95,625,172,159,9,4,0,0,27.52
Ward 96,1135,455,412,38,5,1,0,40.09
Ward 97,1032,370,314,46,10,0,0,35.85
Ward 98,744,276,268,6,2,0,0,37.1
Ward 99,1234,427,383,37,7,0,1,34.6
Ward 100,791,230,213,9,8,1,0,29.08
Ward 101,1146,344,325,8,11,0,0,30.02
Ward 102,1266,445,413,19,13,0,0,35.15
Ward 103,1621,451,414,25,12,0,0,27.82
Ward 104,1334,323,303,7,13,4,0,24.21
Ward 105,583,105,99,3,3,0,0,18.01
Ward 106,507,94,89,2,3,0,0,18.54
Ward 107,781,161,153,4,4,0,0,20.61
Ward 108,775,170,165,4,1,0,0,21.94
Ward 109,877,157,151,4,2,0,0,17.9
Ward 110,510,87,87,0,0,0,0,17.06
Ward 111,694,103,98,1,4,0,1,14.84
Ward 112,795,123,120,3,0,0,0,15.47
Ward 113,683,137,132,3,2,0,0,20.06
Ward 114,618,145,143,0,2,0,0,23.46
Ward 115,1042,248,242,1,5,1,0,23.8
Ward 116,562,91,88,2,1,0,0,16.19
Ward 117,664,106,102,1,3,0,0,15.96
Ward 118,750,146,141,3,2,0,0,19.47
Ward 119,781,188,179,3,6,0,0,24.07
Ward 120,705,108,106,0,2,0,0,15.32
Ward 121,840,167,162,3,2,0,0,19.88
Ward 122,914,186,181,2,3,0,0,20.35
Ward 123,1170,350,331,13,6,0,0,29.91
Ward 124,745,237,223,9,5,0,0,31.81
Ward 125,1352,727,681,36,10,4,0,53.77
Ward 126,1021,521,500,19,2,0,0,51.03
Ward 127,1541,612,558,46,8,0,1,39.71
Ward 128,1812,600,574,21,5,0,0,33.11
Ward 129,1163,521,475,39,7,0,0,44.8
Ward 130,1426,114,107,7,0,0,0,7.99
Ward 131,1280,633,563,60,10,0,0,49.45
Ward 132,1854,1008,840,150,18,0,0,54.37
Ward 133,1051,406,386,14,6,0,0,38.63
Ward 134,1115,447,407,34,6,2,0,40.09
Ward 135,1420,571,526,38,7,1,0,40.21
Ward 136,1320,395,367,20,8,2,0,29.92
Ward 137,817,364,346,15,3,0,0,44.55
Ward 138,2427,1207,174,25,8,2,0,49.73
Ward 139,1632,593,560,23,10,0,0,36.34
Ward 140,551,95,92,2,1,0,0,17.24
Ward 141,703,183,165,10,8,0,0,26.03
Ward 142,743,175,171,0,4,0,0,23.55
Ward 143,633,103,98,2,3,0,0,16.27
Ward 144,498,111,106,2,3,1,0,22.29
Ward 145,316,59,56,1,2,0,0,18.67
Ward 146,274,52,49,1,2,1,0,18.98
Ward 147,1040,151,142,2,7,0,0,14.52
Ward 148,745,157,154,1,2,0,0,21.07
Ward 149,916,146,137,4,5,0,0,15.94
Ward 150,786,162,148,11,3,0,0,20.61
Ward 151,520,73,68,2,3,0,0,14.04
Ward 152,480,95,88,5,2,0,0,19.79
Ward 153,808,250,235,9,6,0,0,30.94
Ward 154,703,174,160,8,6,0,0,24.75
Ward 155,604,92,84,2,6,0,0,15.23
