Ward,REGISTERED VOTERS - TOTAL,BALLOTS CAST - TOTAL,BALLOTS CAST - Republican,BALLOTS CAST - Democratic,BALLOTS CAST - NONPARTISAN,BALLOTS CAST - CROSSOVER,BALLOTS CAST - BLANK,VOTER TURNOUT - TOTAL
1,1503,723,205,514,4,1,0,48.10
2,580,192,13,177,2,0,0,33.10
3,1248,677,203,466,8,0,1,54.25
4,2022,1043,157,879,7,1,0,51.58
5,982,486,92,394,0,0,0,49.49
6,2039,1171,325,829,17,0,0,57.43
7,797,388,134,249,5,0,0,48.68
8,1691,969,280,676,13,0,0,57.30
9,907,500,94,401,5,0,0,55.13
10,1430,777,254,519,4,1,0,54.34
11,1301,682,155,525,2,0,0,52.42
12,1219,557,106,436,15,0,0,45.69
13,836,336,78,257,1,0,0,40.19
14,1302,626,42,567,17,0,0,48.08
15,857,563,217,340,6,0,0,65.69
16,1795,902,141,754,7,1,0,50.25
17,765,414,95,315,4,0,0,54.12
18,1176,581,135,443,3,1,1,49.40
19,992,429,69,359,1,0,0,43.25
20,1271,598,86,502,10,1,0,47.05
21,1172,533,41,480,12,0,0,45.48
22,1083,439,64,365,10,1,0,40.54
23,542,178,27,149,2,1,0,32.84
24,656,177,7,169,1,1,0,26.98
25,1104,420,52,362,6,0,0,38.04
26,921,402,52,343,7,0,0,43.65
27,844,397,56,332,9,0,1,47.04
28,391,97,14,83,0,0,0,24.81
29,552,213,25,185,3,0,0,38.59
30,1021,441,67,366,8,1,0,43.19
31,938,345,46,290,9,0,0,36.78
32,1979,899,187,705,7,0,0,45.43
33,2383,1514,609,892,13,1,0,63.53
34,1498,699,223,465,11,0,2,46.66
35,1077,551,211,331,9,0,0,51.16
36,1009,492,85,406,1,0,0,48.76
37,1084,369,43,326,0,0,0,34.04
38,832,344,44,296,4,0,0,41.35
39,944,491,112,373,6,0,0,52.01
40,955,409,43,359,7,0,0,42.83
41,876,388,39,345,4,0,0,44.29
42,1098,554,66,485,3,0,0,50.46
43,847,349,12,331,6,0,0,41.20
44,1222,569,60,505,4,0,0,46.56
45,1175,567,52,513,2,1,0,48.26
46,695,263,20,242,1,0,0,37.84
47,1305,588,45,539,4,0,0,45.06
48,634,259,36,222,1,0,0,40.85
49,803,375,30,337,8,0,1,46.70
50,800,337,28,304,5,0,0,42.13
51,786,319,20,296,3,0,0,40.59
52,1194,475,34,437,4,0,0,39.78
53,528,172,19,152,1,0,0,32.58
54,698,309,6,303,0,0,0,44.27
55,1391,720,154,561,5,0,0,51.76
56,875,468,13,451,4,2,0,53.49
57,1210,530,11,507,12,0,0,43.80
58,885,354,11,332,11,0,0,40.00
59,1672,930,26,880,24,0,0,55.62
60,1255,572,12,550,10,1,1,45.58
61,1069,487,14,462,11,2,0,45.56
62,915,360,19,331,10,0,0,39.34
63,938,344,7,329,8,0,0,36.67
64,1808,842,36,794,12,1,0,46.57
65,1413,713,28,671,14,0,0,50.46
66,965,409,6,399,4,0,0,42.38
67,764,362,14,341,7,0,1,47.38
68,1452,652,69,578,5,0,0,44.90
69,1131,492,37,442,13,0,0,43.50
70,1501,737,60,664,13,0,0,49.10
71,859,417,31,382,4,0,0,48.54
72,1157,588,59,520,9,0,0,50.82
73,1301,687,91,593,3,0,0,52.81
74,803,459,72,384,3,0,0,57.16
75,772,472,141,324,7,1,0,61.14
76,890,469,62,406,1,0,0,52.70
77,780,377,74,301,2,0,0,48.33
78,1373,709,130,567,12,2,0,51.64
79,1369,678,150,523,5,0,0,49.53
80,1729,997,367,619,11,2,0,57.66
81,638,435,219,214,2,0,0,68.18
82,857,612,316,293,3,0,0,71.41
83,1061,734,357,375,2,0,0,69.18
84,787,526,230,290,6,0,0,66.84
85,1022,727,316,406,5,0,0,71.14
86,1029,692,314,371,7,0,0,67.25
87,649,424,169,253,2,0,0,65.33
88,868,520,213,306,1,0,0,59.91
89,1163,663,219,443,1,0,1,57.01
90,1054,656,205,449,2,0,0,62.24
91,1621,849,128,714,7,2,1,52.38
92,1596,909,265,637,7,0,0,56.95
93,674,483,194,282,7,0,0,71.66
94,666,247,24,220,3,0,0,37.09
95,701,329,29,295,5,0,0,46.93
96,1189,648,93,548,7,0,1,54.50
97,1127,618,160,455,3,0,0,54.84
98,831,444,28,408,8,0,0,53.43
99,1378,757,75,667,15,0,0,54.93
100,891,501,23,471,7,0,0,56.23
101,1287,678,25,649,4,0,0,52.68
102,1529,723,38,680,5,1,0,47.29
103,1892,833,56,763,14,0,0,44.03
104,1679,679,23,650,6,0,0,40.44
105,818,294,4,287,3,0,0,35.94
106,684,257,7,247,3,0,0,37.57
107,1026,399,10,384,5,0,0,38.89
108,1084,473,16,452,5,0,0,43.63
109,1239,442,15,425,2,0,0,35.67
110,648,244,6,231,7,0,0,37.65
111,1030,303,5,288,10,0,0,29.42
112,1042,385,5,376,4,0,0,36.95
113,949,361,10,350,1,0,0,38.04
114,798,342,6,330,6,1,0,42.86
115,1353,577,15,553,9,2,0,42.65
116,819,262,2,248,12,0,0,31.99
117,966,319,4,309,6,0,0,33.02
118,929,399,14,383,2,0,0,42.95
119,973,409,13,388,8,1,0,42.03
120,947,348,5,342,1,0,0,36.75
121,954,398,6,384,8,0,0,41.72
122,1090,429,22,399,8,1,0,39.36
123,1228,637,44,592,1,0,0,51.87
124,850,368,51,314,3,1,0,43.29
125,1333,986,115,868,3,0,0,73.97
126,1047,701,89,608,4,1,0,66.95
127,1671,944,194,745,5,0,0,56.49
128,1960,1036,190,843,3,0,1,52.86
129,1174,680,155,523,2,1,0,57.92
130,910,872,179,692,1,0,1,95.82
131,1312,899,302,590,7,0,0,68.52
132,1730,1287,403,864,20,4,0,74.39
133,1100,679,126,553,0,0,0,61.73
134,1085,659,132,523,4,0,0,60.74
135,1197,779,158,613,8,1,0,6.58
136,1486,798,127,667,4,0,0,53.70
137,948,538,75,462,1,0,0,56.75
138,2538,1695,125,1562,8,5,0,66.78
139,1910,1004,79,920,5,0,0,52.57
140,680,300,19,277,4,0,0,44.12
141,879,377,12,358,7,0,0,42.89
142,839,395,13,374,8,0,0,47.08
143,924,319,4,309,6,1,0,34.52
144,615,264,8,253,3,0,0,42.93
145,452,162,2,156,4,0,0,35.84
146,373,146,2,138,6,0,0,39.14
147,1494,478,15,458,5,1,0,31.99
148,980,399,7,385,7,0,0,40.71
149,1307,436,11,416,9,1,0,33.36
150,1013,342,15,322,5,0,0,33.76
151,763,286,6,272,8,0,0,37.48
152,678,197,4,192,1,1,0,29.06
153,1041,442,35,404,3,0,0,42.46
154,899,313,16,293,4,0,0,34.82
155,818,222,13,208,1,0,0,27.14
156,1109,416,23,384,9,2,0,37.51
157,724,335,32,297,6,0,0,46.27
158,704,321,23,292,6,0,0,45.60
159,690,292,25,266,1,0,0,42.32
160,898,341,12,326,3,1,0,37.97
161,304,115,6,108,1,0,0,37.83
162,530,197,3,192,2,0,0,37.17
163,1003,388,20,366,2,1,0,38.68
164,1066,553,84,462,7,1,0,51.88
165,994,449,103,343,3,0,2,45.17
166,419,218,41,172,5,1,0,52.03
167,984,644,166,478,0,0,0,65.45
168,1670,1149,286,853,10,4,0,68.80
169,791,267,14,242,11,1,0,33.75
170,591,187,7,177,3,0,0,31.64
171,255,81,1,79,1,0,0,31.76
172,700,291,14,266,11,1,0,41.57
173,897,374,22,350,2,0,0,41.69
174,1293,541,26,505,10,0,0,41.84
