ward,reg_voters,date
1,1397,2022-01-01
2,443,2022-01-01
3,982,2022-01-01
4,1676,2022-01-01
5,882,2022-01-01
6,1274,2022-01-01
7,663,2022-01-01
8,1336,2022-01-01
9,833,2022-01-01
10,1335,2022-01-01
11,1166,2022-01-01
12,998,2022-01-01
13,596,2022-01-01
14,1159,2022-01-01
15,810,2022-01-01
16,1572,2022-01-01
17,684,2022-01-01
18,962,2022-01-01
19,788,2022-01-01
20,1078,2022-01-01
21,539,2022-01-01
22,851,2022-01-01
23,605,2022-01-01
24,326,2022-01-01
25,768,2022-01-01
26,466,2022-01-01
27,714,2022-01-01
28,864,2022-01-01
29,794,2022-01-01
30,645,2022-01-01
31,858,2022-01-01
32,1042,2022-01-01
33,2217,2022-01-01
34,648,2022-01-01
35,1545,2022-01-01
36,884,2022-01-01
37,829,2022-01-01
38,646,2022-01-01
39,804,2022-01-01
40,749,2022-01-01
41,1035,2022-01-01
42,1057,2022-01-01
43,1038,2022-01-01
44,1031,2022-01-01
45,1027,2022-01-01
46,506,2022-01-01
47,610,2022-01-01
48,1467,2022-01-01
49,1007,2022-01-01
50,731,2022-01-01
51,857,2022-01-01
52,805,2022-01-01
53,760,2022-01-01
54,925,2022-01-01
55,709,2022-01-01
56,1539,2022-01-01
57,894,2022-01-01
58,804,2022-01-01
59,680,2022-01-01
60,933,2022-01-01
61,1147,2022-01-01
62,1110,2022-01-01
63,674,2022-01-01
64,629,2022-01-01
65,1131,2022-01-01
66,925,2022-01-01
67,1257,2022-01-01
68,762,2022-01-01
69,957,2022-01-01
70,1120,2022-01-01
71,851,2022-01-01
72,787,2022-01-01
73,767,2022-01-01
74,713,2022-01-01
75,1204,2022-01-01
76,1239,2022-01-01
77,1275,2022-01-01
78,869,2022-01-01
79,1339,2022-01-01
80,730,2022-01-01
81,763,2022-01-01
82,702,2022-01-01
83,1651,2022-01-01
84,909,2022-01-01
85,1493,2022-01-01
86,910,2022-01-01
87,934,2022-01-01
88,1463,2022-01-01
89,1157,2022-01-01
90,1037,2022-01-01
91,467,2022-01-01
92,716,2022-01-01
93,1092,2022-01-01
94,901,2022-01-01
95,724,2022-01-01
96,1176,2022-01-01
97,714,2022-01-01
98,1072,2022-01-01
99,1270,2022-01-01
100,807,2022-01-01
101,1261,2022-01-01
102,492,2022-01-01
103,607,2022-01-01
104,1097,2022-01-01
105,919,2022-01-01
106,620,2022-01-01
107,545,2022-01-01
108,780,2022-01-01
109,617,2022-01-01
110,582,2022-01-01
111,989,2022-01-01
112,515,2022-01-01
113,593,2022-01-01
114,505,2022-01-01
115,698,2022-01-01
116,597,2022-01-01
117,791,2022-01-01
118,842,2022-01-01
119,1345,2022-01-01
120,687,2022-01-01
121,1139,2022-01-01
122,973,2022-01-01
123,1342,2022-01-01
124,1441,2022-01-01
125,1058,2022-01-01
126,420,2022-01-01
127,1192,2022-01-01
128,1709,2022-01-01
129,936,2022-01-01
130,976,2022-01-01
131,1376,2022-01-01
132,988,2022-01-01
133,702,2022-01-01
134,1082,2022-01-01
135,1812,2022-01-01
136,1127,2022-01-01
137,665,2022-01-01
138,754,2022-01-01
139,472,2022-01-01
140,824,2022-01-01
141,521,2022-01-01
142,761,2022-01-01
143,616,2022-01-01
144,770,2022-01-01
145,762,2022-01-01
146,746,2022-01-01
147,491,2022-01-01
148,485,2022-01-01
149,806,2022-01-01
150,657,2022-01-01
151,635,2022-01-01
152,876,2022-01-01
153,591,2022-01-01
154,769,2022-01-01
155,937,2022-01-01
156,1028,2022-01-01
157,1114,2022-01-01
158,1015,2022-01-01
159,591,2022-01-01
160,665,2022-01-01
161,736,2022-01-01
162,1642,2022-01-01
163,1169,2022-01-01
164,1960,2022-01-01
165,655,2022-01-01
166,472,2022-01-01
167,266,2022-01-01
168,529,2022-01-01
169,678,2022-01-01
170,748,2022-01-01
171,640,2022-01-01
172,867,2022-01-01
173,2272,2022-01-01
174,1883,2022-01-01
175,2030,2022-01-01
176,1269,2022-01-01
177,1740,2022-01-01
178,1456,2022-01-01
179,989,2022-01-01
180,1604,2022-01-01
181,1171,2022-01-01
182,1096,2022-01-01
183,774,2022-01-01
184,594,2022-01-01
185,509,2022-01-01
186,719,2022-01-01
187,1055,2022-01-01
188,628,2022-01-01
189,580,2022-01-01
190,788,2022-01-01
191,396,2022-01-01
192,528,2022-01-01
193,986,2022-01-01
194,826,2022-01-01
195,766,2022-01-01
196,536,2022-01-01
197,419,2022-01-01
198,869,2022-01-01
199,1681,2022-01-01
200,850,2022-01-01
201,682,2022-01-01
202,798,2022-01-01
203,911,2022-01-01
204,809,2022-01-01
205,707,2022-01-01
206,871,2022-01-01
207,939,2022-01-01
208,974,2022-01-01
209,498,2022-01-01
210,456,2022-01-01
211,396,2022-01-01
212,785,2022-01-01
213,873,2022-01-01
214,592,2022-01-01
215,618,2022-01-01
